uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"34f3e6e7-e182-4266-95c5-52705c876c14",54043,"Payload delivery","filename","bo.arm","",0,1618871511,"","","","",""
"6af17e66-206e-470d-bbe1-3d3144e99ee1",54043,"Payload delivery","md5","2ae87a5d1915b329f18fb3d43fc5f123","",1,1618871511,"","","","",""
"54dec100-f902-4cd9-b6d8-61d9d2466d7b",54043,"Payload delivery","sha1","50773efac62bffa6a3432feb01aa6d883c3b04e7","",1,1618871511,"","","","",""
"95b07f0e-7645-40ed-86a1-3b8a206a2d06",54043,"Payload delivery","sha256","a2c2b0e8ec7872503c04789d39accdb111dbcfc46346d0687fca115005d05b7e","",1,1618871511,"","","","",""
"c5960455-e456-40e4-b3cf-ecb7c527efca",54043,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1618871511,"","","","",""
"99788b85-23fd-40c4-8f64-633786cbc2ca",54043,"Network activity","url","http://203.159.80.188/ssh/bo.arm","",1,1618871511,"","","","",""
"42bea116-7b11-4177-9cdd-f4f2a00a10a3",54043,"Network activity","ip-dst","203.159.80.188","",1,1618871511,"","","","",""
"6d2fa8e5-acd9-4c0b-997e-bcbf5ecc8611",54043,"External analysis","link","https://www.virustotal.com/gui/file/a2c2b0e8ec7872503c04789d39accdb111dbcfc46346d0687fca115005d05b7e/detection","",0,1618871512,"permalink","","e6b73b74-efa1-4c34-af28-b00281101d1d","virustotal-report","misc"
"193dc108-cf76-4ce6-b249-00d354aa3c47",54043,"Other","datetime","2021-04-19T11:55:40.000000+0000","",0,1618871512,"last-submission","","e6b73b74-efa1-4c34-af28-b00281101d1d","virustotal-report","misc"
"8849d63a-1a4f-47ac-9ed0-e06d286f3637",54043,"Other","text","35/61","",0,1618871512,"detection-ratio","","e6b73b74-efa1-4c34-af28-b00281101d1d","virustotal-report","misc"

