uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8e90dfca-4f31-4dc5-b887-672000ab71c2",38879,"Payload delivery","filename","jhgyxrtfxydrtbins.sh","",0,1606529607,"","","","",""
"4f94a880-d724-43d6-b7bf-7e0a68881a62",38879,"Payload delivery","md5","570d5ec84f1777caec3c336e1d3382a3","",1,1606529608,"","","","",""
"aff4a773-b284-4424-a10f-63a0b3b86787",38879,"Payload delivery","sha1","7fe8d632fec90d09caf4c6ae213c89d9fc5fa0f2","",1,1606529608,"","","","",""
"1a3bd223-0185-451c-b1d3-cbdb99a9a498",38879,"Payload delivery","sha256","00243f078e00fe301ea215fc67c63e0036cfa5ffef8223ae67241a22ab28a9b6","",1,1606529608,"","","","",""
"f7e4a6d5-9294-48bc-bd14-607c8358d1ca",38879,"Payload delivery","mime-type","Bourne-Again shell script, ASCII text executable","",0,1606529608,"","","","",""
"d3632cfc-72c8-4e53-b687-a4007d771b99",38879,"Network activity","url","https://damagedessentialtelecommunications.testmail4.repl.co/src/jhgyxrtfxydrtbins.sh","",1,1606529608,"","","","",""
"120c4c40-1eb4-463e-be6f-4ad453253c1b",38879,"Network activity","domain","damagedessentialtelecommunications.testmail4.repl.co","",1,1606529608,"","","","",""
"fc714a94-8d0e-4138-9ac5-71a648cbe54c",38879,"External analysis","link","https://www.virustotal.com/gui/file/00243f078e00fe301ea215fc67c63e0036cfa5ffef8223ae67241a22ab28a9b6/detection","",0,1606529611,"permalink","","e79ed8c2-8caf-4a81-828d-270340063b10","virustotal-report","misc"
"e890f96e-8f42-437a-9bc7-769e9b1c14b5",38879,"Other","datetime","2020-11-28T01:05:30.000000+0000","",0,1606529612,"last-submission","","e79ed8c2-8caf-4a81-828d-270340063b10","virustotal-report","misc"
"ae2e8a1c-91c2-4053-9852-275b2b267604",38879,"Other","text","20/60","",0,1606529613,"detection-ratio","","e79ed8c2-8caf-4a81-828d-270340063b10","virustotal-report","misc"

