uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5d88f79c-2624-4f48-a1c9-23a4c0a8018c",4166,"Payload delivery","filename","445.exe","",0,1569257372,"","","","",""
"5d88f79c-c41c-4ec1-a85a-23a4c0a8018c",4166,"Payload delivery","md5","61aeb95bbbe61ef8ca394519ff6ed6f1","",1,1569257372,"","","","",""
"5d88f79c-cfac-4598-b27a-23a4c0a8018c",4166,"Payload delivery","sha1","f659d03de0231ce519b459a792e7303d3d99d188","",1,1569257372,"","","","",""
"5d88f79c-7324-44a5-b210-23a4c0a8018c",4166,"Payload delivery","sha256","4aa57b421aecc4578d9241b37469ab861cdd0b4aad749a53436866b854a7cb16","",1,1569257372,"","","","",""
"5d88f79c-dc0c-4ceb-9e83-23a4c0a8018c",4166,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed","",0,1569257372,"","","","",""
"5d88f79c-0380-4934-a412-23a4c0a8018c",4166,"Payload delivery","imphash","3d2b95b998469ac775106242f347c0e1","",0,1569257372,"","","","",""
"5d88f79c-5c68-450a-b6c5-23a4c0a8018c",4166,"Network activity","url","http://t.honker.info:8/445.exe","",1,1569257372,"","","","",""
"5d88f79c-53a8-4439-a521-23a4c0a8018c",4166,"Network activity","domain","t.honker.info","",1,1569257372,"","","","",""
"5d8c7f23-158c-4b34-a282-1082c0a8018c",4166,"Payload delivery","filename","x64.exe","",0,1569488675,"","","","",""
"bd850524-d370-4cab-b683-1bea807d2bd9",4166,"Other","text","UPX0","",0,1569358386,"name","","ba7fb741-1273-4996-a0c3-c166745d3362","pe-section","file"
"dea1ade0-d6e3-4054-b3ee-0bab236b0a1d",4166,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1569358386,"md5","","ba7fb741-1273-4996-a0c3-c166745d3362","pe-section","file"
"a9ff48c0-238c-4c36-ae0e-04da06045029",4166,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1569358386,"sha1","","ba7fb741-1273-4996-a0c3-c166745d3362","pe-section","file"
"fb7995f4-6f95-48b9-ba72-7febeecbd6d4",4166,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1569358387,"sha256","","ba7fb741-1273-4996-a0c3-c166745d3362","pe-section","file"
