uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5d8c1f78-8954-4cc9-9a63-2ef0c0a8018c",4778,"Payload delivery","filename","A5bBATtM.exe","",0,1569464184,"","","","",""
"5d8c1f78-006c-46ef-b6d9-2ef0c0a8018c",4778,"Payload delivery","md5","2cda5c8976352554b9d77ef2260c567b","",1,1569464184,"","","","",""
"5d8c1f78-fb70-4a7b-a35f-2ef0c0a8018c",4778,"Payload delivery","sha1","a874c01b289b89d4aa601ffc920c84249be363fb","",1,1569464184,"","","","",""
"5d8c1f78-7cf8-4e53-9980-2ef0c0a8018c",4778,"Payload delivery","sha256","8c986e4f4d83ed23d84bd6f6d5c42f8c463d176bd38792fedcfc5ae8080ac323","",1,1569464184,"","","","",""
"5d8c1f78-d228-4e58-be0b-2ef0c0a8018c",4778,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 (stripped to external PDB), for MS Windows","",0,1569464184,"","","","",""
"5d8c1f78-820c-4a02-8fe6-2ef0c0a8018c",4778,"Payload delivery","imphash","5cadb0963e56641145dfbd57b20d3b8d","",0,1569464184,"","","","",""
"5d8c1f78-d8b0-492c-9e2c-2ef0c0a8018c",4778,"Network activity","url","http://66.154.71.9/A5bBATtM.exe","",1,1569464184,"","","","",""
"5d8c1f78-2330-4c28-9663-2ef0c0a8018c",4778,"Network activity","ip-dst","66.154.71.9","",1,1569464184,"","","","",""
"5d8c21df-5300-47c1-81a2-2df8c0a8018c",4778,"Network activity","url","http://guth3.com/A5bBATtM.exe","",1,1569464799,"","","","",""
"5d8c21df-c774-4b3d-8790-2df8c0a8018c",4778,"Network activity","domain","guth3.com","",1,1569464799,"","","","",""
"6484ef47-1f31-4e9c-be8e-a4bff62b5e12",4778,"Other","text",".text","",0,1569464184,"name","","9628ad02-e942-437c-ac16-b9b4c346a1b1","pe-section","file"
"f30e949b-0d79-47aa-a6e8-895dc724c279",4778,"Payload delivery","md5","77f9aee14be06a94d23089d771da7b7e","",1,1569464184,"md5","","9628ad02-e942-437c-ac16-b9b4c346a1b1","pe-section","file"
"a3ee45ae-b43c-4291-a5fa-034a1b925b8c",4778,"Payload delivery","sha1","609e35d7e1b85928c84e0ad5d73dca073a07249c","",1,1569464185,"sha1","","9628ad02-e942-437c-ac16-b9b4c346a1b1","pe-section","file"
"8f75598a-1bc9-4905-a66e-fe488002c1dd",4778,"Payload delivery","sha256","5cac394c59538f8efc9ee5d6352b4c2c6ed15841ea16592d8313689aef996d7e","",1,1569464185,"sha256","","9628ad02-e942-437c-ac16-b9b4c346a1b1","pe-section","file"
"02bd8d70-d5ae-4819-b3e4-e2fb56059d07",4778,"Other","size-in-bytes",1024,"",0,1569464185,"size-in-bytes","","9628ad02-e942-437c-ac16-b9b4c346a1b1","pe-section","file"
"d9db61e8-dcb4-4c33-b663-c0e2a17636ca",4778,"Other","float",5.08802,"",0,1569464185,"entropy","","9628ad02-e942-437c-ac16-b9b4c346a1b1","pe-section","file"
"b55d8474-07e3-45ee-8bc5-7f244c5ebc52",4778,"Other","text",".data","",0,1569464185,"name","","22edc648-b484-4738-9b1a-8f2a37cfe417","pe-section","file"
"e3f7cb72-022f-446e-9d75-03b60aaacaf9",4778,"Payload delivery","md5","a890549eb3e5e0c82d09edd083015f10","",1,1569464185,"md5","","22edc648-b484-4738-9b1a-8f2a37cfe417","pe-section","file"
"fa3f86b4-08ac-4c3e-a61f-903d4920aaf4",4778,"Payload delivery","sha1","5bde9db17aefec56c4364b00dc66f0d56a25969c","",1,1569464185,"sha1","","22edc648-b484-4738-9b1a-8f2a37cfe417","pe-section","file"
"e28c901a-f553-48f3-bf37-61a6bfb04fa4",4778,"Payload delivery","sha256","9e4028473758470f607f5022558b8f2dbc5e80e935d0cc7fb0e6855fdfbde2ff","",1,1569464185,"sha256","","22edc648-b484-4738-9b1a-8f2a37cfe417","pe-section","file"
"0f618c43-90a7-42c7-9f0a-c79cca69650a",4778,"Other","size-in-bytes",3072,"",0,1569464185,"size-in-bytes","","22edc648-b484-4738-9b1a-8f2a37cfe417","pe-section","file"
"34549028-6bab-475a-96b8-34ba7c8ac7ee",4778,"Other","float",2.25379,"",0,1569464185,"entropy","","22edc648-b484-4738-9b1a-8f2a37cfe417","pe-section","file"
"a18f3dfc-a9bf-4516-837a-1e780670c35f",4778,"Other","text",".rdata","",0,1569464185,"name","","7571ed21-77ce-4b19-9c23-4e9f4f24cfab","pe-section","file"
"c630afb2-d54e-4883-bd13-c8a6ee7b2c3d",4778,"Payload delivery","md5","0f343b0931126a20f133d67c2b018a3b","",1,1569464185,"md5","","7571ed21-77ce-4b19-9c23-4e9f4f24cfab","pe-section","file"
"458159a3-57e3-4028-b8c8-a5b1d21914f1",4778,"Payload delivery","sha1","60cacbf3d72e1e7834203da608037b1bf83b40e8","",1,1569464185,"sha1","","7571ed21-77ce-4b19-9c23-4e9f4f24cfab","pe-section","file"
"e33dcd5d-b3e0-42c9-812a-838dba5edc80",4778,"Payload delivery","sha256","5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef","",1,1569464185,"sha256","","7571ed21-77ce-4b19-9c23-4e9f4f24cfab","pe-section","file"
"50255774-66c7-4f70-97e1-457a2a4e04a6",4778,"Other","size-in-bytes",1024,"",0,1569464185,"size-in-bytes","","7571ed21-77ce-4b19-9c23-4e9f4f24cfab","pe-section","file"
"26e71930-dbf6-4651-aa56-5a78d1f9deab",4778,"Other","float",0.0,"",0,1569464185,"entropy","","7571ed21-77ce-4b19-9c23-4e9f4f24cfab","pe-section","file"
"f8cb5d65-4af5-4d8c-81e0-0ff855488f01",4778,"Other","text",".rsrc","",0,1569464185,"name","","08fc9144-bfd2-43ae-8c36-d07916daf3b9","pe-section","file"
"9ccb5db8-5ca4-4f53-9aeb-3eb0a12ccf88",4778,"Payload delivery","md5","b20a54fc5f7d9638a4048f04b6f04e6c","",1,1569464185,"md5","","08fc9144-bfd2-43ae-8c36-d07916daf3b9","pe-section","file"
"ef2b2577-ab09-4760-a2f6-5e69c87ab220",4778,"Payload delivery","sha1","6d51a875cf354b314b8b25d7784653e1e7ce2981","",1,1569464185,"sha1","","08fc9144-bfd2-43ae-8c36-d07916daf3b9","pe-section","file"
"13816b8f-e596-40dd-871c-9f8d58a202b6",4778,"Payload delivery","sha256","5d0083090cb364761d1d158ce69f90afe88156d5e6b999ed1805af535ae82851","",1,1569464185,"sha256","","08fc9144-bfd2-43ae-8c36-d07916daf3b9","pe-section","file"
"21bd92ec-6124-40fc-b007-c5f184c8bfd5",4778,"Other","size-in-bytes",311808,"",0,1569464185,"size-in-bytes","","08fc9144-bfd2-43ae-8c36-d07916daf3b9","pe-section","file"
"903faa9e-75b1-42b0-8d34-adcb246cf478",4778,"Other","float",7.80139,"",0,1569464185,"entropy","","08fc9144-bfd2-43ae-8c36-d07916daf3b9","pe-section","file"
"14da2ac4-3645-4d49-86e4-281d0e32a886",4778,"Other","text",".orpc","",0,1569464185,"name","","f3d6e1de-17e7-4574-9426-e4fbeae07984","pe-section","file"
"69a76996-2f49-4af5-8aea-f5c6ee192c7d",4778,"Payload delivery","md5","bf619eac0cdf3f68d496ea9344137e8b","",1,1569464185,"md5","","f3d6e1de-17e7-4574-9426-e4fbeae07984","pe-section","file"
"99502c0e-40d8-4fa6-8e98-d2465c339854",4778,"Payload delivery","sha1","5c3eb80066420002bc3dcc7ca4ab6efad7ed4ae5","",1,1569464185,"sha1","","f3d6e1de-17e7-4574-9426-e4fbeae07984","pe-section","file"
"fd6280a0-74b2-46c5-b9de-b0673f254812",4778,"Payload delivery","sha256","076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560","",1,1569464185,"sha256","","f3d6e1de-17e7-4574-9426-e4fbeae07984","pe-section","file"
"2f21a122-854b-48c7-9d52-7ad0360232da",4778,"Other","size-in-bytes",512,"",0,1569464185,"size-in-bytes","","f3d6e1de-17e7-4574-9426-e4fbeae07984","pe-section","file"
"482ba4e9-a33d-4ccf-864a-eda5db4b8c34",4778,"Other","float",0.0,"",0,1569464185,"entropy","","f3d6e1de-17e7-4574-9426-e4fbeae07984","pe-section","file"
"3dc63ff0-bbba-43bb-8149-7b3d439a8411",4778,"External analysis","link","https://www.virustotal.com/gui/file/8c986e4f4d83ed23d84bd6f6d5c42f8c463d176bd38792fedcfc5ae8080ac323/detection","",0,1569464186,"permalink","","6b9448b2-a78a-427c-a8fe-c1051a933da7","virustotal-report","misc"
"f1f48a90-c7ad-4de0-ac55-15c80709e401",4778,"Other","datetime","2019-07-24T20:34:35","",0,1569464186,"last-submission","","6b9448b2-a78a-427c-a8fe-c1051a933da7","virustotal-report","misc"
"2b5e970a-4937-42fd-beea-3a603f978c27",4778,"Other","text","59/70","",0,1569464186,"detection-ratio","","6b9448b2-a78a-427c-a8fe-c1051a933da7","virustotal-report","misc"

