uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5d8c5cba-1990-4c6a-a6c2-1048c0a8018c",4823,"Payload delivery","filename","update.exe","",0,1569479866,"","","","",""
"5d8c5cba-ed14-4df5-9441-1048c0a8018c",4823,"Payload delivery","md5","18adcab5f51d4b906341ae38bc59c244","",1,1569479866,"","","","",""
"5d8c5cba-b128-460b-9c5c-1048c0a8018c",4823,"Payload delivery","sha1","0132a25da85e99fdcc7a94c8ef8d74d227c06f4d","",1,1569479866,"","","","",""
"5d8c5cba-aaa8-45c6-8a65-1048c0a8018c",4823,"Payload delivery","sha256","bd30129810abcc4c28fd874f69f7d94bf45006bea321f7955304511a03c8c7c5","",1,1569479866,"","","","",""
"5d8c5cba-d37c-4216-8f8a-1048c0a8018c",4823,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed","",0,1569479866,"","","","",""
"5d8c5cba-3f70-4bd0-bf25-1048c0a8018c",4823,"Payload delivery","imphash","500693dac24107a1746575995a0bed14","",0,1569479866,"","","","",""
"5d8c5cba-ac84-4c0a-adb1-1048c0a8018c",4823,"Network activity","url","http://margaritka37.ru/update.exe","",1,1569479866,"","","","",""
"5d8c5cba-abe0-4ec5-8094-1048c0a8018c",4823,"Network activity","domain","margaritka37.ru","",1,1569479866,"","","","",""
"2f3fe99a-8f85-47e9-8675-2a40b5e2ee17",4823,"Other","text","UPX0","",0,1569479866,"name","","680b291a-bad2-4144-8f90-ff05c6fd3928","pe-section","file"
"13ffdb4b-51ac-4345-8e9d-e1f2e835a860",4823,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1569479866,"md5","","680b291a-bad2-4144-8f90-ff05c6fd3928","pe-section","file"
"c85b436b-6e27-40b8-b169-5f10ac37d051",4823,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1569479867,"sha1","","680b291a-bad2-4144-8f90-ff05c6fd3928","pe-section","file"
"b1fbb2ed-46e1-4a94-b5c4-c52ff17cd8a0",4823,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1569479867,"sha256","","680b291a-bad2-4144-8f90-ff05c6fd3928","pe-section","file"
"e9ba5b32-ea44-4b61-9fdb-cb578ab34ac6",4823,"Other","size-in-bytes",0,"",0,1569479867,"size-in-bytes","","680b291a-bad2-4144-8f90-ff05c6fd3928","pe-section","file"
"b2426de7-51d0-4792-b532-cf64d0403d9a",4823,"Other","float",0.0,"",0,1569479867,"entropy","","680b291a-bad2-4144-8f90-ff05c6fd3928","pe-section","file"
"b7531e13-df48-411a-be06-ec3137808b19",4823,"Other","text","UPX1","",0,1569479867,"name","","8de03f93-f255-47e3-b7ac-27c5d90c7835","pe-section","file"
"19a8f1c3-fe3c-45b5-93e0-0514cdecc048",4823,"Payload delivery","md5","27f152ee38dbbc87d64a094ee0b702b5","",1,1569479867,"md5","","8de03f93-f255-47e3-b7ac-27c5d90c7835","pe-section","file"
"d7854195-b445-4009-b4fc-6a790ba467c3",4823,"Payload delivery","sha1","3b0881d1ea42aab6aebf1a5420eb4718bc2cf68a","",1,1569479867,"sha1","","8de03f93-f255-47e3-b7ac-27c5d90c7835","pe-section","file"
"c1e885e3-e383-4eae-b235-6130f1625b72",4823,"Payload delivery","sha256","cf7de75fd195914dbaf41b5b223e614c0cf594d262e2da12acb9db19d58f856a","",1,1569479867,"sha256","","8de03f93-f255-47e3-b7ac-27c5d90c7835","pe-section","file"
"6be7bd38-4f72-47aa-af21-913d929a908f",4823,"Other","size-in-bytes",25600,"",0,1569479867,"size-in-bytes","","8de03f93-f255-47e3-b7ac-27c5d90c7835","pe-section","file"
"fe19e8f7-fe14-4db2-a93a-cb87f349b7c7",4823,"Other","float",7.84781,"",0,1569479867,"entropy","","8de03f93-f255-47e3-b7ac-27c5d90c7835","pe-section","file"
"447056f3-98c6-4a25-8c91-cdad9e6f0b2c",4823,"Other","text",".rsrc","",0,1569479868,"name","","ff7fa827-1eb1-47f1-83d5-9049e8b85f65","pe-section","file"
"3f0fce08-002b-4721-8e69-d67cc69bfb17",4823,"Payload delivery","md5","901a3d95db96c60dea8cc1083965e45f","",1,1569479868,"md5","","ff7fa827-1eb1-47f1-83d5-9049e8b85f65","pe-section","file"
"370a13ac-14e2-48d2-aad4-d9e15882c37e",4823,"Payload delivery","sha1","ab93a4ac01f13bd9c2ca27aa1088945f994f5bc5","",1,1569479868,"sha1","","ff7fa827-1eb1-47f1-83d5-9049e8b85f65","pe-section","file"
"0bf62570-3848-4612-8750-1036b209114c",4823,"Payload delivery","sha256","0ebebddd15ca94593b625cfdebb74e3781054813c7341f0db9c871444d9924d1","",1,1569479868,"sha256","","ff7fa827-1eb1-47f1-83d5-9049e8b85f65","pe-section","file"
"d20041a9-5a4f-4c23-97a9-a6e3dd26fea8",4823,"Other","size-in-bytes",1536,"",0,1569479868,"size-in-bytes","","ff7fa827-1eb1-47f1-83d5-9049e8b85f65","pe-section","file"
"5d109d20-ed23-4675-9204-13f7e50ad50c",4823,"Other","float",3.11657,"",0,1569479868,"entropy","","ff7fa827-1eb1-47f1-83d5-9049e8b85f65","pe-section","file"
"2b7ab48e-e1ca-4ef8-b768-55d3888a9659",4823,"External analysis","link","https://www.virustotal.com/gui/file/bd30129810abcc4c28fd874f69f7d94bf45006bea321f7955304511a03c8c7c5/detection","",0,1569479868,"permalink","","70c8b700-0b67-4b08-a00d-3bc065558f37","virustotal-report","misc"
"635b1259-7353-4022-be7d-a065b12bd720",4823,"Other","datetime","2019-09-17T08:57:06","",0,1569479868,"last-submission","","70c8b700-0b67-4b08-a00d-3bc065558f37","virustotal-report","misc"
"80503c31-964b-4bfb-a7a2-db9d40c24d86",4823,"Other","text","56/70","",0,1569479868,"detection-ratio","","70c8b700-0b67-4b08-a00d-3bc065558f37","virustotal-report","misc"

