uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5d8d2a1a-2410-47ec-a80b-3004c0a8018c",5067,"Payload delivery","filename","5c8b08b37a426.exe","",0,1569532442,"","","","",""
"5d8d2a1a-3814-46c7-9a92-3004c0a8018c",5067,"Payload delivery","md5","3f94f3165854991d99f18f19f820a7e3","",1,1569532442,"","","","",""
"5d8d2a1a-b210-4a1c-a1c5-3004c0a8018c",5067,"Payload delivery","sha1","fe2e36fd583d9504478cfe229eea358895a1fe98","",1,1569532442,"","","","",""
"5d8d2a1a-9cb0-4dbb-be38-3004c0a8018c",5067,"Payload delivery","sha256","1facdd35fa725422112be9213d3dc2832a02523dcf95ff28d8f3e5a095c45c06","",1,1569532442,"","","","",""
"5d8d2a1a-4868-4d0f-afed-3004c0a8018c",5067,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1569532442,"","","","",""
"5d8d2a1a-2fc8-4796-a56c-3004c0a8018c",5067,"Payload delivery","imphash","7762ec43d3967e6983fac5284cbad653","",0,1569532442,"","","","",""
"5d8d2a1a-e994-489a-b691-3004c0a8018c",5067,"Network activity","url","http://src1.minibai.com/uploads/thirdupload/5c8b08b37a426.exe","",1,1569532442,"","","","",""
"5d8d2a1a-4e6c-4fb8-9edd-3004c0a8018c",5067,"Network activity","domain","src1.minibai.com","",1,1569532442,"","","","",""
"6576e1b8-e37f-4855-add6-5df58bf3c008",5067,"Other","text",".text","",0,1569532442,"name","","d42a3842-6f49-4e53-b3f8-6f1dc3779664","pe-section","file"
"8e7f9cbe-6f2a-44aa-932f-a6d2e3b23bb6",5067,"Payload delivery","md5","560d3aad53cad56ca166b11eeee869b0","",1,1569532442,"md5","","d42a3842-6f49-4e53-b3f8-6f1dc3779664","pe-section","file"
"4b031675-ca18-47e3-acc0-c6f6ab927cfd",5067,"Payload delivery","sha1","7936c3677939e6fda64e27f93c9bae0ff6cfe796","",1,1569532442,"sha1","","d42a3842-6f49-4e53-b3f8-6f1dc3779664","pe-section","file"
"081061b3-cadb-4adf-958d-b6e71d80de15",5067,"Payload delivery","sha256","ba25fcea06ed27015067eaa40d3e33ee6d3408734a7a60d30a68c39c0061e0eb","",1,1569532442,"sha256","","d42a3842-6f49-4e53-b3f8-6f1dc3779664","pe-section","file"
"263c262c-6871-487e-a95d-a41541abd137",5067,"Other","size-in-bytes",118272,"",0,1569532442,"size-in-bytes","","d42a3842-6f49-4e53-b3f8-6f1dc3779664","pe-section","file"
