uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5d970e36-2590-483a-b2ae-12a1c0a8018c",5874,"Payload delivery","filename","huh.sh","",0,1570180662,"","","","",""
"5d970e36-dec4-4d85-b6f9-12a1c0a8018c",5874,"Payload delivery","md5","ec622a83247635b60b76b92a75bc7be3","",1,1570180662,"","","","",""
"5d970e36-95f4-488e-893b-12a1c0a8018c",5874,"Payload delivery","sha1","cea923fb0a6b78cde68131f574577a36c1420cc9","",1,1570180662,"","","","",""
"5d970e36-78e0-49f0-b642-12a1c0a8018c",5874,"Payload delivery","sha256","7d3acdb93904abbaf587f3d2ef1f2013979d0fe0bb8476c5ecb05ea7c76e7d8d","",1,1570180662,"","","","",""
"5d970e36-6fd4-4a09-a24f-12a1c0a8018c",5874,"Payload delivery","mime-type","ASCII text","",0,1570180662,"","","","",""
"5d970e36-d2d8-4a65-8674-12a1c0a8018c",5874,"Network activity","url","http://45.35.0.213/huh.sh","",1,1570180662,"","","","",""
"5d970e36-1118-4564-a134-12a1c0a8018c",5874,"Network activity","ip-dst","45.35.0.213","",1,1570180662,"","","","",""
"7dce25be-4946-4d22-815e-415e635cc377",5874,"External analysis","link","https://www.virustotal.com/gui/file/7d3acdb93904abbaf587f3d2ef1f2013979d0fe0bb8476c5ecb05ea7c76e7d8d/detection","",0,1570180662,"permalink","","c503d362-c2bc-425f-b85a-39fcc6384ccc","virustotal-report","misc"
"368aaca8-f444-4a8f-b0c6-59f012e5d978",5874,"Other","datetime","2019-09-16T10:26:17","",0,1570180662,"last-submission","","c503d362-c2bc-425f-b85a-39fcc6384ccc","virustotal-report","misc"
"d81e878c-56e0-4c8d-a8b9-b088fab98079",5874,"Other","text","21/56","",0,1570180662,"detection-ratio","","c503d362-c2bc-425f-b85a-39fcc6384ccc","virustotal-report","misc"

