uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5d970e69-6314-429b-a5e2-1513c0a8018c",5943,"Payload delivery","filename","hjy93JNBasdas","",0,1570180713,"","","","",""
"5d970e69-08e0-4b96-a220-1513c0a8018c",5943,"Payload delivery","md5","d97350d91eba84208e4fa34338c14387","",1,1570180713,"","","","",""
"5d970e69-78bc-4aa4-8326-1513c0a8018c",5943,"Payload delivery","sha1","b01145850586d5769855a8e5dd68dc1c41313a78","",1,1570180713,"","","","",""
"5d970e69-34c8-4df0-a56a-1513c0a8018c",5943,"Payload delivery","sha256","6b4c78c5125ce4aac50a21f823f5b942e66e776bf11c6e7af2edc6ef69f74bed","",1,1570180713,"","","","",""
"5d970e69-5e0c-4e05-8114-1513c0a8018c",5943,"Payload delivery","mime-type","HTML document, ASCII text, with very long lines","",0,1570180713,"","","","",""
"5d970e69-1094-47e0-a6fd-1513c0a8018c",5943,"Network activity","url","http://bostonbruinsfan.net/ochjgp","",1,1570180713,"","","","",""
"5d970e69-7234-4291-904a-1513c0a8018c",5943,"Network activity","domain","bostonbruinsfan.net","",1,1570180713,"","","","",""
"f597a9a7-3245-4acd-a04a-370121b5c0db",5943,"External analysis","link","https://www.virustotal.com/gui/file/6b4c78c5125ce4aac50a21f823f5b942e66e776bf11c6e7af2edc6ef69f74bed/detection","",0,1570180713,"permalink","","24f28b69-6b56-4345-800a-8ae6dec65ade","virustotal-report","misc"
"a5ec185f-d55c-4863-a2ea-ca3f5287a3b8",5943,"Other","datetime","2019-03-08T14:34:27","",0,1570180713,"last-submission","","24f28b69-6b56-4345-800a-8ae6dec65ade","virustotal-report","misc"
"65c81739-ce8d-47f5-9a1c-ca38631b20b2",5943,"Other","text","0/55","",0,1570180713,"detection-ratio","","24f28b69-6b56-4345-800a-8ae6dec65ade","virustotal-report","misc"

