uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5d9c3f90-ba3c-4860-a6e6-53c9c0a8018c",6761,"Payload delivery","filename","dikecry.exe","",0,1570520976,"","","","",""
"5d9c3f90-4770-48d6-97cb-53c9c0a8018c",6761,"Payload delivery","md5","29b656893bd8b8e1098bd4a866658fe9","",1,1570520976,"","","","",""
"5d9c3f90-fc48-4ff6-b2a1-53c9c0a8018c",6761,"Payload delivery","sha1","8e04186fc6a6b325baf99e2614e83f049fbfb055","",1,1570520976,"","","","",""
"5d9c3f90-08c4-4c97-9b3c-53c9c0a8018c",6761,"Payload delivery","sha256","b3e08f760757d4bf80d5de52ac36007ca9b9ea4449cef33c9bf5a9300bb9436a","",1,1570520976,"","","","",""
"5d9c3f90-ed68-4423-85f3-53c9c0a8018c",6761,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1570520976,"","","","",""
"5d9c3f90-d4e4-438b-8c06-53c9c0a8018c",6761,"Payload delivery","imphash","516baa80fab4bf089650246be54ff1b5","",0,1570520976,"","","","",""
"5d9c3f90-6f2c-412b-9ea0-53c9c0a8018c",6761,"Network activity","url","https://www.xulong.net/wp-content/themes/twentysixteen/dike/dikecry.exe","",1,1570520976,"","","","",""
"5d9c3f90-cb7c-4345-a6e2-53c9c0a8018c",6761,"Network activity","domain","www.xulong.net","",1,1570520976,"","","","",""
"a909db38-cd46-4c06-8d25-3ac911fa10ba",6761,"Other","text",".text","",0,1570520976,"name","","b7229f33-8cb9-42e7-98d2-15a2e0b53193","pe-section","file"
"28efaa3f-db95-48ca-ae5e-37ad1718a3ce",6761,"Payload delivery","md5","84be56b2d9dd44f968c8c7564ab0c149","",1,1570520976,"md5","","b7229f33-8cb9-42e7-98d2-15a2e0b53193","pe-section","file"
"49246ac4-fbb6-4e2d-8119-ebed8d82d120",6761,"Payload delivery","sha1","e33cc22324b361f7c555e6dabec3c5c1cadb7f40","",1,1570520976,"sha1","","b7229f33-8cb9-42e7-98d2-15a2e0b53193","pe-section","file"
"b64b4742-a67a-4d16-82ed-d68e3325a107",6761,"Payload delivery","sha256","2fc55c0092e1c89361e771daef52b87c5f1550ac693230cf686eddec0881d362","",1,1570520976,"sha256","","b7229f33-8cb9-42e7-98d2-15a2e0b53193","pe-section","file"
"66d13a69-9a04-4788-9f5a-e6d63b8f9091",6761,"Other","size-in-bytes",117248,"",0,1570520976,"size-in-bytes","","b7229f33-8cb9-42e7-98d2-15a2e0b53193","pe-section","file"
"a73c844c-d472-49cc-9440-28e2bcf0417b",6761,"Other","float",5.43619,"",0,1570520976,"entropy","","b7229f33-8cb9-42e7-98d2-15a2e0b53193","pe-section","file"
"d41c96f4-153d-4196-9705-36598589aaac",6761,"Other","text",".rdata","",0,1570520976,"name","","ed41dcb5-8220-4d8c-a103-bff4b7182191","pe-section","file"
"9d778bd6-f44d-47ed-8a0a-a7242a81d9d4",6761,"Payload delivery","md5","c9de8036f534812db39069bc02cf92ca","",1,1570520976,"md5","","ed41dcb5-8220-4d8c-a103-bff4b7182191","pe-section","file"
"2b4f6bbf-837b-49d3-a27d-76805d9b570b",6761,"Payload delivery","sha1","6a9347e1910ec71a2e377936d5b8d6c2f7821e5e","",1,1570520976,"sha1","","ed41dcb5-8220-4d8c-a103-bff4b7182191","pe-section","file"
"35b7441c-c9d7-4598-b9ac-9049494f97df",6761,"Payload delivery","sha256","19626a74c2219f650ab2411472d223dd9dfd333add03ee983a7db0a347d60a72","",1,1570520976,"sha256","","ed41dcb5-8220-4d8c-a103-bff4b7182191","pe-section","file"
"6fd2a66d-125b-4714-8a06-8d636a323a58",6761,"Other","size-in-bytes",4608,"",0,1570520976,"size-in-bytes","","ed41dcb5-8220-4d8c-a103-bff4b7182191","pe-section","file"
"adf35816-95a1-4c92-ba6f-7261be35a710",6761,"Other","float",5.12197,"",0,1570520976,"entropy","","ed41dcb5-8220-4d8c-a103-bff4b7182191","pe-section","file"
"04ef997a-319e-418d-a8f3-d500d662dee2",6761,"Other","text",".data","",0,1570520976,"name","","6c412fd3-490a-41b3-b963-2135665d435e","pe-section","file"
"45746e5d-1370-45d1-bf5b-ac266d629eb4",6761,"Payload delivery","md5","fdd3d83257499df8caa405fd3b12f41f","",1,1570520976,"md5","","6c412fd3-490a-41b3-b963-2135665d435e","pe-section","file"
"a5ffc42c-536f-488c-a4ab-2bfaa07ca8a2",6761,"Payload delivery","sha1","8440daa7c287498ea8d8b1d6a48ea8a3e0d81286","",1,1570520976,"sha1","","6c412fd3-490a-41b3-b963-2135665d435e","pe-section","file"
"9c0557ce-87e0-48d9-be60-fb12fab3738f",6761,"Payload delivery","sha256","519a49ad1a34912cb042a4d37369a1f2a90fc65203bfdb8aace977adbabe98b6","",1,1570520976,"sha256","","6c412fd3-490a-41b3-b963-2135665d435e","pe-section","file"
"f32b8092-14cd-4494-95c6-e5450bed5b81",6761,"Other","size-in-bytes",1024,"",0,1570520976,"size-in-bytes","","6c412fd3-490a-41b3-b963-2135665d435e","pe-section","file"
