uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5da0cf59-ec9c-4bb1-b270-2d9ec0a8018c",7123,"Payload delivery","filename","emptyfilename.tmp","",0,1570819929,"","","","",""
"5da0cf59-d3fc-40ae-a6a5-2d9ec0a8018c",7123,"Payload delivery","md5","d11b35e8e1af415b8c7e8926ba8e26f8","",1,1570819929,"","","","",""
"5da0cf59-735c-4d73-b428-2d9ec0a8018c",7123,"Payload delivery","sha1","968bdd46626fe48bcc15b245d1ced46b5b3d68d0","",1,1570819929,"","","","",""
"5da0cf59-2b5c-4f72-b2de-2d9ec0a8018c",7123,"Payload delivery","sha256","827fdbf68fcad346635cbe27c6fe3dba63f02a176e9238a0b7cf717c46890ebc","",1,1570819929,"","","","",""
"5da0cf59-1328-4720-bdad-2d9ec0a8018c",7123,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1570819929,"","","","",""
"5da0cf59-b718-43a2-b8c2-2d9ec0a8018c",7123,"Payload delivery","imphash","9f251661407b9fa6502b6b65d148504e","",0,1570819929,"","","","",""
"5da0cf59-16ec-4be2-b3a8-2d9ec0a8018c",7123,"Network activity","url","https://nghekhachsan.com/wp-content/vi/","",1,1570819929,"","","","",""
"5da0cf59-2d4c-4af0-996a-2d9ec0a8018c",7123,"Network activity","domain","nghekhachsan.com","",1,1570819929,"","","","",""
"5da0cf97-2c20-4cb4-8153-2dd7c0a8018c",7123,"Network activity","url","https://lim-lao-sa.com/wp-includes/gjek2i/","",1,1570819991,"","","","",""
"5da0cf97-e858-47bd-b3ce-2dd7c0a8018c",7123,"Network activity","domain","lim-lao-sa.com","",1,1570819991,"","","","",""
"5da0cfd3-3498-49d4-ad63-2d9ec0a8018c",7123,"Network activity","url","https://atomythai.com/vwyz/pa4h5s1/","",1,1570820051,"","","","",""
"5da0cfd3-dbf8-4eff-913b-2d9ec0a8018c",7123,"Network activity","domain","atomythai.com","",1,1570820051,"","","","",""
"5fdb3d6b-32d9-484d-8b69-bc40f052d81a",7123,"Other","text",".text","",0,1570819929,"name","","91676aa8-b18c-40a7-b7c0-e6a3f1736ede","pe-section","file"
"e4c01e15-2373-40f5-a170-c93c352e18a5",7123,"Payload delivery","md5","516e73fd5fbbd44f3b88d3a9062bc5d5","",1,1570819929,"md5","","91676aa8-b18c-40a7-b7c0-e6a3f1736ede","pe-section","file"
