uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5da3b47d-2078-44ae-af20-41eac0a8018c",7400,"Payload delivery","filename","emptyfilename.tmp","",0,1571009661,"","","","",""
"5da3b47d-2098-4d52-a16e-41eac0a8018c",7400,"Payload delivery","md5","dc8e67d3fabf8ba3208742f24f33b9f0","",1,1571009661,"","","","",""
"5da3b47d-b698-40ac-a1af-41eac0a8018c",7400,"Payload delivery","sha1","66b77693115b9a09e5bbb6e514482ef267d94e03","",1,1571009661,"","","","",""
"5da3b47d-6b14-4960-8379-41eac0a8018c",7400,"Payload delivery","sha256","8683193d060cd55a5e5e3ba9330a604625dc31a4db3fad54e249d43bb129a938","",1,1571009661,"","","","",""
"5da3b47d-3618-4385-9a58-41eac0a8018c",7400,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1571009661,"","","","",""
"5da3b47d-9c50-4177-8ab2-41eac0a8018c",7400,"Payload delivery","imphash","ffcd1ab4ae5e052202d6af1ea2767498","",0,1571009661,"","","","",""
"5da3b47d-1e00-4fb2-963a-41eac0a8018c",7400,"Network activity","url","http://192yuanma.com/wp-admin/ixco1evv-ruz-978674/","",1,1571009661,"","","","",""
"5da3b47d-3a24-4ac9-a65f-41eac0a8018c",7400,"Network activity","domain","192yuanma.com","",1,1571009661,"","","","",""
"fac67e5e-9312-4f4c-8ec6-0177dc9e368d",7400,"Other","text",".text","",0,1571009661,"name","","dec3e2a3-c969-4e9b-a9ce-b8be278245a0","pe-section","file"
"8c63c6e5-d14e-492b-a934-14bd82103092",7400,"Payload delivery","md5","e9b3c3168b438c5ce0bb74f6c331cc3d","",1,1571009661,"md5","","dec3e2a3-c969-4e9b-a9ce-b8be278245a0","pe-section","file"
"69f5a0cd-9fea-4d89-a6c3-26b298884e19",7400,"Payload delivery","sha1","cfeb53d36c135337262dbade0e45669c76874494","",1,1571009661,"sha1","","dec3e2a3-c969-4e9b-a9ce-b8be278245a0","pe-section","file"
"87e89ecb-e783-40b5-b0b0-78d3a44c864b",7400,"Payload delivery","sha256","c8b98d3158d723792045ce495ff4ae62b5908d6b903edba43c2a9edbc76d9bfb","",1,1571009661,"sha256","","dec3e2a3-c969-4e9b-a9ce-b8be278245a0","pe-section","file"
"ae28b993-0d55-4356-a2cb-da141f066c82",7400,"Other","size-in-bytes",139264,"",0,1571009661,"size-in-bytes","","dec3e2a3-c969-4e9b-a9ce-b8be278245a0","pe-section","file"
"745605cb-98aa-43cc-8733-06edffb2b5ce",7400,"Other","float",5.49317,"",0,1571009661,"entropy","","dec3e2a3-c969-4e9b-a9ce-b8be278245a0","pe-section","file"
"2904341c-7be7-4fe5-8447-a21762c72a40",7400,"Other","text",".rdata","",0,1571009662,"name","","a8777c1f-5c46-49b7-bcff-164cef3ede7b","pe-section","file"
"5eb810b3-78db-4e33-a6a0-6b69808e941e",7400,"Payload delivery","md5","dd3bdb85d65b15593eaafdaeaf2650fb","",1,1571009662,"md5","","a8777c1f-5c46-49b7-bcff-164cef3ede7b","pe-section","file"
