uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5da78399-6b84-436d-bf13-0317c0a8018c",7823,"Payload delivery","filename","UnHAnaAW.mpsl","",0,1571259289,"","","","",""
"5da78399-83cc-42d3-aa56-0317c0a8018c",7823,"Payload delivery","md5","7ef15188639c42224c3a26ffcce93160","",1,1571259289,"","","","",""
"5da78399-10f0-4c40-ae7d-0317c0a8018c",7823,"Payload delivery","sha1","df864eb4cb16e36c183d5414e12a5ca05af8cc91","",1,1571259289,"","","","",""
"5da78399-c974-428f-876e-0317c0a8018c",7823,"Payload delivery","sha256","5016620dcbd773c7a3653ea0057b7f18ac1d1acb3b020ca92c3f3a1af55080f9","",1,1571259289,"","","","",""
"5da78399-1188-409d-84be-0317c0a8018c",7823,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, stripped","",0,1571259289,"","","","",""
"5da78399-3318-4d29-889b-0317c0a8018c",7823,"Network activity","url","http://78.47.49.39/bins/UnHAnaAW.mpsl","",1,1571259289,"","","","",""
"5da78399-68e4-4d9a-a71a-0317c0a8018c",7823,"Network activity","ip-dst","78.47.49.39","",1,1571259289,"","","","",""
"96cdd062-1033-4986-be0f-e85702abd81e",7823,"External analysis","link","https://www.virustotal.com/gui/file/5016620dcbd773c7a3653ea0057b7f18ac1d1acb3b020ca92c3f3a1af55080f9/detection","",0,1571259289,"permalink","","48518ae9-50ec-49f2-8780-1febe99cd4b1","virustotal-report","misc"
"5f54aa23-88ce-49db-8354-ff16fb7af772",7823,"Other","datetime","2019-10-16T20:02:05","",0,1571259289,"last-submission","","48518ae9-50ec-49f2-8780-1febe99cd4b1","virustotal-report","misc"
"7565af32-e739-46ba-aabd-e221a434de02",7823,"Other","text","23/56","",0,1571259290,"detection-ratio","","48518ae9-50ec-49f2-8780-1febe99cd4b1","virustotal-report","misc"

