uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5da81a84-48cc-447e-8129-0f0fc0a8018c",7950,"Payload delivery","filename","emptyfilename.tmp","",0,1571297924,"","","","",""
"5da81a84-06b4-4102-bdb2-0f0fc0a8018c",7950,"Payload delivery","md5","391205fc901e2260a07af27423a549bb","",1,1571297924,"","","","",""
"5da81a84-de14-46ea-a48a-0f0fc0a8018c",7950,"Payload delivery","sha1","d626fed3b053fd114ae20907aad76a317484ec5a","",1,1571297924,"","","","",""
"5da81a84-84e4-4606-82b5-0f0fc0a8018c",7950,"Payload delivery","sha256","7ae05ae1633a1c077459abcf8a4f8b2ea763478000cd5d7cc711b132eb4635a3","",1,1571297924,"","","","",""
"5da81a84-bd64-42cf-b2d7-0f0fc0a8018c",7950,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1571297924,"","","","",""
"5da81a84-326c-4086-85c8-0f0fc0a8018c",7950,"Payload delivery","imphash","a65f350e1948a7a72f403ac88593d774","",0,1571297924,"","","","",""
"5da81a84-5208-413d-a84e-0f0fc0a8018c",7950,"Network activity","url","https://sintecofort.online/ars3l/YMveyLVS/","",1,1571297924,"","","","",""
"5da81a84-6fb8-45bf-8d4e-0f0fc0a8018c",7950,"Network activity","domain","sintecofort.online","",1,1571297924,"","","","",""
"294ea619-3319-4c98-a20b-da5721e6e618",7950,"Other","text",".text","",0,1571297925,"name","","d28725f0-b9d4-47db-948a-422e5c27c9dd","pe-section","file"
"553d9de1-ce67-45e8-a8d3-14e928dd6df7",7950,"Payload delivery","md5","4e0ea8a3b28c739e361fbb20628add54","",1,1571297925,"md5","","d28725f0-b9d4-47db-948a-422e5c27c9dd","pe-section","file"
"d6776643-5086-49cc-864e-5f4ee3e5c2e2",7950,"Payload delivery","sha1","066cdfaea43373f89c87dffec64a1a19c1828c63","",1,1571297925,"sha1","","d28725f0-b9d4-47db-948a-422e5c27c9dd","pe-section","file"
