uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5da82fdf-4a28-41bd-8df5-0b54c0a8018c",7987,"Payload delivery","filename","final.exe","",0,1571303391,"","","","",""
"5da82fdf-de00-42d4-a68d-0b54c0a8018c",7987,"Payload delivery","md5","217c00e3729eca9c31c7776454f12af1","",1,1571303391,"","","","",""
"5da82fdf-28f0-4f81-8954-0b54c0a8018c",7987,"Payload delivery","sha1","a1ec1f8cbab2fe153ffc0027654fff652ae7685f","",1,1571303391,"","","","",""
"5da82fdf-b20c-4f09-ad95-0b54c0a8018c",7987,"Payload delivery","sha256","a6a904699bb3a04ee9b51f24801873faeca6e028acd75b71c1d9822e6a6a1a27","",1,1571303391,"","","","",""
"5da82fdf-87fc-4256-9acc-0b54c0a8018c",7987,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1571303391,"","","","",""
"5da82fdf-fd9c-4fd1-80ae-0b54c0a8018c",7987,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1571303391,"","","","",""
"5da82fdf-dabc-41a7-8e99-0b54c0a8018c",7987,"Network activity","url","http://35.199.91.57/executavel/final.exe","",1,1571303391,"","","","",""
"5da82fdf-6c48-4618-aff0-0b54c0a8018c",7987,"Network activity","ip-dst","35.199.91.57","",1,1571303391,"","","","",""
"3e176384-7207-49a5-ab5e-ad4efaf69980",7987,"Other","text",".text","",0,1571303392,"name","","3b65e25f-6e48-446e-9db8-df29f9a67f15","pe-section","file"
"229d2304-b049-410f-ade5-356c01aa02fc",7987,"Payload delivery","md5","2b212c4e5bcef10feff2e1083e582730","",1,1571303392,"md5","","3b65e25f-6e48-446e-9db8-df29f9a67f15","pe-section","file"
"53225fbb-970c-455f-b35f-455918280b43",7987,"Payload delivery","sha1","8a19ece4aabb76fd79084e847f7c63f484be47d7","",1,1571303392,"sha1","","3b65e25f-6e48-446e-9db8-df29f9a67f15","pe-section","file"
"ffeb8667-960c-4f6b-998b-5d5fee1a449b",7987,"Payload delivery","sha256","68144f06281ad5225ca1f347a53b08ba5750a3ab86ba7762ad01122453e2e2f5","",1,1571303392,"sha256","","3b65e25f-6e48-446e-9db8-df29f9a67f15","pe-section","file"
"4b0aa94d-b13a-4741-8829-4e0474cec69b",7987,"Other","size-in-bytes",145920,"",0,1571303392,"size-in-bytes","","3b65e25f-6e48-446e-9db8-df29f9a67f15","pe-section","file"
"98de94c1-10e0-4694-9c88-2b9aae195707",7987,"Other","float",6.63526,"",0,1571303392,"entropy","","3b65e25f-6e48-446e-9db8-df29f9a67f15","pe-section","file"
"fd055250-f93b-4549-a075-75d0cdd27ecb",7987,"Other","text",".rsrc","",0,1571303392,"name","","d94c510f-6e49-491f-901f-527ea9b469fa","pe-section","file"
"ce4a09c7-d1a0-4d52-835e-df6fbf800cf2",7987,"Payload delivery","md5","03f17cf748e46c02c57e435be4be5348","",1,1571303392,"md5","","d94c510f-6e49-491f-901f-527ea9b469fa","pe-section","file"
"29f1f213-3ce6-4242-89c2-23b9bc529c07",7987,"Payload delivery","sha1","712b72a7fc86737f5158c71d0470f63f8e9ded75","",1,1571303392,"sha1","","d94c510f-6e49-491f-901f-527ea9b469fa","pe-section","file"
"5d970a36-368e-46d4-b122-c6b942d7c11b",7987,"Payload delivery","sha256","bf15d4f09b85dd77ce878fb8d529e4722f94d81401097bbff7971bb90933f308","",1,1571303392,"sha256","","d94c510f-6e49-491f-901f-527ea9b469fa","pe-section","file"
"c860a7a8-e963-4b97-bce2-20f8049a15d0",7987,"Other","size-in-bytes",12800,"",0,1571303392,"size-in-bytes","","d94c510f-6e49-491f-901f-527ea9b469fa","pe-section","file"
"7dab0f65-d8ce-4fba-84d5-fd26989ed16c",7987,"Other","float",3.5884,"",0,1571303392,"entropy","","d94c510f-6e49-491f-901f-527ea9b469fa","pe-section","file"
"2cd6fcf9-777b-4713-9d14-166034dcb508",7987,"Other","text",".reloc","",0,1571303392,"name","","80d91ff5-d383-4189-b9e1-4af20b086c1e","pe-section","file"
"a6d42b45-1e8c-4a50-a22f-9d840c1b9c5b",7987,"Payload delivery","md5","abdd4f67f4c828d437c2d03a7631e81d","",1,1571303392,"md5","","80d91ff5-d383-4189-b9e1-4af20b086c1e","pe-section","file"
"477ce4f3-c15b-40e5-b9ab-d80e10dfb51e",7987,"Payload delivery","sha1","6fffee8445c88b5479f965de3b54129743f4bbfe","",1,1571303392,"sha1","","80d91ff5-d383-4189-b9e1-4af20b086c1e","pe-section","file"
"378df74a-249a-4259-b264-813dc9e1aebd",7987,"Payload delivery","sha256","c7a82823631c6eb8b276349b59872d54789881da8ac7d0e8cd45989373e5caa8","",1,1571303392,"sha256","","80d91ff5-d383-4189-b9e1-4af20b086c1e","pe-section","file"
"30f13428-5981-46b2-8fdb-eeb3af3fa004",7987,"Other","size-in-bytes",512,"",0,1571303392,"size-in-bytes","","80d91ff5-d383-4189-b9e1-4af20b086c1e","pe-section","file"
"5ec2d9d2-c9cb-4609-aa68-e8026e7269f1",7987,"Other","float",0.0815394,"",0,1571303392,"entropy","","80d91ff5-d383-4189-b9e1-4af20b086c1e","pe-section","file"
"347c84a5-007e-4ac2-85c4-48f06be1cb8a",7987,"External analysis","link","https://www.virustotal.com/gui/file/a6a904699bb3a04ee9b51f24801873faeca6e028acd75b71c1d9822e6a6a1a27/detection","",0,1571303392,"permalink","","b8497e41-cb79-46d3-8ca0-de3fee90ff8b","virustotal-report","misc"
