uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5da934d6-c5e8-4802-8e59-0b57c0a8018c",8123,"Payload delivery","filename","hoho.arm6","",0,1571370198,"","","","",""
"5da934d6-3f9c-4a32-bf02-0b57c0a8018c",8123,"Payload delivery","md5","701639d8954ab02e01aad5de5cd88eff","",1,1571370198,"","","","",""
"5da934d6-8414-4381-bfae-0b57c0a8018c",8123,"Payload delivery","sha1","4ea9a71995cc2b397c95d3d6ff96e2fa9076be2b","",1,1571370198,"","","","",""
"5da934d6-879c-4f75-b040-0b57c0a8018c",8123,"Payload delivery","sha256","7d6b1dfe687044853d2fbc86b8bac18745de811c2f0ba8308b81b1ff489cb761","",1,1571370198,"","","","",""
"5da934d6-ae88-45c1-8ef0-0b57c0a8018c",8123,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, stripped","",0,1571370198,"","","","",""
"5da934d6-3f20-4a44-b7ed-0b57c0a8018c",8123,"Network activity","url","http://185.7.78.31/bins/hoho.arm6","",1,1571370198,"","","","",""
"5da934d6-94fc-4e8b-a309-0b57c0a8018c",8123,"Network activity","ip-dst","185.7.78.31","",1,1571370198,"","","","",""
"77dde472-cc6c-4ed2-a358-ef32c838d014",8123,"External analysis","link","https://www.virustotal.com/gui/file/7d6b1dfe687044853d2fbc86b8bac18745de811c2f0ba8308b81b1ff489cb761/detection","",0,1571370198,"permalink","","dae266d1-b6ed-49f4-bd5a-b0de344caf31","virustotal-report","misc"
"40866651-1b72-42d7-9bd6-6b641dca1cdd",8123,"Other","datetime","2019-10-18T02:47:00","",0,1571370198,"last-submission","","dae266d1-b6ed-49f4-bd5a-b0de344caf31","virustotal-report","misc"
"9d985a15-e1de-4ef4-be4c-91defff8cede",8123,"Other","text","19/56","",0,1571370198,"detection-ratio","","dae266d1-b6ed-49f4-bd5a-b0de344caf31","virustotal-report","misc"

