uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dac983d-66dc-4010-8763-2428c0a8018c",8433,"Payload delivery","filename","chapo777.exe","",0,1571592253,"","","","",""
"5dac983d-ff28-4ae8-9f9b-2428c0a8018c",8433,"Payload delivery","md5","41b93173a8b5583daaf090438fb05004","",1,1571592253,"","","","",""
"5dac983d-1180-4d56-9d26-2428c0a8018c",8433,"Payload delivery","sha1","a0db1a8f024e95fbc5c4c4930a4f6f905bbcab24","",1,1571592253,"","","","",""
"5dac983d-339c-4dfe-9306-2428c0a8018c",8433,"Payload delivery","sha256","b87cfba8a4f2329b0b372326a7f169f5896459a6bdae0ad8857b576129722204","",1,1571592253,"","","","",""
"5dac983d-58f4-443a-8e67-2428c0a8018c",8433,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows, Nullsoft Installer self-extracting archive","",0,1571592253,"","","","",""
"5dac983d-dc18-4f4d-908d-2428c0a8018c",8433,"Payload delivery","imphash","1f23f452093b5c1ff091a2f9fb4fa3e9","",0,1571592253,"","","","",""
"5dac983d-0ec8-4ced-ba68-2428c0a8018c",8433,"Network activity","url","http://gmailadvert15dx.club/chapo/chapo777.exe","",1,1571592253,"","","","",""
"5dac983d-6640-4d56-b01c-2428c0a8018c",8433,"Network activity","domain","gmailadvert15dx.club","",1,1571592253,"","","","",""
"5def809f-7aa4-4879-8d18-179fc0a8018c",8433,"Network activity","url","http://198.23.202.49/chapo/chapo777.exe","",1,1575977119,"","","","",""
"5def809f-3ed8-4d70-827a-179fc0a8018c",8433,"Network activity","ip-dst","198.23.202.49","",1,1575977119,"","","","",""
"9f4c32c0-f244-41bd-97d0-08d105a67a46",8433,"Other","text",".text","",0,1571592253,"name","","505f1dd6-ecc7-4789-b5aa-89aa43075903","pe-section","file"
"7fe66c91-6727-455e-80f9-a395b5adb04b",8433,"Payload delivery","md5","bfe2b726d49cbd922b87bad5eea65e61","",1,1571592254,"md5","","505f1dd6-ecc7-4789-b5aa-89aa43075903","pe-section","file"
"5470b5a1-9a8c-43fb-83eb-64a3eda6c6ae",8433,"Payload delivery","sha1","f8cf896a63a2b1e91357e07ad7c6ac1fdfb563ea","",1,1571592254,"sha1","","505f1dd6-ecc7-4789-b5aa-89aa43075903","pe-section","file"
"0b144226-be01-4a7c-b78e-843b4bb3be9d",8433,"Payload delivery","sha256","45206751328829133f1d55ef54304e45d497fb0e59158d533ebe1351996f9631","",1,1571592254,"sha256","","505f1dd6-ecc7-4789-b5aa-89aa43075903","pe-section","file"
"00e218e1-27ed-4761-99f7-4fe18c92825b",8433,"Other","size-in-bytes",26112,"",0,1571592254,"size-in-bytes","","505f1dd6-ecc7-4789-b5aa-89aa43075903","pe-section","file"
"e2981bbf-fc4d-4745-8d19-2228f62b7028",8433,"Other","float",6.41619,"",0,1571592254,"entropy","","505f1dd6-ecc7-4789-b5aa-89aa43075903","pe-section","file"
"aa0eb0d5-b9e4-41d3-88d2-cba90fbd008d",8433,"Other","text",".rdata","",0,1571592254,"name","","28dc55f6-59a9-4c03-b3e2-6052b09dbb34","pe-section","file"
"fa48916a-c5cb-4db9-b511-581eb77b059d",8433,"Payload delivery","md5","d45dcba8ca646543f7e339e20089687e","",1,1571592254,"md5","","28dc55f6-59a9-4c03-b3e2-6052b09dbb34","pe-section","file"
"4a049605-2dbb-4b88-b35c-33fef48b5997",8433,"Payload delivery","sha1","bc86d89dc84b61007ef3c370441808ae63b914b6","",1,1571592254,"sha1","","28dc55f6-59a9-4c03-b3e2-6052b09dbb34","pe-section","file"
"7955bd2e-2a58-4d8d-9bb2-780139a399aa",8433,"Payload delivery","sha256","1ff6a6913bbc4a34cae2c496ab7d059c120601d8eaebaf841eae5fc13188b26d","",1,1571592254,"sha256","","28dc55f6-59a9-4c03-b3e2-6052b09dbb34","pe-section","file"
"f78aafb5-3594-438c-97fa-171735f34605",8433,"Other","size-in-bytes",5120,"",0,1571592254,"size-in-bytes","","28dc55f6-59a9-4c03-b3e2-6052b09dbb34","pe-section","file"
"cc575a94-97f4-46aa-8451-9c697d9fa1bc",8433,"Other","float",5.15491,"",0,1571592254,"entropy","","28dc55f6-59a9-4c03-b3e2-6052b09dbb34","pe-section","file"
"3e20dadb-38f5-4832-8306-5ffe097f91f7",8433,"Other","text",".data","",0,1571592254,"name","","2dbdba6f-16b6-4d46-87bf-0fa35562b5f7","pe-section","file"
"65d3cf21-8020-4741-8fe9-3beca80769e5",8433,"Payload delivery","md5","8575fc5e872ca789611c386779287649","",1,1571592254,"md5","","2dbdba6f-16b6-4d46-87bf-0fa35562b5f7","pe-section","file"
"d5329949-b1ff-4fdf-83cd-9b08f221d568",8433,"Payload delivery","sha1","919a09af848861c30a3d498fbd9e4ce73d81554a","",1,1571592254,"sha1","","2dbdba6f-16b6-4d46-87bf-0fa35562b5f7","pe-section","file"
"a1ddf1e5-220b-478a-b5bb-d8173e3b71e4",8433,"Payload delivery","sha256","b70fa3c995d4a1b5857a8aae5777a06fedd497d9cc56c39d85a11f9251eb9e7a","",1,1571592254,"sha256","","2dbdba6f-16b6-4d46-87bf-0fa35562b5f7","pe-section","file"
"350be338-cca6-4c41-ab52-fcbb1e84486b",8433,"Other","size-in-bytes",1536,"",0,1571592254,"size-in-bytes","","2dbdba6f-16b6-4d46-87bf-0fa35562b5f7","pe-section","file"
"17010bf9-a4ab-484d-9724-c6f56a93ce27",8433,"Other","float",4.0044,"",0,1571592254,"entropy","","2dbdba6f-16b6-4d46-87bf-0fa35562b5f7","pe-section","file"
"5f10bfb5-7709-42fe-85aa-8cdf2cbbf08d",8433,"Other","text",".ndata","",0,1571592254,"name","","f57b67db-2bb3-4dfb-95d6-85312be7a939","pe-section","file"
"cfd51f02-298a-407b-9d90-54f39523a2cb",8433,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1571592254,"md5","","f57b67db-2bb3-4dfb-95d6-85312be7a939","pe-section","file"
"0d5b0c84-0198-4fcf-9e44-b09f3b99e530",8433,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1571592254,"sha1","","f57b67db-2bb3-4dfb-95d6-85312be7a939","pe-section","file"
"d3ade54e-221c-4b86-bda5-09aa3cd070cb",8433,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1571592255,"sha256","","f57b67db-2bb3-4dfb-95d6-85312be7a939","pe-section","file"
"e2bdd0e8-ab31-453c-bc32-c97b737c913e",8433,"Other","size-in-bytes",0,"",0,1571592255,"size-in-bytes","","f57b67db-2bb3-4dfb-95d6-85312be7a939","pe-section","file"
