uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dad21ea-e674-44cf-ad8e-2426c0a8018c",8441,"Payload delivery","filename","kuma.arm","",0,1571627498,"","","","",""
"5dad21ea-9868-4b76-b7dc-2426c0a8018c",8441,"Payload delivery","md5","1662bda4b853d2f96b8e3a4c62fcc0f4","",1,1571627498,"","","","",""
"5dad21ea-b764-4e11-9a7f-2426c0a8018c",8441,"Payload delivery","sha1","060b300b36abc35c7da61ae05731b23c77f9f060","",1,1571627498,"","","","",""
"5dad21ea-6168-4983-a1b4-2426c0a8018c",8441,"Payload delivery","sha256","04d3f56de600c38ae52e331452edb77243ff47b843b45c9a63cf5d9f6955c8ea","",1,1571627498,"","","","",""
"5dad21ea-b3f0-452e-9507-2426c0a8018c",8441,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1571627498,"","","","",""
"5dad21ea-608c-4643-b960-2426c0a8018c",8441,"Network activity","url","http://141.105.66.254/d0wnlo0oder/kuma.arm","",1,1571627498,"","","","",""
"5dad21ea-baf0-4582-b8a6-2426c0a8018c",8441,"Network activity","ip-dst","141.105.66.254","",1,1571627498,"","","","",""
"309c3069-9aef-4288-a7c2-6badb2574350",8441,"External analysis","link","https://www.virustotal.com/gui/file/04d3f56de600c38ae52e331452edb77243ff47b843b45c9a63cf5d9f6955c8ea/detection","",0,1571627498,"permalink","","9451cfc5-90d6-4b87-968f-bde537d07c87","virustotal-report","misc"
"30c33ebe-7bf2-41a3-89f2-2c1c6843c804",8441,"Other","datetime","2019-10-21T02:39:31","",0,1571627498,"last-submission","","9451cfc5-90d6-4b87-968f-bde537d07c87","virustotal-report","misc"
"1e44dd6d-7557-4c3d-8cf3-5d4e0a66798d",8441,"Other","text","12/57","",0,1571627498,"detection-ratio","","9451cfc5-90d6-4b87-968f-bde537d07c87","virustotal-report","misc"

