uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5db40a7a-dfa0-4fcf-b8ee-4d24c0a8018c",9530,"Payload delivery","filename","torl.exe","",0,1572080250,"","","","",""
"5db40a7a-0db8-4a3c-92f1-4d24c0a8018c",9530,"Payload delivery","md5","9e7eb9b0d69f6030af50f09ae1c39fb1","",1,1572080250,"","","","",""
"5db40a7a-5dd4-4ef2-b89e-4d24c0a8018c",9530,"Payload delivery","sha1","bc80ae7d5556f4550a49d342fc207208dd68fa3f","",1,1572080250,"","","","",""
"5db40a7a-3c44-42e6-b901-4d24c0a8018c",9530,"Payload delivery","sha256","4f1c52c8680fdec10147309debbd3faa37f1a4df2be7146b920422f2af04c976","",1,1572080250,"","","","",""
"5db40a7a-0dd0-4ba7-b37e-4d24c0a8018c",9530,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1572080250,"","","","",""
"5db40a7a-04c8-4e8b-aab0-4d24c0a8018c",9530,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1572080250,"","","","",""
"5db40a7a-62a0-4082-890f-4d24c0a8018c",9530,"Network activity","url","http://my-unicorner.de/webshop/wp-content/themes/sketch/torl.exe","",1,1572080250,"","","","",""
"5db40a7a-34a8-418e-b0bf-4d24c0a8018c",9530,"Network activity","domain","my-unicorner.de","",1,1572080250,"","","","",""
"e9236c29-abfd-4208-ab08-8760f014632d",9530,"Other","text",".text","",0,1572080250,"name","","77d621dc-8242-41a0-b6c3-a0739f906275","pe-section","file"
"b8020ede-e474-4e69-8eee-9885c13049c3",9530,"Payload delivery","md5","dc9b4b7f575ba40b1615196bc9c43cc7","",1,1572080250,"md5","","77d621dc-8242-41a0-b6c3-a0739f906275","pe-section","file"
"32aa1713-965a-40eb-bf64-aa9479e15eac",9530,"Payload delivery","sha1","a528471e2d2b2433a7ae7d1004abf986a8f94aea","",1,1572080250,"sha1","","77d621dc-8242-41a0-b6c3-a0739f906275","pe-section","file"
"808d9073-5e22-476f-9487-17b0217c4263",9530,"Payload delivery","sha256","70f541826745addb93cabd3f24b2f6cdef73e20e4b6524070fac935308ce536b","",1,1572080250,"sha256","","77d621dc-8242-41a0-b6c3-a0739f906275","pe-section","file"
"3461d830-28cb-4adf-8003-0638a4ec825e",9530,"Other","size-in-bytes",165888,"",0,1572080250,"size-in-bytes","","77d621dc-8242-41a0-b6c3-a0739f906275","pe-section","file"
"779ba2bc-2e44-4a51-9d5f-3fb59f98635b",9530,"Other","float",6.32444,"",0,1572080250,"entropy","","77d621dc-8242-41a0-b6c3-a0739f906275","pe-section","file"
"c4d4411f-8c42-4e79-97e8-1f1d7f8ab950",9530,"Other","text",".rsrc","",0,1572080250,"name","","ab7d1011-0da4-4da8-a899-efa9b0314fdf","pe-section","file"
"787c81f6-e545-421c-b9fb-90bf42697453",9530,"Payload delivery","md5","d3a64b221a3ca9cfa58ec9baa1d6daf5","",1,1572080250,"md5","","ab7d1011-0da4-4da8-a899-efa9b0314fdf","pe-section","file"
"41ab06b6-155c-4e8b-82de-e3be8b76476f",9530,"Payload delivery","sha1","8c154ff2200410d276bfb8b063618653c6d9c1ba","",1,1572080250,"sha1","","ab7d1011-0da4-4da8-a899-efa9b0314fdf","pe-section","file"
"b1970a6a-f4fd-4966-b8dc-ccb3d45337c6",9530,"Payload delivery","sha256","2491e90a83049283707e97430d1e237b2505ff6cd8b417b4b3698c245e9f8c91","",1,1572080250,"sha256","","ab7d1011-0da4-4da8-a899-efa9b0314fdf","pe-section","file"
"744d02da-c9f3-4285-8161-fce9ebd8b5e6",9530,"Other","size-in-bytes",5120,"",0,1572080250,"size-in-bytes","","ab7d1011-0da4-4da8-a899-efa9b0314fdf","pe-section","file"
"30e0ffe1-2b4c-4ce5-a0e7-75c56e5c30a6",9530,"Other","float",3.10479,"",0,1572080250,"entropy","","ab7d1011-0da4-4da8-a899-efa9b0314fdf","pe-section","file"
"fc0b2d2e-1e5b-4c16-a6f6-3067f23afc0e",9530,"Other","text",".reloc","",0,1572080250,"name","","5c37edff-673b-4fd6-b752-450d32357687","pe-section","file"
"f4ff9593-b8d9-43c1-a485-1a78dbdf22b1",9530,"Payload delivery","md5","bef8e9ad2ba15bc3dece0068e520b6cc","",1,1572080250,"md5","","5c37edff-673b-4fd6-b752-450d32357687","pe-section","file"
"303d8df1-dc3a-4d7e-82c1-519d42a616c4",9530,"Payload delivery","sha1","d7a05baf5b00862c01c775e7207234ded3c844c6","",1,1572080250,"sha1","","5c37edff-673b-4fd6-b752-450d32357687","pe-section","file"
"94a8d594-3f94-4df1-af9f-7d9cc25f0d7e",9530,"Payload delivery","sha256","f109e24393fa9b7d4543cc543fcc56b36b1025d9404af3afe492c794725d596d","",1,1572080250,"sha256","","5c37edff-673b-4fd6-b752-450d32357687","pe-section","file"
"24c3586d-a087-4127-aa01-defb64e2e1de",9530,"Other","size-in-bytes",512,"",0,1572080250,"size-in-bytes","","5c37edff-673b-4fd6-b752-450d32357687","pe-section","file"
"aac05087-b245-45d6-94bc-d25f6bc76ee1",9530,"Other","float",0.10191,"",0,1572080250,"entropy","","5c37edff-673b-4fd6-b752-450d32357687","pe-section","file"
"4922d509-98dd-4376-a4e6-c6b1dc61f98d",9530,"External analysis","link","https://www.virustotal.com/gui/file/4f1c52c8680fdec10147309debbd3faa37f1a4df2be7146b920422f2af04c976/detection","",0,1572080251,"permalink","","6a3b67c0-fd8d-474d-93d1-e7e033c35182","virustotal-report","misc"
"bfe49ef1-f967-423f-83e4-f998c96ece75",9530,"Other","datetime","2019-10-09T23:36:42","",0,1572080251,"last-submission","","6a3b67c0-fd8d-474d-93d1-e7e033c35182","virustotal-report","misc"
"741f3c4f-42da-4fa7-b0fe-950a43ec47ec",9530,"Other","text","31/68","",0,1572080251,"detection-ratio","","6a3b67c0-fd8d-474d-93d1-e7e033c35182","virustotal-report","misc"

