uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5db48874-a040-4295-8ef6-4d27c0a8018c",9563,"Payload delivery","filename","UnHAnaAW.x86","",0,1572112500,"","","","",""
"5db48874-2838-4f1e-a1bb-4d27c0a8018c",9563,"Payload delivery","md5","c6ab4ffa0fcf56622f97911134c8e119","",1,1572112500,"","","","",""
"5db48874-2a3c-44a6-8b67-4d27c0a8018c",9563,"Payload delivery","sha1","fa8745a55d5c7caca7acd43ffd61e8bf1edc5665","",1,1572112500,"","","","",""
"5db48874-5088-4245-abd4-4d27c0a8018c",9563,"Payload delivery","sha256","8a63b417f60fd22c58a5a8d431f5a4eb0eb325c3dd12f1425d1773de05511613","",1,1572112500,"","","","",""
"5db48874-7950-4abb-92b3-4d27c0a8018c",9563,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (GNU/Linux), statically linked, no section header","",0,1572112500,"","","","",""
"5db48874-77a4-4e35-a0cb-4d27c0a8018c",9563,"Network activity","url","http://107.174.14.71/bins/UnHAnaAW.x86","",1,1572112500,"","","","",""
"5db48874-c418-432e-bee9-4d27c0a8018c",9563,"Network activity","ip-dst","107.174.14.71","",1,1572112500,"","","","",""
"f80cbaeb-7daa-45cc-8c80-54aa984a9f3e",9563,"External analysis","link","https://www.virustotal.com/gui/file/8a63b417f60fd22c58a5a8d431f5a4eb0eb325c3dd12f1425d1773de05511613/detection","",0,1572112501,"permalink","","643f6700-7dd3-40ae-a8d7-e925dfb52373","virustotal-report","misc"
"567bbfc8-6646-4c29-82f8-b83551425075",9563,"Other","datetime","2019-10-26T16:55:33","",0,1572112501,"last-submission","","643f6700-7dd3-40ae-a8d7-e925dfb52373","virustotal-report","misc"
"34d8b775-c9d7-4384-9805-1d15a2100d56",9563,"Other","text","12/57","",0,1572112501,"detection-ratio","","643f6700-7dd3-40ae-a8d7-e925dfb52373","virustotal-report","misc"

