uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5db7f1e6-f1fc-4c72-9277-5994c0a8018c",9912,"Payload delivery","filename","emptyfilename.tmp","",0,1572336102,"","","","",""
"5db7f1e6-60f8-49d8-bf87-5994c0a8018c",9912,"Payload delivery","md5","93a41759bc3985b70ecfbbe36f15c577","",1,1572336102,"","","","",""
"5db7f1e6-9890-441c-939e-5994c0a8018c",9912,"Payload delivery","sha1","fa218c135594e1eefc25ed1a0342301ac8cfee9a","",1,1572336102,"","","","",""
"5db7f1e6-8480-4ae1-a888-5994c0a8018c",9912,"Payload delivery","sha256","6fb76af41c281a4950c0fbcd2152d58a584b112e82331ddd43fd5d752f44f155","",1,1572336102,"","","","",""
"5db7f1e6-3dec-41db-b855-5994c0a8018c",9912,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1572336102,"","","","",""
"5db7f1e6-92d0-4f5c-91a6-5994c0a8018c",9912,"Payload delivery","imphash","4f9d0a1a92ceb850fdd1d29273319626","",0,1572336102,"","","","",""
"5db7f1e6-4020-44ec-88fc-5994c0a8018c",9912,"Network activity","url","https://www.cirugiaurologica.com/wp-content/svZufGh/","",1,1572336102,"","","","",""
"5db7f1e6-d7d4-458f-a4cd-5994c0a8018c",9912,"Network activity","domain","www.cirugiaurologica.com","",1,1572336102,"","","","",""
"89b935f5-096f-4105-bc8b-e78df19ecabd",9912,"Other","text",".text","",0,1572336102,"name","","21bcb018-b6dc-48ee-bbb5-12e175437d3f","pe-section","file"
"a23a4eed-58b5-4706-8709-cafb2a81b96f",9912,"Payload delivery","md5","32476dfeef158709e9fd9022db97b60e","",1,1572336102,"md5","","21bcb018-b6dc-48ee-bbb5-12e175437d3f","pe-section","file"
"aefb79e5-1752-4330-9eba-01b62a10672a",9912,"Payload delivery","sha1","c5cfbcc88235dc74a383a3ef9cf8621a30a32658","",1,1572336102,"sha1","","21bcb018-b6dc-48ee-bbb5-12e175437d3f","pe-section","file"
"7d5c53e2-c7ed-41b0-aa4e-cc43e5d9b274",9912,"Payload delivery","sha256","e3b1dbc5e0b72a4ba70b927bf9b55294481ae3e6cf3b28a62aa2a6d0f5b86020","",1,1572336102,"sha256","","21bcb018-b6dc-48ee-bbb5-12e175437d3f","pe-section","file"
"07ccc1f2-7c51-40ee-a3f6-2387d01b0371",9912,"Other","size-in-bytes",236032,"",0,1572336102,"size-in-bytes","","21bcb018-b6dc-48ee-bbb5-12e175437d3f","pe-section","file"
