uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dbadea9-c8f4-406c-9e05-5a69c0a8018c",10298,"Payload delivery","filename","_outputA82D10F.exe","",0,1572527785,"","","","",""
"5dbadea9-1408-4b93-81d1-5a69c0a8018c",10298,"Payload delivery","md5","f16ea9f936e594e4f32cc93fc0bfb449","",1,1572527785,"","","","",""
"5dbadea9-b38c-4a8e-b7a5-5a69c0a8018c",10298,"Payload delivery","sha1","e5493ed5c992d691bb67361064b9ed1427a1f31f","",1,1572527785,"","","","",""
"5dbadea9-3b80-4f5f-90d2-5a69c0a8018c",10298,"Payload delivery","sha256","73759f16d074c150d4090faaad46a025dd987a3338f97d46955e7beb6ae86a2c","",1,1572527785,"","","","",""
"5dbadeaa-df2c-4d10-9b14-5a69c0a8018c",10298,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1572527786,"","","","",""
"5dbadeaa-a8dc-4e3c-8140-5a69c0a8018c",10298,"Payload delivery","imphash","f38d69af995b6ef1b916a64d7b683c39","",0,1572527786,"","","","",""
"5dbadeaa-01d0-48f7-b21b-5a69c0a8018c",10298,"Network activity","url","http://amabai.org/admin/_outputA82D10F.exe","",1,1572527786,"","","","",""
"5dbadeaa-638c-47fa-af06-5a69c0a8018c",10298,"Network activity","domain","amabai.org","",1,1572527786,"","","","",""
"310ab52b-5be9-45c7-9abc-55b16d584dd9",10298,"Other","text",".text","",0,1572527786,"name","","523b0aca-e1f2-47bf-857d-368f1a1bb47a","pe-section","file"
"e7eccad7-11a6-4d98-9645-28eb044cc9c6",10298,"Payload delivery","md5","7d5a1e0daeeb26ccbcd7d2df1b81f44d","",1,1572527786,"md5","","523b0aca-e1f2-47bf-857d-368f1a1bb47a","pe-section","file"
"db32a963-4c8b-4a66-8475-ebfdbd09e8b8",10298,"Payload delivery","sha1","665db93727696e215a8c0cc765ee45b86e538245","",1,1572527786,"sha1","","523b0aca-e1f2-47bf-857d-368f1a1bb47a","pe-section","file"
"4df11a23-4613-445c-a80f-bd8ff983a0cd",10298,"Payload delivery","sha256","17a597a203509bde6237b03d6473f61fe853336556e2f1983cfe6bda18b8fbb4","",1,1572527786,"sha256","","523b0aca-e1f2-47bf-857d-368f1a1bb47a","pe-section","file"
"534f7830-6827-42f6-9afc-1fd834339170",10298,"Other","size-in-bytes",1040384,"",0,1572527786,"size-in-bytes","","523b0aca-e1f2-47bf-857d-368f1a1bb47a","pe-section","file"
"84f42211-b102-46d1-b049-58f6b2c2f190",10298,"Other","float",6.7571,"",0,1572527786,"entropy","","523b0aca-e1f2-47bf-857d-368f1a1bb47a","pe-section","file"
"ea067426-76e5-4b80-b755-ba4032d8ad58",10298,"Other","text",".data","",0,1572527786,"name","","f3d9eeab-ffa2-480b-a3d1-0cec9daf1890","pe-section","file"
"c953d731-187d-41e9-b1aa-f766a12bca46",10298,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1572527786,"md5","","f3d9eeab-ffa2-480b-a3d1-0cec9daf1890","pe-section","file"
"0c4fc87b-ae5a-4ce9-8b08-217f7fc9220b",10298,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1572527786,"sha1","","f3d9eeab-ffa2-480b-a3d1-0cec9daf1890","pe-section","file"
"49999ef6-d2fa-40e1-b4e1-e8551d7567da",10298,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1572527786,"sha256","","f3d9eeab-ffa2-480b-a3d1-0cec9daf1890","pe-section","file"
"30516753-2bf4-4843-bb4b-33e365b42c0d",10298,"Other","size-in-bytes",4096,"",0,1572527786,"size-in-bytes","","f3d9eeab-ffa2-480b-a3d1-0cec9daf1890","pe-section","file"
"53c09e0a-f282-492a-96fa-afb416c33756",10298,"Other","float",0.0,"",0,1572527786,"entropy","","f3d9eeab-ffa2-480b-a3d1-0cec9daf1890","pe-section","file"
"e1ba1a76-50c4-4c28-ba45-271977da4622",10298,"Other","text",".rsrc","",0,1572527786,"name","","1313a1a4-f7eb-4c37-89b4-23d15ef205b6","pe-section","file"
"539b34ea-e2a7-4a4a-84f3-012a3186d157",10298,"Payload delivery","md5","07b2af80606d6386cf3212e8dc6fc9da","",1,1572527786,"md5","","1313a1a4-f7eb-4c37-89b4-23d15ef205b6","pe-section","file"
"b23baea5-b11c-4fbf-8e07-e2be73684a77",10298,"Payload delivery","sha1","24ef90f27ae9f318596890ea7533dc866385ae7b","",1,1572527786,"sha1","","1313a1a4-f7eb-4c37-89b4-23d15ef205b6","pe-section","file"
"564b4ba5-5147-4af5-9157-84c4e3dba638",10298,"Payload delivery","sha256","3b1d689c8b374446ae58197631d2eab80144ed48e5711c786e9baeab340d5d0f","",1,1572527786,"sha256","","1313a1a4-f7eb-4c37-89b4-23d15ef205b6","pe-section","file"
"3af00dd5-8cc2-4a4a-9914-067d385689d7",10298,"Other","size-in-bytes",16384,"",0,1572527786,"size-in-bytes","","1313a1a4-f7eb-4c37-89b4-23d15ef205b6","pe-section","file"
"de4269ae-b2a4-455d-9ab9-2ebd3c2351e6",10298,"Other","float",5.00565,"",0,1572527786,"entropy","","1313a1a4-f7eb-4c37-89b4-23d15ef205b6","pe-section","file"

