uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dbb47d6-ad48-445c-8764-5a68c0a8018c",10407,"Payload delivery","filename","vicci.exe","",0,1572554710,"","","","",""
"5dbb47d6-1498-42d9-8a04-5a68c0a8018c",10407,"Payload delivery","md5","9457164e87b5e8473a35a705e830e53e","",1,1572554710,"","","","",""
"5dbb47d6-2628-4c8c-8ca6-5a68c0a8018c",10407,"Payload delivery","sha1","2cd26306cc3ce890a4aa215783fed8ff9c179f98","",1,1572554710,"","","","",""
"5dbb47d6-01e8-44d1-9db5-5a68c0a8018c",10407,"Payload delivery","sha256","440b87424b73228deb9365afab239621376b886a1e85cfd71ab46e0700e40395","",1,1572554710,"","","","",""
"5dbb47d6-f6d0-4aec-8662-5a68c0a8018c",10407,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1572554710,"","","","",""
"5dbb47d6-479c-4660-83e6-5a68c0a8018c",10407,"Payload delivery","imphash","c2ab361b323cfe521162a49448ad2fce","",0,1572554710,"","","","",""
"5dbb47d6-b880-4fb9-935b-5a68c0a8018c",10407,"Network activity","url","http://uzojesse.top/vicci/vicci.exe","",1,1572554710,"","","","",""
"5dbb47d6-f294-4c67-8155-5a68c0a8018c",10407,"Network activity","domain","uzojesse.top","",1,1572554710,"","","","",""
"e5034713-ec97-442b-94b7-6cc817d1c8be",10407,"Other","text","CODE","",0,1572554710,"name","","aa46312f-85ba-4b24-8339-522c300e9c0d","pe-section","file"
"d7c53cb3-72e4-42af-9edb-f230982d8015",10407,"Payload delivery","md5","dd790abfe0db41d46c03d9fb32d83470","",1,1572554710,"md5","","aa46312f-85ba-4b24-8339-522c300e9c0d","pe-section","file"
"d714bfcb-6361-4d47-9a10-0b553d649e46",10407,"Payload delivery","sha1","84e37c5208df610853d655047714288efd3819fb","",1,1572554710,"sha1","","aa46312f-85ba-4b24-8339-522c300e9c0d","pe-section","file"
"353b5506-901a-40dd-a89e-2736c58e448e",10407,"Payload delivery","sha256","7a77c7d3f23537dbc9602e78f328081b1c5f80363c9ed041b8f6fade7ad68af2","",1,1572554710,"sha256","","aa46312f-85ba-4b24-8339-522c300e9c0d","pe-section","file"
"80e0d4b9-97f4-4d5f-9496-5cf954b173e6",10407,"Other","size-in-bytes",372224,"",0,1572554710,"size-in-bytes","","aa46312f-85ba-4b24-8339-522c300e9c0d","pe-section","file"
"6167e907-2976-462b-88ee-bcca7aca26eb",10407,"Other","float",6.53119,"",0,1572554710,"entropy","","aa46312f-85ba-4b24-8339-522c300e9c0d","pe-section","file"
"5b92b833-11c1-40a7-9ce9-9880e7551b05",10407,"Other","text","DATA","",0,1572554710,"name","","281e02aa-dbb7-4670-9620-81e3788dc086","pe-section","file"
"f50d8299-6e4a-4e4d-8f09-17d9feb0ee01",10407,"Payload delivery","md5","43d1f8fa950291e4fedae7d312c26566","",1,1572554710,"md5","","281e02aa-dbb7-4670-9620-81e3788dc086","pe-section","file"
"b3c00009-12fe-4472-a374-e7b376bd311b",10407,"Payload delivery","sha1","c4d93ad28b9775995d92cd7e287ac8f2366608b0","",1,1572554710,"sha1","","281e02aa-dbb7-4670-9620-81e3788dc086","pe-section","file"
"002e8c84-7a1c-4eba-a01f-5d065f39b85e",10407,"Payload delivery","sha256","bcf3ad6ccce823c3f946edf5f5d0daf3d008558b5cab746473ff5a0b0ec1ce77","",1,1572554710,"sha256","","281e02aa-dbb7-4670-9620-81e3788dc086","pe-section","file"
"35d4c36c-9c7e-407f-91a0-c231fe50bf5b",10407,"Other","size-in-bytes",53760,"",0,1572554710,"size-in-bytes","","281e02aa-dbb7-4670-9620-81e3788dc086","pe-section","file"
"0ff96af7-af46-4f34-a1f7-21f9c391095e",10407,"Other","float",4.44577,"",0,1572554710,"entropy","","281e02aa-dbb7-4670-9620-81e3788dc086","pe-section","file"
"562c593c-4ab1-44a6-840e-cca4d7ab7e58",10407,"Other","text","BSS","",0,1572554710,"name","","618b75d0-a1db-4f85-8c8c-174293629db3","pe-section","file"
"f2b7246b-ecd3-4729-b5b6-790500f819b9",10407,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1572554710,"md5","","618b75d0-a1db-4f85-8c8c-174293629db3","pe-section","file"
"1f91b908-1499-4d58-89cf-a0f3605afad2",10407,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1572554711,"sha1","","618b75d0-a1db-4f85-8c8c-174293629db3","pe-section","file"
"1b87c4e7-d050-4fb2-ae5c-0d5bfab9bab6",10407,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1572554711,"sha256","","618b75d0-a1db-4f85-8c8c-174293629db3","pe-section","file"
"1b833286-2974-4bad-bb26-ef35a1c7728c",10407,"Other","size-in-bytes",0,"",0,1572554711,"size-in-bytes","","618b75d0-a1db-4f85-8c8c-174293629db3","pe-section","file"
"83aff0a9-6168-46fc-9505-d82f515c1c26",10407,"Other","float",0.0,"",0,1572554711,"entropy","","618b75d0-a1db-4f85-8c8c-174293629db3","pe-section","file"
"da3a1f20-2e07-4393-979b-23627447aafb",10407,"Other","text",".idata","",0,1572554711,"name","","eedd620a-d7b4-4a93-9540-afdbfb38325d","pe-section","file"
"51d086dc-a85e-4d4d-b80c-b52a797e4e1a",10407,"Payload delivery","md5","d975e28f67231128ef504e9c04fbe732","",1,1572554711,"md5","","eedd620a-d7b4-4a93-9540-afdbfb38325d","pe-section","file"
"d9554304-240a-41bd-b79f-41b3f10bac85",10407,"Payload delivery","sha1","d7d75bb86c1605dc4282bb42f22cbcabfdde8996","",1,1572554711,"sha1","","eedd620a-d7b4-4a93-9540-afdbfb38325d","pe-section","file"
"94f8de51-cd65-4897-9c9d-3a8b3693b761",10407,"Payload delivery","sha256","15e5978e98c9cb0c710b734c6359674997b3756a18fd0c21950ba8b7cee3a90c","",1,1572554711,"sha256","","eedd620a-d7b4-4a93-9540-afdbfb38325d","pe-section","file"
"1c22e229-08d9-4b18-9a5b-3d6d6125358e",10407,"Other","size-in-bytes",8704,"",0,1572554711,"size-in-bytes","","eedd620a-d7b4-4a93-9540-afdbfb38325d","pe-section","file"
"a754acda-8264-4e16-9945-a2d17361ee20",10407,"Other","float",4.9356,"",0,1572554711,"entropy","","eedd620a-d7b4-4a93-9540-afdbfb38325d","pe-section","file"
"fe9423ea-f9a2-43c2-9592-6e54a8dc7af7",10407,"Other","text",".rdata","",0,1572554711,"name","","4a99c582-b3bc-4a2e-b0d4-26196519ac6d","pe-section","file"
"e328a4aa-dd6a-4b56-8dd9-7759f7997c4f",10407,"Payload delivery","md5","1da0f3053e9da0dda5356f1b8a7220c2","",1,1572554711,"md5","","4a99c582-b3bc-4a2e-b0d4-26196519ac6d","pe-section","file"
"f62c648b-c471-449b-9ded-0288cbdf9a4b",10407,"Payload delivery","sha1","cff984294fdc351d9d4ddcb1ed050e3553e969d2","",1,1572554711,"sha1","","4a99c582-b3bc-4a2e-b0d4-26196519ac6d","pe-section","file"
"3be29f05-03d3-474c-ad5f-de91583ddf6c",10407,"Payload delivery","sha256","1d26e76181d9345e4c287cb5e5e412369620ecd3990dace55d8d02fa8dd41c0e","",1,1572554711,"sha256","","4a99c582-b3bc-4a2e-b0d4-26196519ac6d","pe-section","file"
"e30ef56a-9205-4976-801f-1c479c4e94d1",10407,"Other","size-in-bytes",512,"",0,1572554711,"size-in-bytes","","4a99c582-b3bc-4a2e-b0d4-26196519ac6d","pe-section","file"
"02b1d83e-5acc-4919-acdf-30ee91f69d47",10407,"Other","float",0.200582,"",0,1572554711,"entropy","","4a99c582-b3bc-4a2e-b0d4-26196519ac6d","pe-section","file"
"8d2bd14e-641f-4821-bf43-ca6c53bb785f",10407,"Other","text",".reloc","",0,1572554711,"name","","f42539e7-d9ad-4c5c-8e4e-391ab21bc4e0","pe-section","file"
"1e0eb1a4-60eb-408d-825a-37c35d4850ca",10407,"Payload delivery","md5","af4b46829b540aa63366eef6bd070dd9","",1,1572554712,"md5","","f42539e7-d9ad-4c5c-8e4e-391ab21bc4e0","pe-section","file"
"9b70a76f-de2e-4377-8f6b-22c36776758b",10407,"Payload delivery","sha1","9b4d4e628c86cde0ca916545fc0f8e5ecdea14a1","",1,1572554712,"sha1","","f42539e7-d9ad-4c5c-8e4e-391ab21bc4e0","pe-section","file"
"29f235ae-3fc6-48db-8bfb-44dc230eb588",10407,"Payload delivery","sha256","ecfba60bd7c86fe5c05d6361e64ca7af5e8244b9999ee3dcb023c2949e245b10","",1,1572554712,"sha256","","f42539e7-d9ad-4c5c-8e4e-391ab21bc4e0","pe-section","file"
"c687515d-cd59-4deb-887c-6c5c86c2d0d8",10407,"Other","size-in-bytes",26624,"",0,1572554712,"size-in-bytes","","f42539e7-d9ad-4c5c-8e4e-391ab21bc4e0","pe-section","file"
"2af58d9b-e18c-4ca2-8f39-f1617eafa3c9",10407,"Other","float",6.62644,"",0,1572554712,"entropy","","f42539e7-d9ad-4c5c-8e4e-391ab21bc4e0","pe-section","file"
"6ef105ec-2485-4e2d-b1cf-f037c4d38bb5",10407,"Other","text",".rsrc","",0,1572554712,"name","","bdc49c38-fa42-4e00-b2e8-b22da2f7427d","pe-section","file"
"fe9d20ba-9baf-4810-9421-06e068c89043",10407,"Payload delivery","md5","20218c92b035fb5bfe4ab71b8e8db088","",1,1572554712,"md5","","bdc49c38-fa42-4e00-b2e8-b22da2f7427d","pe-section","file"
"167abacf-284d-4642-b36d-7b7201addfbb",10407,"Payload delivery","sha1","ed968c4299af0550aab2bff0f76a58a0683efc68","",1,1572554712,"sha1","","bdc49c38-fa42-4e00-b2e8-b22da2f7427d","pe-section","file"
"fe53be80-369b-4737-9fa0-dea0be946788",10407,"Payload delivery","sha256","4c35d43161bd31c29460322c81f22cdd9a3f3d8c09efae86a283006e5bfb7627","",1,1572554712,"sha256","","bdc49c38-fa42-4e00-b2e8-b22da2f7427d","pe-section","file"
"6a0cf7a8-e1a1-4123-8149-7269918384c2",10407,"Other","size-in-bytes",122880,"",0,1572554712,"size-in-bytes","","bdc49c38-fa42-4e00-b2e8-b22da2f7427d","pe-section","file"
"ea5a683d-9cbe-41a0-89c6-653282f2ff08",10407,"Other","float",7.08545,"",0,1572554712,"entropy","","bdc49c38-fa42-4e00-b2e8-b22da2f7427d","pe-section","file"
"e64079ae-d6ad-47b3-900c-1a59aa1e1bf5",10407,"External analysis","link","https://www.virustotal.com/gui/file/440b87424b73228deb9365afab239621376b886a1e85cfd71ab46e0700e40395/detection","",0,1572554712,"permalink","","b8b3b468-3491-4ebf-bbf4-353d9eba314e","virustotal-report","misc"
"b24d263c-c810-4161-b682-267a8f923dcb",10407,"Other","datetime","2019-10-31T13:45:57","",0,1572554712,"last-submission","","b8b3b468-3491-4ebf-bbf4-353d9eba314e","virustotal-report","misc"
"a1acb849-ab6c-4853-a8cc-e8f331aed16e",10407,"Other","text","30/71","",0,1572554712,"detection-ratio","","b8b3b468-3491-4ebf-bbf4-353d9eba314e","virustotal-report","misc"

