uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dbf1d23-049c-4481-9bf3-17c1c0a8018c",10852,"Payload delivery","filename","arm5.idopoc","",0,1572805923,"","","","",""
"5dbf1d23-a388-4209-b414-17c1c0a8018c",10852,"Payload delivery","md5","23389be425f8127636333b6afedaf437","",1,1572805923,"","","","",""
"5dbf1d23-2814-4763-b725-17c1c0a8018c",10852,"Payload delivery","sha1","e26b039694a7e66da40121c0c03e6898b600860b","",1,1572805923,"","","","",""
"5dbf1d24-9f38-482a-9b43-17c1c0a8018c",10852,"Payload delivery","sha256","b7da63f14b4ee3a83a7a08e854abc29083222e3fd2beecefb0804d7eb1cdea6c","",1,1572805924,"","","","",""
"5dbf1d24-5b64-4f61-9dc1-17c1c0a8018c",10852,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1572805924,"","","","",""
"5dbf1d24-1fdc-4e55-ac0e-17c1c0a8018c",10852,"Network activity","url","http://35.236.111.58/zzz/arm5.idopoc","",1,1572805924,"","","","",""
"5dbf1d24-7b60-494d-af1f-17c1c0a8018c",10852,"Network activity","ip-dst","35.236.111.58","",1,1572805924,"","","","",""
"bae2ea36-e32c-4301-9d81-345430bb968b",10852,"External analysis","link","https://www.virustotal.com/gui/file/b7da63f14b4ee3a83a7a08e854abc29083222e3fd2beecefb0804d7eb1cdea6c/detection","",0,1572805924,"permalink","","57ff83fa-30d9-4a84-917b-b1f5618570d6","virustotal-report","misc"
"ebc4fdae-b97c-4228-9b1d-1903447d90a1",10852,"Other","datetime","2019-11-03T17:56:43","",0,1572805924,"last-submission","","57ff83fa-30d9-4a84-917b-b1f5618570d6","virustotal-report","misc"
"694fdfcc-f12c-4c38-856f-4554e8bdf553",10852,"Other","text","7/57","",0,1572805924,"detection-ratio","","57ff83fa-30d9-4a84-917b-b1f5618570d6","virustotal-report","misc"

