uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dc2ac00-e468-4b31-a28e-7556c0a8018c",11352,"Payload delivery","filename","starticon11.exe","",0,1573039104,"","","","",""
"5dc2ac00-cb34-4cd2-968f-7556c0a8018c",11352,"Payload delivery","md5","23c27e8bdb1ff3db612870d99286da5d","",1,1573039104,"","","","",""
"5dc2ac00-26bc-42ef-9313-7556c0a8018c",11352,"Payload delivery","sha1","55f645e84e402af7faaf50e92032f3283ea7e7c6","",1,1573039104,"","","","",""
"5dc2ac00-c298-46fd-bf26-7556c0a8018c",11352,"Payload delivery","sha256","4598a0c09cb160c295b10c02d3ccfb261cd728b11f4fd1d47db21702100670bd","",1,1573039104,"","","","",""
"5dc2ac00-dbe4-4923-b366-7556c0a8018c",11352,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1573039104,"","","","",""
"5dc2ac00-d628-4b44-8218-7556c0a8018c",11352,"Payload delivery","imphash","2f6a1d0e05ecc5a7eedcfc7da750925e","",0,1573039104,"","","","",""
"5dc2ac00-1f54-4117-8360-7556c0a8018c",11352,"Network activity","url","http://ring1.ug/exe/starticon11.exe","",1,1573039104,"","","","",""
"5dc2ac00-c4fc-4ad5-918c-7556c0a8018c",11352,"Network activity","domain","ring1.ug","",1,1573039104,"","","","",""
"578f53dd-aa71-4261-955a-58615591640d",11352,"Other","text",".text","",0,1573039104,"name","","66dc25ab-63e0-4113-900c-03430ba5c240","pe-section","file"
"94066416-7eec-456f-aa11-d7a2ee2ad14e",11352,"Payload delivery","md5","05e31ba281546fa20623a0879882cea9","",1,1573039104,"md5","","66dc25ab-63e0-4113-900c-03430ba5c240","pe-section","file"
"5706295f-1a61-4110-ba9d-d5715aed6257",11352,"Payload delivery","sha1","324545649341294c2878eccb20f1295c21c8f6e5","",1,1573039104,"sha1","","66dc25ab-63e0-4113-900c-03430ba5c240","pe-section","file"
"4b18135c-845f-4d28-8f05-8e45fc39d218",11352,"Payload delivery","sha256","35355c5ef3326bec6f4dbf8d053ab7bb180c36c7ca2d6e4585fb9f5fcf0b0448","",1,1573039104,"sha256","","66dc25ab-63e0-4113-900c-03430ba5c240","pe-section","file"
"c869d924-be39-448f-b737-92bec4d2028e",11352,"Other","size-in-bytes",51200,"",0,1573039104,"size-in-bytes","","66dc25ab-63e0-4113-900c-03430ba5c240","pe-section","file"
"d449df98-9f9c-493d-a451-4755ac5da585",11352,"Other","float",6.60128,"",0,1573039104,"entropy","","66dc25ab-63e0-4113-900c-03430ba5c240","pe-section","file"
"40f82d7d-9977-42eb-8316-1d0659957633",11352,"Other","text",".rdata","",0,1573039105,"name","","be08e023-e179-4f03-ad91-e06fae4f40ee","pe-section","file"
"8ebb70fe-b69f-4f33-b90a-19808fcde88e",11352,"Payload delivery","md5","f81c7228d9010c514efb2f45bc13ce38","",1,1573039105,"md5","","be08e023-e179-4f03-ad91-e06fae4f40ee","pe-section","file"
"958cd63d-34ec-4eaa-9563-72f23c344a34",11352,"Payload delivery","sha1","4e4139701f25e16cee63390be45e9478b5939ef1","",1,1573039105,"sha1","","be08e023-e179-4f03-ad91-e06fae4f40ee","pe-section","file"
