uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dcc49cb-4f88-4c6b-80bc-4a89c0a8018c",12367,"Payload delivery","filename","2951198.jpg","",0,1573669323,"","","","",""
"5dcc49cb-f900-4d9a-98a7-4a89c0a8018c",12367,"Payload delivery","md5","2218103137a374e1644726b83938b974","",1,1573669323,"","","","",""
"5dcc49cb-f53c-486e-9d4c-4a89c0a8018c",12367,"Payload delivery","sha1","646be029b72bf768ef6590dfcb207d04b498ba9e","",1,1573669323,"","","","",""
"5dcc49cb-f8a0-422d-aa6e-4a89c0a8018c",12367,"Payload delivery","sha256","6d61492772676a6986a8d32adaacc4aa42b8eb4b46d14ddfb5db2089faeaf1a9","",1,1573669323,"","","","",""
"5dcc49cb-27a4-48d4-ba8b-4a89c0a8018c",12367,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1573669323,"","","","",""
"5dcc49cb-2524-4932-9b99-4a89c0a8018c",12367,"Payload delivery","imphash","9222d372923baed7aa9dfa28449a94ea","",0,1573669323,"","","","",""
"5dcc49cb-6840-4ca0-96e1-4a89c0a8018c",12367,"Network activity","url","http://35.181.60.96/7/2951198.jpg","",1,1573669323,"","","","",""
"5dcc49cb-de7c-465c-8b81-4a89c0a8018c",12367,"Network activity","ip-dst","35.181.60.96","",1,1573669323,"","","","",""
"48373aab-5339-4f7f-9b23-5f804c4a6d16",12367,"Other","text",".text","",0,1573669323,"name","","6f99e6b1-b431-44ef-88a2-ffc72e453594","pe-section","file"
"d0391ae7-409e-4a68-b452-167dac0dba13",12367,"Payload delivery","md5","8350f71da9be8877953c01f7b8372b41","",1,1573669323,"md5","","6f99e6b1-b431-44ef-88a2-ffc72e453594","pe-section","file"
"b7c5f117-fe73-4fbb-96bf-041adcffe8ed",12367,"Payload delivery","sha1","fb128dc189b9f0ac4cd1e5fcc193f4e11e9382b3","",1,1573669323,"sha1","","6f99e6b1-b431-44ef-88a2-ffc72e453594","pe-section","file"
"288e3a68-cefa-4aae-8313-6c1928d319e8",12367,"Payload delivery","sha256","77d7bcc9a53229f46b7aa36b5272254260ee7278ca7759d2e2fef6d5a289925f","",1,1573669324,"sha256","","6f99e6b1-b431-44ef-88a2-ffc72e453594","pe-section","file"
"cb96018f-301b-406c-ba42-60a4252f7ccf",12367,"Other","size-in-bytes",31232,"",0,1573669324,"size-in-bytes","","6f99e6b1-b431-44ef-88a2-ffc72e453594","pe-section","file"
"65829a34-2b33-4eed-aeba-fb4884c271de",12367,"Other","float",6.48777,"",0,1573669324,"entropy","","6f99e6b1-b431-44ef-88a2-ffc72e453594","pe-section","file"
"08e8cc80-88e9-4481-9417-55d7696f0814",12367,"Other","text",".rdata","",0,1573669324,"name","","6a455227-9859-4f2b-b166-9b33f7e86284","pe-section","file"
"972fbb32-0c1d-4be8-a5ec-bd02da044258",12367,"Payload delivery","md5","e9668327542f57c4d44848245e1f434d","",1,1573669324,"md5","","6a455227-9859-4f2b-b166-9b33f7e86284","pe-section","file"
"22ab0b91-1d81-4cc0-8543-9e220d7eca12",12367,"Payload delivery","sha1","7e6e05375451c33e8de70d540a616b96b6f2d950","",1,1573669324,"sha1","","6a455227-9859-4f2b-b166-9b33f7e86284","pe-section","file"
"d97eb7ce-ceae-44ca-83dc-7be7f258b197",12367,"Payload delivery","sha256","124466c1ead791c9fc8cf06e51135b2f63eaa5309f43f0f18e5ee4e4965fd926","",1,1573669324,"sha256","","6a455227-9859-4f2b-b166-9b33f7e86284","pe-section","file"
"5211b4bf-14a2-491a-8efd-47a68e1aa39e",12367,"Other","size-in-bytes",12800,"",0,1573669324,"size-in-bytes","","6a455227-9859-4f2b-b166-9b33f7e86284","pe-section","file"
"798d43c3-f0f9-4601-af86-b97b6ac6517b",12367,"Other","float",4.92389,"",0,1573669324,"entropy","","6a455227-9859-4f2b-b166-9b33f7e86284","pe-section","file"
"1f3ab845-26ee-4933-9a60-42d2f7aff09b",12367,"Other","text",".data","",0,1573669324,"name","","9c3881b0-de29-4300-b5dc-11370236c9dd","pe-section","file"
"22241ad2-1678-4ee5-b884-59055306cb71",12367,"Payload delivery","md5","2729b460a1e21847b7921ef74de2f450","",1,1573669324,"md5","","9c3881b0-de29-4300-b5dc-11370236c9dd","pe-section","file"
"91e1db40-2224-413a-94c4-244d7ff4e253",12367,"Payload delivery","sha1","a373e2aa2f086f506d5e18219a84b20ec95d796f","",1,1573669324,"sha1","","9c3881b0-de29-4300-b5dc-11370236c9dd","pe-section","file"
"8451a32c-ab34-472a-a2ac-65247dccadf3",12367,"Payload delivery","sha256","40881bc735d9085cea27e557a5a321c8e5bba2139db0eb2525ef6ebb6aeede72","",1,1573669324,"sha256","","9c3881b0-de29-4300-b5dc-11370236c9dd","pe-section","file"
"17ccf0e2-e852-400b-9e19-9d06ff5d90f7",12367,"Other","size-in-bytes",3584,"",0,1573669324,"size-in-bytes","","9c3881b0-de29-4300-b5dc-11370236c9dd","pe-section","file"
"c5a0aa3e-2fd8-489d-a431-d4406e4ff62b",12367,"Other","float",2.57332,"",0,1573669324,"entropy","","9c3881b0-de29-4300-b5dc-11370236c9dd","pe-section","file"
