uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ddde90c-8dfc-4e9f-9d8c-0698c0a8018c",13801,"Payload delivery","filename","Hilix.ppc","",0,1574824204,"","","","",""
"5ddde90c-9178-4c45-a9fa-0698c0a8018c",13801,"Payload delivery","md5","cc0bb55741a11d54669baa731c9c3c63","",1,1574824204,"","","","",""
"5ddde90c-f2a0-4766-855e-0698c0a8018c",13801,"Payload delivery","sha1","02bb8bb593eb77d61e47fcee8e3545b587d3757b","",1,1574824204,"","","","",""
"5ddde90c-78ec-4810-a814-0698c0a8018c",13801,"Payload delivery","sha256","dd04d9ff37a25ef9cfb91ba8932c0218a2aca4cf05a77d60255b1c3807343c4b","",1,1574824204,"","","","",""
"5ddde90c-41dc-49ce-b674-0698c0a8018c",13801,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, stripped","",0,1574824204,"","","","",""
"5ddde90c-b150-4724-b942-0698c0a8018c",13801,"Network activity","url","http://104.168.191.89/bins/Hilix.ppc","",1,1574824204,"","","","",""
"5ddde90c-6d18-4e73-8001-0698c0a8018c",13801,"Network activity","ip-dst","104.168.191.89","",1,1574824204,"","","","",""
"34a33085-28cc-42f5-b158-be3baf550780",13801,"External analysis","link","https://www.virustotal.com/gui/file/dd04d9ff37a25ef9cfb91ba8932c0218a2aca4cf05a77d60255b1c3807343c4b/detection","",0,1574824204,"permalink","","e4488b0e-b787-4537-9f80-7068882db575","virustotal-report","misc"
"790e3442-8164-4d53-80f7-eda72d955bf2",13801,"Other","datetime","2019-11-27T02:27:00","",0,1574824204,"last-submission","","e4488b0e-b787-4537-9f80-7068882db575","virustotal-report","misc"
"42477889-56b4-44e3-baae-d9672dd37a6a",13801,"Other","text","28/56","",0,1574824204,"detection-ratio","","e4488b0e-b787-4537-9f80-7068882db575","virustotal-report","misc"

