uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5de16335-246c-411d-b090-7d47c0a8018c",14257,"Payload delivery","filename","office1.jpg","",0,1575052085,"","","","",""
"5de16335-2968-4f0f-b47e-7d47c0a8018c",14257,"Payload delivery","md5","5488200ffb7a89e4276c2879b8e25756","",1,1575052085,"","","","",""
"5de16335-01f4-4079-bf7c-7d47c0a8018c",14257,"Payload delivery","sha1","1eac0b11efc580442a62b17990f373fb77ea6b88","",1,1575052085,"","","","",""
"5de16335-2e1c-4a18-bd52-7d47c0a8018c",14257,"Payload delivery","sha256","35bfceff3239744f42edc9dbe4fbb04b457e9c9ffb1e621f484ff491316c5587","",1,1575052085,"","","","",""
"5de16335-3d7c-4cc3-abdc-7d47c0a8018c",14257,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1575052085,"","","","",""
"5de16335-c5a8-4581-ad77-7d47c0a8018c",14257,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1575052085,"","","","",""
"5de16335-227c-490d-a34f-7d47c0a8018c",14257,"Network activity","url","http://cakesbykole.com/office1.jpg","",1,1575052085,"","","","",""
"5de16335-1084-4a3d-892f-7d47c0a8018c",14257,"Network activity","domain","cakesbykole.com","",1,1575052085,"","","","",""
"facaeeb8-6a47-40c1-bdcd-6957d4710667",14257,"Other","text",".text","",0,1575052085,"name","","70fc5030-5c33-4eef-960c-5cf340aca25a","pe-section","file"
"0e339bad-35b6-48a3-9f6e-3f12dfa0b8bc",14257,"Payload delivery","md5","b3d6a0d403d89fcff58f49adf0ed787c","",1,1575052085,"md5","","70fc5030-5c33-4eef-960c-5cf340aca25a","pe-section","file"
"f5e8fefa-0175-4da2-923e-6523c1835747",14257,"Payload delivery","sha1","540aafb65484e2962cf856944be69ca5efb83156","",1,1575052085,"sha1","","70fc5030-5c33-4eef-960c-5cf340aca25a","pe-section","file"
"7430c724-571e-4bb1-9016-1418e655e0aa",14257,"Payload delivery","sha256","10a1e4902fe78727fa155145079a9fdf168ba1b63a9d4ec2b7e74776b7d42e6a","",1,1575052085,"sha256","","70fc5030-5c33-4eef-960c-5cf340aca25a","pe-section","file"
"f8d1bc66-90da-4a4d-96ea-0e0ef865ab7b",14257,"Other","size-in-bytes",302080,"",0,1575052085,"size-in-bytes","","70fc5030-5c33-4eef-960c-5cf340aca25a","pe-section","file"
"900a5a9a-02f1-4419-b624-485486bae93c",14257,"Other","float",7.80231,"",0,1575052085,"entropy","","70fc5030-5c33-4eef-960c-5cf340aca25a","pe-section","file"
"93caf86e-92f9-41bb-81dc-ddd05ee88bec",14257,"Other","text",".reloc","",0,1575052085,"name","","7409a6ed-7fe3-4664-8438-edd97d2419f0","pe-section","file"
"17cdff4c-a390-48a3-abe6-eb23d0cfe6a3",14257,"Payload delivery","md5","2bf36427dfcb6f159e206efb164a17a3","",1,1575052085,"md5","","7409a6ed-7fe3-4664-8438-edd97d2419f0","pe-section","file"
"c594b38d-6d6c-421b-99bb-ddc2a27f44e7",14257,"Payload delivery","sha1","4dc23aa19b48c88b180c40a886e974579f39f5c1","",1,1575052085,"sha1","","7409a6ed-7fe3-4664-8438-edd97d2419f0","pe-section","file"
"26838c7a-03ed-4c27-b89b-6fbe2b1875eb",14257,"Payload delivery","sha256","d01b8cc7cd2c11e0d593a9f7968ad6e772c7f77f6905c392b2d1a7e12b041055","",1,1575052085,"sha256","","7409a6ed-7fe3-4664-8438-edd97d2419f0","pe-section","file"
"5d2725a7-e580-4de5-a957-5f064d501fcc",14257,"Other","size-in-bytes",512,"",0,1575052085,"size-in-bytes","","7409a6ed-7fe3-4664-8438-edd97d2419f0","pe-section","file"
"f7b11f59-16b6-4f37-97b6-e53b9c0e548a",14257,"Other","float",0.10191,"",0,1575052085,"entropy","","7409a6ed-7fe3-4664-8438-edd97d2419f0","pe-section","file"
"24b46271-6ec2-4a24-957f-ea0d92586c94",14257,"External analysis","link","https://www.virustotal.com/gui/file/35bfceff3239744f42edc9dbe4fbb04b457e9c9ffb1e621f484ff491316c5587/detection","",0,1575052085,"permalink","","c740575a-3563-477e-9203-b35965212ccf","virustotal-report","misc"
"5af213ed-e79a-4010-8c88-bcbee6b95767",14257,"Other","datetime","2019-11-27T16:49:21","",0,1575052085,"last-submission","","c740575a-3563-477e-9203-b35965212ccf","virustotal-report","misc"
"0ff6d586-efb1-4fea-a416-3e1c4081897e",14257,"Other","text","26/68","",0,1575052085,"detection-ratio","","c740575a-3563-477e-9203-b35965212ccf","virustotal-report","misc"

