uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5de55ca7-ebec-4b13-bfba-0bbac0a8018c",14467,"Payload delivery","filename","r4z0r.x86","",0,1575312551,"","","","",""
"5de55ca8-c080-4859-af43-0bbac0a8018c",14467,"Payload delivery","md5","eeb026e63bd9c160bb5548b95c3ca312","",1,1575312552,"","","","",""
"5de55ca8-8710-4e83-8385-0bbac0a8018c",14467,"Payload delivery","sha1","95bc4cf4f0cf6e21c51d7bd90f72753327a56f8a","",1,1575312552,"","","","",""
"5de55ca8-abe8-43f4-b406-0bbac0a8018c",14467,"Payload delivery","sha256","f54919e8714887a16e2c5412d866f6342b1b823bcd92d664de24942fe705bb15","",1,1575312552,"","","","",""
"5de55ca8-95e4-4c04-b7c1-0bbac0a8018c",14467,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (GNU/Linux), statically linked, no section header","",0,1575312552,"","","","",""
"5de55ca8-8bd4-4382-8451-0bbac0a8018c",14467,"Network activity","url","http://167.172.16.155/razor/r4z0r.x86","",1,1575312552,"","","","",""
"5de55ca8-c478-4475-8d3c-0bbac0a8018c",14467,"Network activity","ip-dst","167.172.16.155","",1,1575312552,"","","","",""
"685428c3-c640-4f03-adc8-1972999da638",14467,"External analysis","link","https://www.virustotal.com/gui/file/f54919e8714887a16e2c5412d866f6342b1b823bcd92d664de24942fe705bb15/detection","",0,1575312552,"permalink","","12c690d6-c849-4b70-9258-b7d1d71822cf","virustotal-report","misc"
"0be3d94b-4e22-4145-a198-d84feae24f4c",14467,"Other","datetime","2019-12-02T07:30:44","",0,1575312552,"last-submission","","12c690d6-c849-4b70-9258-b7d1d71822cf","virustotal-report","misc"
"b1da7017-018e-4c30-a02a-9bbd4c664572",14467,"Other","text","22/59","",0,1575312552,"detection-ratio","","12c690d6-c849-4b70-9258-b7d1d71822cf","virustotal-report","misc"

