uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5de63b48-3f84-4080-8905-0391c0a8018c",14509,"Payload delivery","filename","loligang.arm7","",0,1575369544,"","","","",""
"5de63b48-b488-4e56-976a-0391c0a8018c",14509,"Payload delivery","md5","5c2df65623dda25c5bd3bb46080d2cf5","",1,1575369544,"","","","",""
"5de63b48-4384-4ee9-bca4-0391c0a8018c",14509,"Payload delivery","sha1","7752cad8ca75f681528f127c352049e396a34c44","",1,1575369544,"","","","",""
"5de63b48-2ca4-45ad-9cfa-0391c0a8018c",14509,"Payload delivery","sha256","7bfdd7f02e8fdb630fa0064c5999af48ef19f38150ce09c22e525fb6a37d85bd","",1,1575369544,"","","","",""
"5de63b48-2890-450f-8b36-0391c0a8018c",14509,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1575369544,"","","","",""
"5de63b48-1c30-4610-ab27-0391c0a8018c",14509,"Network activity","url","http://188.127.224.202/lmaoWTF/loligang.arm7","",1,1575369544,"","","","",""
"5de63b48-b940-4c29-b636-0391c0a8018c",14509,"Network activity","ip-dst","188.127.224.202","",1,1575369544,"","","","",""
"8b35e106-f29d-4ba8-9c49-dd39ff7217c3",14509,"External analysis","link","https://www.virustotal.com/gui/file/7bfdd7f02e8fdb630fa0064c5999af48ef19f38150ce09c22e525fb6a37d85bd/detection","",0,1575369544,"permalink","","41f95ae3-2094-40f9-8a0f-d58a0edef667","virustotal-report","misc"
"b8ccfc9f-280b-4592-babb-d62463b036f6",14509,"Other","datetime","2019-12-02T22:55:11","",0,1575369544,"last-submission","","41f95ae3-2094-40f9-8a0f-d58a0edef667","virustotal-report","misc"
"7ee8563f-7339-4516-991c-839621c592ed",14509,"Other","text","34/58","",0,1575369544,"detection-ratio","","41f95ae3-2094-40f9-8a0f-d58a0edef667","virustotal-report","misc"

