uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5de63f7f-9cd0-4c4e-8d66-0512c0a8018c",14525,"Payload delivery","filename","armv4l","",0,1575370623,"","","","",""
"5de63f7f-7bf8-4bea-9b97-0512c0a8018c",14525,"Payload delivery","md5","a44f6a0c0d5a623fc8348091da2fc661","",1,1575370623,"","","","",""
"5de63f80-3214-4661-b78d-0512c0a8018c",14525,"Payload delivery","sha1","c5c0327e5ae66a40e8661079d080c19a2accb08b","",1,1575370624,"","","","",""
"5de63f80-06bc-4300-a3d5-0512c0a8018c",14525,"Payload delivery","sha256","ca06b2bbaab87e90f697e5000c9c9908e586faf71c42dc0a2d24c49f9a514dc5","",1,1575370624,"","","","",""
"5de63f80-bf20-487b-9303-0512c0a8018c",14525,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, with debug_info, not stripped","",0,1575370624,"","","","",""
"5de63f80-68e4-4da6-9f46-0512c0a8018c",14525,"Network activity","url","http://192.129.244.99/armv4l","",1,1575370624,"","","","",""
"5de63f80-7970-4800-ae1a-0512c0a8018c",14525,"Network activity","ip-dst","192.129.244.99","",1,1575370624,"","","","",""
"932432f0-8284-48ea-a6b7-8ddfbe905c13",14525,"External analysis","link","https://www.virustotal.com/gui/file/ca06b2bbaab87e90f697e5000c9c9908e586faf71c42dc0a2d24c49f9a514dc5/detection","",0,1575370624,"permalink","","b15729f9-0c77-4c11-9f1c-698ca84f8b44","virustotal-report","misc"
"34f90eda-c6dd-4b11-9e5d-ce315903e96f",14525,"Other","datetime","2019-12-03T09:56:07","",0,1575370624,"last-submission","","b15729f9-0c77-4c11-9f1c-698ca84f8b44","virustotal-report","misc"
"5b218d86-75de-47f7-b91a-8bc1e274579c",14525,"Other","text","31/58","",0,1575370624,"detection-ratio","","b15729f9-0c77-4c11-9f1c-698ca84f8b44","virustotal-report","misc"

