uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5de88606-c67c-4da5-b080-69edc0a8018c",14870,"Payload delivery","filename","ElectrumSV-1.2.1.exe","",0,1575519750,"","","","",""
"5de88606-ef84-4f58-9902-69edc0a8018c",14870,"Payload delivery","md5","a6c916a9cca76a9fb475c0d5b73b7b30","",1,1575519750,"","","","",""
"5de88606-3658-4bdf-8389-69edc0a8018c",14870,"Payload delivery","sha1","135fdcf8d2a4f0c7ea5c9a4ae94ef561f13bfb04","",1,1575519750,"","","","",""
"5de88606-9248-4774-af35-69edc0a8018c",14870,"Payload delivery","sha256","75fc2d469422bf42562ddd068bf9537a9801f8246f3d58474ea18bac23084263","",1,1575519750,"","","","",""
"5de88606-51ac-4ad4-9ace-69edc0a8018c",14870,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1575519750,"","","","",""
"5de88606-dc10-4c47-a3c8-69edc0a8018c",14870,"Payload delivery","imphash","91ae93ed3ff0d6f8a4f22d2edd30a58e","",0,1575519750,"","","","",""
"5de88606-526c-46be-bf2a-69edc0a8018c",14870,"Network activity","url","https://electrumsv-downloads.s3.us-east-2.amazonaws.com/releases/1.2.1/ElectrumSV-1.2.1.exe","",1,1575519750,"","","","",""
"5de88606-7d24-470b-abb5-69edc0a8018c",14870,"Network activity","domain","electrumsv-downloads.s3.us-east-2.amazonaws.com","",1,1575519750,"","","","",""
"1226b977-8e5f-42fb-aad1-4c2562754022",14870,"Other","text",".text","",0,1575519750,"name","","952802ff-b32c-486f-87c2-3b136b443941","pe-section","file"
"808e3281-da19-47e2-ac13-b20571241c50",14870,"Payload delivery","md5","b890e400d99968920e1c17687e7ac67e","",1,1575519750,"md5","","952802ff-b32c-486f-87c2-3b136b443941","pe-section","file"
"f4af97b6-2cd1-467d-a559-ebb7ed517b52",14870,"Payload delivery","sha1","9f3359d3b34e1878c41f5ea1b1d0c7539df68061","",1,1575519750,"sha1","","952802ff-b32c-486f-87c2-3b136b443941","pe-section","file"
"7d917377-4e10-409a-b8a1-ddc72a66ade6",14870,"Payload delivery","sha256","e4b1ce31bd98e4e96e8e725fb9c26c02f1c8adbd3e2d2b2fe65491d6832d7540","",1,1575519750,"sha256","","952802ff-b32c-486f-87c2-3b136b443941","pe-section","file"
"0587dbc9-151b-4b33-9f05-9aa7327e36e1",14870,"Other","size-in-bytes",125952,"",0,1575519750,"size-in-bytes","","952802ff-b32c-486f-87c2-3b136b443941","pe-section","file"
"b06b101a-4bc5-44bd-bc01-51fa69f98f43",14870,"Other","float",6.64811,"",0,1575519750,"entropy","","952802ff-b32c-486f-87c2-3b136b443941","pe-section","file"
"4e6afb58-2e44-4e87-b437-a996fbb0091e",14870,"Other","text",".rdata","",0,1575519751,"name","","dae8c80a-c041-4994-8e34-3bd91ee941b4","pe-section","file"
"f382c4a9-a075-48a3-922e-ed64b2f4279c",14870,"Payload delivery","md5","dbec49ed3afba72976334e346469b13f","",1,1575519751,"md5","","dae8c80a-c041-4994-8e34-3bd91ee941b4","pe-section","file"
"2346e26f-91ce-4690-9583-a695b3ba93f9",14870,"Payload delivery","sha1","9928a415366f7fabddcc8a4a9fc9e49db7c4eb2a","",1,1575519751,"sha1","","dae8c80a-c041-4994-8e34-3bd91ee941b4","pe-section","file"
"022568cd-a307-41da-9b06-5ec3e49419b3",14870,"Payload delivery","sha256","de9f5b64e8e43f06b44cb818311e6a5d569702b72bae5d07757e237b5d65ffab","",1,1575519751,"sha256","","dae8c80a-c041-4994-8e34-3bd91ee941b4","pe-section","file"
"c1d85a15-44f6-452d-a08c-3d56f6f8f2ce",14870,"Other","size-in-bytes",45568,"",0,1575519751,"size-in-bytes","","dae8c80a-c041-4994-8e34-3bd91ee941b4","pe-section","file"
"1770e199-cd94-4251-aa69-a637f4f05ee0",14870,"Other","float",6.09995,"",0,1575519751,"entropy","","dae8c80a-c041-4994-8e34-3bd91ee941b4","pe-section","file"
"6dea1d39-2066-4a71-9668-adcf877c0817",14870,"Other","text",".data","",0,1575519751,"name","","d8a46d3a-c726-4712-a84d-8827df7bec4a","pe-section","file"
"bd5b46ac-07db-4b3e-9be1-662b597c2d86",14870,"Payload delivery","md5","0a359bf3e4d26b21bd09e8defb96cfda","",1,1575519751,"md5","","d8a46d3a-c726-4712-a84d-8827df7bec4a","pe-section","file"
"f7cab919-ba7a-437e-b8f0-52bbf5c66349",14870,"Payload delivery","sha1","4fe0db425b66d58bf84cdccb3d6c63f16f5d4a84","",1,1575519751,"sha1","","d8a46d3a-c726-4712-a84d-8827df7bec4a","pe-section","file"
