uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5edb9dec-3c18-4f9d-a011-b23d43daf5fa",50781,"Payload delivery","filename","sora.mips","",0,1616416121,"","","","",""
"148061d3-85f9-4be1-b067-58b1d90f1ba6",50781,"Payload delivery","md5","5716b140733c6fb35fa10e173032cacb","",1,1616416121,"","","","",""
"05d9d756-830f-4863-9423-172c459e3798",50781,"Payload delivery","sha1","73d114cf42a4b4671a621aa072a7d59ebc23f75f","",1,1616416121,"","","","",""
"23a68895-0b28-4c0c-8b34-60ccc1147d54",50781,"Payload delivery","sha256","81a1ba79d60bacd9097c4625ab4194ac686b29d062876028b08036557142b9a8","",1,1616416121,"","","","",""
"2bad3305-b013-47f0-8fae-9b775624c06d",50781,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1616416121,"","","","",""
"5c7b2ec7-2587-4f52-8560-759b49d67c0a",50781,"Network activity","url","http://23.94.136.170/bins/sora.mips","",1,1616416121,"","","","",""
"d84eda1a-d218-4385-ba8e-2c0817912423",50781,"Network activity","ip-dst","23.94.136.170","",1,1616416121,"","","","",""
"ef45d1f0-22e5-46ce-937c-e62ac2dc6f07",50781,"External analysis","link","https://www.virustotal.com/gui/file/81a1ba79d60bacd9097c4625ab4194ac686b29d062876028b08036557142b9a8/detection","",0,1616416121,"permalink","","015a1fae-78dd-4852-813d-ee8fffc9b113","virustotal-report","misc"
"23928ab3-7c46-4824-80d3-10b987a42f28",50781,"Other","datetime","2021-03-22T11:25:53.000000+0000","",0,1616416121,"last-submission","","015a1fae-78dd-4852-813d-ee8fffc9b113","virustotal-report","misc"
"2526c42e-0fe4-4ad1-afad-8a26bed79c2e",50781,"Other","text","17/60","",0,1616416121,"detection-ratio","","015a1fae-78dd-4852-813d-ee8fffc9b113","virustotal-report","misc"

