uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df08bfd-e67c-42f7-8823-0d81c0a8018c",15628,"Payload delivery","filename","emptyfilename.tmp","",0,1576045565,"","","","",""
"5df08bfd-2f5c-4f0c-a9a8-0d81c0a8018c",15628,"Payload delivery","md5","9271fa29b49fac08e6a2a5824afb820f","",1,1576045565,"","","","",""
"5df08bfd-a040-465d-8c35-0d81c0a8018c",15628,"Payload delivery","sha1","77105d56d0f2fbbfdacd7cbaf2a9f377a45640df","",1,1576045565,"","","","",""
"5df08bfd-1360-492e-881f-0d81c0a8018c",15628,"Payload delivery","sha256","63e7d854c1d8244bf30b9c63c1ce8d6927cdc800b70a667943fd212a26a82ca5","",1,1576045565,"","","","",""
"5df08bfd-e124-4def-b263-0d81c0a8018c",15628,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1576045565,"","","","",""
"5df08bfd-2f00-412e-9a61-0d81c0a8018c",15628,"Payload delivery","imphash","dd87865f07d8845e188ad9f91a7114b6","",0,1576045565,"","","","",""
"5df08bfd-b00c-461b-869b-0d81c0a8018c",15628,"Network activity","url","http://modiracc.com/wp-admin/k6f1/","",1,1576045565,"","","","",""
"5df08bfd-ae80-4591-8c18-0d81c0a8018c",15628,"Network activity","domain","modiracc.com","",1,1576045565,"","","","",""
"5df08c80-9f44-4a1a-94d4-0d80c0a8018c",15628,"Network activity","url","http://birdlandonetoone.com/blogs/ie9co6496/","",1,1576045696,"","","","",""
"5df08c80-a9e0-49bc-85ff-0d80c0a8018c",15628,"Network activity","domain","birdlandonetoone.com","",1,1576045696,"","","","",""
"5df24ae3-4128-497b-9995-2f51c0a8018c",15628,"Network activity","url","http://860259.com/tmp/hm92/","",1,1576159971,"","","","",""
"5df24ae3-58a0-44dd-95df-2f51c0a8018c",15628,"Network activity","domain","860259.com","",1,1576159971,"","","","",""
"19acef85-a443-4b29-b3ad-8183c48b5ecc",15628,"Other","text",".text","",0,1576045565,"name","","17b55be3-5a95-45af-9dd2-09a8c39ae776","pe-section","file"
"b63544cc-b56c-45a9-bfac-8d0e28a2cdb2",15628,"Payload delivery","md5","5a00ed77598a6738787127d2bae9083e","",1,1576045565,"md5","","17b55be3-5a95-45af-9dd2-09a8c39ae776","pe-section","file"
"8411600f-ec28-403f-a229-5cda1296d177",15628,"Payload delivery","sha1","8a1981f8f2399d5a2c1917a2bb8dfccacfa7c399","",1,1576045565,"sha1","","17b55be3-5a95-45af-9dd2-09a8c39ae776","pe-section","file"
"b7a396c0-f558-47a0-b77a-5b838e2a5f8c",15628,"Payload delivery","sha256","a942a8ca566a113e822ccfa7b5ee35bb4ef58a9af1334157941f36e560dbc666","",1,1576045565,"sha256","","17b55be3-5a95-45af-9dd2-09a8c39ae776","pe-section","file"
"4ba7181d-18ad-441f-a22c-37d47a6640b7",15628,"Other","size-in-bytes",393216,"",0,1576045565,"size-in-bytes","","17b55be3-5a95-45af-9dd2-09a8c39ae776","pe-section","file"
"c7eb1b5a-1a94-45f6-abe0-01174f8bb397",15628,"Other","float",6.61623,"",0,1576045565,"entropy","","17b55be3-5a95-45af-9dd2-09a8c39ae776","pe-section","file"
"60d48a25-14b8-4fd6-98d9-ad3b5bf13072",15628,"Other","text",".rdata","",0,1576045565,"name","","4d844f19-9061-4126-bca3-7c2a17ed9f71","pe-section","file"
"8e3085f9-f1fb-4aa1-9273-e70e095d08e1",15628,"Payload delivery","md5","dbc818b34e356e14f24036abfbe1a0c4","",1,1576045565,"md5","","4d844f19-9061-4126-bca3-7c2a17ed9f71","pe-section","file"
"236e2de5-0f03-426e-8b15-d95c12a9782c",15628,"Payload delivery","sha1","572c210ce7d56c54993a3e0c024a8f3a56099002","",1,1576045565,"sha1","","4d844f19-9061-4126-bca3-7c2a17ed9f71","pe-section","file"
"616a0a37-67b6-4357-9854-6836ae861ff0",15628,"Payload delivery","sha256","ebacd7513e8208ef637ff2d232434166eec6387cfa3287783997d8d801fa61bb","",1,1576045565,"sha256","","4d844f19-9061-4126-bca3-7c2a17ed9f71","pe-section","file"
"6d5ae5de-df26-4296-8c84-a894e3eebd2e",15628,"Other","size-in-bytes",90112,"",0,1576045565,"size-in-bytes","","4d844f19-9061-4126-bca3-7c2a17ed9f71","pe-section","file"
"7e222e95-99a1-40c5-a19b-8bade976937d",15628,"Other","float",5.10783,"",0,1576045565,"entropy","","4d844f19-9061-4126-bca3-7c2a17ed9f71","pe-section","file"
"8a45cec4-1f8f-4118-8b86-778246222518",15628,"Other","text",".data","",0,1576045565,"name","","fc1d4f55-ba5a-4b54-8a51-f5ded3913a2f","pe-section","file"
"248abad8-20b6-47af-b654-6a077de2743d",15628,"Payload delivery","md5","3fe102143cf089146efbd05b572a4a0f","",1,1576045565,"md5","","fc1d4f55-ba5a-4b54-8a51-f5ded3913a2f","pe-section","file"
"92392158-b23b-4e4c-8985-47582b12d549",15628,"Payload delivery","sha1","d4d2497bfc02b66d7d4d30249ef7f421daa20829","",1,1576045565,"sha1","","fc1d4f55-ba5a-4b54-8a51-f5ded3913a2f","pe-section","file"
"e424840b-be65-4694-97c9-b650ebf9df97",15628,"Payload delivery","sha256","e2219e7b04014dfad2e448f1b773dfc5bad95af26487d2dc70f22607f13a6f24","",1,1576045565,"sha256","","fc1d4f55-ba5a-4b54-8a51-f5ded3913a2f","pe-section","file"
"65b6602e-573c-4dc5-9fec-9bc1fa4cb851",15628,"Other","size-in-bytes",81920,"",0,1576045565,"size-in-bytes","","fc1d4f55-ba5a-4b54-8a51-f5ded3913a2f","pe-section","file"
"84d4d3af-5589-47a2-ab39-6dd472555cd3",15628,"Other","float",7.60039,"",0,1576045565,"entropy","","fc1d4f55-ba5a-4b54-8a51-f5ded3913a2f","pe-section","file"
"248bd735-d7bc-4d4d-adfb-1517755b315e",15628,"Other","text",".rsrc","",0,1576045565,"name","","a56bc7e1-05b9-4a91-80cb-5e25c2cdc3df","pe-section","file"
"181aaa7a-ba59-4a16-93d4-eace4d38222b",15628,"Payload delivery","md5","b481ebdebd155e0a61d1231a173c3775","",1,1576045565,"md5","","a56bc7e1-05b9-4a91-80cb-5e25c2cdc3df","pe-section","file"
"b7d9dc0c-a789-41b0-bf96-225c08a56252",15628,"Payload delivery","sha1","b43ff71c6c4f16b4f0a22331c841c6323a7a38bf","",1,1576045566,"sha1","","a56bc7e1-05b9-4a91-80cb-5e25c2cdc3df","pe-section","file"
"9a4632d0-c8f9-40bf-abb6-7d241bfde548",15628,"Payload delivery","sha256","2fba2396e203948c4e1e7b5df3af778c723cc5ddfc2fdfc05a53e545d6280e7d","",1,1576045566,"sha256","","a56bc7e1-05b9-4a91-80cb-5e25c2cdc3df","pe-section","file"
"3338377e-553a-4ba6-a457-c688335fcced",15628,"Other","size-in-bytes",16384,"",0,1576045566,"size-in-bytes","","a56bc7e1-05b9-4a91-80cb-5e25c2cdc3df","pe-section","file"
"45d70785-a92d-48f7-8ef6-d33f8443a1b9",15628,"Other","float",3.73413,"",0,1576045566,"entropy","","a56bc7e1-05b9-4a91-80cb-5e25c2cdc3df","pe-section","file"
