uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df1278e-f254-42b1-b68d-046fc0a8018c",15704,"Payload delivery","filename",1,"",0,1576085390,"","","","",""
"5df1278e-0498-4a65-b380-046fc0a8018c",15704,"Payload delivery","md5","1fc8f0b95aac5531840d64ade8921779","",1,1576085390,"","","","",""
"5df1278e-4338-42b9-b6a9-046fc0a8018c",15704,"Payload delivery","sha1","5491a57ff37d8636e59e1e182fc19e1ef6cb1514","",1,1576085390,"","","","",""
"5df1278e-adf4-4ad0-99e3-046fc0a8018c",15704,"Payload delivery","sha256","f16434ff8058e41b8d1742c3826edb2e22ba30a3c4346e37ba09e86916ea06b0","",1,1576085390,"","","","",""
"5df1278e-a8a4-4755-b2af-046fc0a8018c",15704,"Payload delivery","mime-type","data","",0,1576085390,"","","","",""
"5df1278e-8a1c-4ebd-b5b0-046fc0a8018c",15704,"Network activity","url","http://www.jkui.top/wp-content/themes/sketch/1","",1,1576085390,"","","","",""
"5df1278e-07fc-4a8f-b7c8-046fc0a8018c",15704,"Network activity","domain","www.jkui.top","",1,1576085390,"","","","",""
"5df127cb-9fb4-4354-b218-035dc0a8018c",15704,"Network activity","url","http://www.winchance.co.th/wp-content/themes/sketch/1","",1,1576085451,"","","","",""
"5df127cb-3f20-4adb-b07b-035dc0a8018c",15704,"Network activity","domain","www.winchance.co.th","",1,1576085451,"","","","",""
"5df12808-7358-46e6-bdb8-035bc0a8018c",15704,"Network activity","url","http://mrsoscience.com/wp-content/themes/sketch/1","",1,1576085512,"","","","",""
"5df12808-e758-4512-9701-035bc0a8018c",15704,"Network activity","domain","mrsoscience.com","",1,1576085512,"","","","",""
"5df12936-89c0-41d6-968d-035ec0a8018c",15704,"Network activity","url","http://thamidicksonmedia.co.za/wp/wp-content/themes/sketch/1","",1,1576085814,"","","","",""
"5df12936-a7d4-4db9-ba8e-035ec0a8018c",15704,"Network activity","domain","thamidicksonmedia.co.za","",1,1576085814,"","","","",""
"34e50516-e659-4c0d-a232-f8ee8abc5576",15704,"External analysis","link","https://www.virustotal.com/gui/file/f16434ff8058e41b8d1742c3826edb2e22ba30a3c4346e37ba09e86916ea06b0/detection","",0,1576085451,"permalink","","f0a9a157-b823-449c-9ea4-77de0cd8b373","virustotal-report","misc"
"6e14b3ed-3260-4026-8911-bbe2b4e708ed",15704,"Other","datetime","2019-12-11T17:28:25","",0,1576085451,"last-submission","","f0a9a157-b823-449c-9ea4-77de0cd8b373","virustotal-report","misc"
"0afae53d-c06f-45d6-b67b-19541480d986",15704,"Other","text","0/58","",0,1576085452,"detection-ratio","","f0a9a157-b823-449c-9ea4-77de0cd8b373","virustotal-report","misc"

