uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df1efc2-2fe4-4544-be71-2f52c0a8018c",15767,"Payload delivery","filename","emptyfilename.tmp","",0,1576136642,"","","","",""
"5df1efc2-d800-4371-b575-2f52c0a8018c",15767,"Payload delivery","md5","8d6601f4dbd8ca1c97290174160479cf","",1,1576136642,"","","","",""
"5df1efc2-8264-46ff-9a66-2f52c0a8018c",15767,"Payload delivery","sha1","dfae9d6423cd4d6f70c99a74d85e2fb557742ebe","",1,1576136642,"","","","",""
"5df1efc2-fdf4-4648-9819-2f52c0a8018c",15767,"Payload delivery","sha256","b4e3f7cac942969719bc91e77ac8850ebb5c283b729107b1290c28f39dabffb3","",1,1576136642,"","","","",""
"5df1efc2-77f4-44aa-afe8-2f52c0a8018c",15767,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1576136642,"","","","",""
"5df1efc2-7468-4e75-b778-2f52c0a8018c",15767,"Payload delivery","imphash","35bb6d11e3e424e64909e1b2c448b330","",0,1576136642,"","","","",""
"5df1efc2-e49c-417b-8d4d-2f52c0a8018c",15767,"Network activity","url","http://jdcc-stu.com/wp-includes/6109/","",1,1576136642,"","","","",""
"5df1efc2-dc40-48f2-b815-2f52c0a8018c",15767,"Network activity","domain","jdcc-stu.com","",1,1576136642,"","","","",""
"5df1efc6-2728-4434-983f-2f55c0a8018c",15767,"Network activity","url","http://jandmadventuring.servermaintain.com/wp-content/uploads/8ly08u77849/","",1,1576136646,"","","","",""
"5df1efc6-ca98-48a0-8928-2f55c0a8018c",15767,"Network activity","domain","jandmadventuring.servermaintain.com","",1,1576136646,"","","","",""
"051ca777-46e2-4687-a33a-d81083d8bf1a",15767,"Other","text",".text","",0,1576136642,"name","","c3e391b7-7708-4d31-b90c-87b4040162c4","pe-section","file"
"348eae58-d44b-49c8-9b90-92323f5d3fd0",15767,"Payload delivery","md5","459c537eef9d2ebdc2b9ba110a5e5779","",1,1576136642,"md5","","c3e391b7-7708-4d31-b90c-87b4040162c4","pe-section","file"
