uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df28d75-3478-4112-9809-2f54c0a8018c",15833,"Payload delivery","filename","Client.exe","",0,1576177013,"","","","",""
"5df28d75-4008-4b35-b02c-2f54c0a8018c",15833,"Payload delivery","md5","4566d6c7b79fc5b07c1c010ddfc6c278","",1,1576177013,"","","","",""
"5df28d75-0960-416f-92c5-2f54c0a8018c",15833,"Payload delivery","sha1","bc71e7f62ae6a859938cf81dd0c234dafedb5be1","",1,1576177013,"","","","",""
"5df28d75-6b98-40d4-acfe-2f54c0a8018c",15833,"Payload delivery","sha256","1621f495435c66815b792ff98aeba11c2ad765dca47d9d15c23222f7def9c7f2","",1,1576177013,"","","","",""
"5df28d75-38e0-4b0e-8a54-2f54c0a8018c",15833,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1576177013,"","","","",""
"5df28d75-7550-413c-bcbc-2f54c0a8018c",15833,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1576177013,"","","","",""
"5df28d75-3214-4453-8b1f-2f54c0a8018c",15833,"Network activity","url","https://cdn.discordapp.com/attachments/459721753371869184/606744165992103956/Client.exe","",1,1576177013,"","","","",""
"5df28d76-9628-455a-9ae5-2f54c0a8018c",15833,"Network activity","domain","cdn.discordapp.com","",1,1576177014,"","","","",""
"ceb741e0-81a9-413d-9d05-a9f39cef7bdf",15833,"Other","text",".text","",0,1576177014,"name","","eb9bf5f5-a7a1-4794-9939-b3ffd06de84f","pe-section","file"
"8a4f5618-fffc-487e-a0da-50633df71e14",15833,"Payload delivery","md5","7e48dc728c4d8641ed59256d14197ef4","",1,1576177014,"md5","","eb9bf5f5-a7a1-4794-9939-b3ffd06de84f","pe-section","file"
"7977d1a4-4a7a-4f3e-94aa-817de620f3f3",15833,"Payload delivery","sha1","e119b2888a80396c110ee76bef4a0a6d69c7de9e","",1,1576177014,"sha1","","eb9bf5f5-a7a1-4794-9939-b3ffd06de84f","pe-section","file"
"e83cd604-29e2-4853-8139-d92b87b4f8af",15833,"Payload delivery","sha256","525cf7d8eab550a8b52b647ac2a2d915884bb5d2bfa28e99408d74e4167d3bd9","",1,1576177014,"sha256","","eb9bf5f5-a7a1-4794-9939-b3ffd06de84f","pe-section","file"
"0c86c4df-5cf3-48fa-ba30-3783616a04bd",15833,"Other","size-in-bytes",30208,"",0,1576177014,"size-in-bytes","","eb9bf5f5-a7a1-4794-9939-b3ffd06de84f","pe-section","file"
"fee190b5-d0b1-450f-b60f-56cc4c9a9460",15833,"Other","float",5.65304,"",0,1576177014,"entropy","","eb9bf5f5-a7a1-4794-9939-b3ffd06de84f","pe-section","file"
"33c9f4b8-3eb1-4d7f-9bbe-c34975e1c8c7",15833,"Other","text",".rsrc","",0,1576177014,"name","","bd139aa0-6459-4788-bf90-1da2a1bbbc61","pe-section","file"
"503658b6-0652-43fb-8066-d80e2e2dbced",15833,"Payload delivery","md5","5b346ed223699f15252c1fdad182859f","",1,1576177014,"md5","","bd139aa0-6459-4788-bf90-1da2a1bbbc61","pe-section","file"
"87605d73-b027-4d95-9380-4e3ede0e3c2c",15833,"Payload delivery","sha1","411d3476e3b469c835f200b9e3403b1400890ac3","",1,1576177014,"sha1","","bd139aa0-6459-4788-bf90-1da2a1bbbc61","pe-section","file"
"61366fec-f340-4499-8fe7-ff91af3b56b9",15833,"Payload delivery","sha256","04735ff9d87544328bbfecf563b191cb82ca9809c2559d18e50d831a723033b0","",1,1576177014,"sha256","","bd139aa0-6459-4788-bf90-1da2a1bbbc61","pe-section","file"
"e8f78faa-fc38-4daa-be35-47c10fbeff82",15833,"Other","size-in-bytes",1024,"",0,1576177014,"size-in-bytes","","bd139aa0-6459-4788-bf90-1da2a1bbbc61","pe-section","file"
"74870f98-812a-4fd0-a8a1-7922fb7c6153",15833,"Other","float",4.96877,"",0,1576177014,"entropy","","bd139aa0-6459-4788-bf90-1da2a1bbbc61","pe-section","file"
"9168f56e-5ae5-4746-8138-ac89d071017e",15833,"Other","text",".reloc","",0,1576177015,"name","","0e6b798c-dc98-4de6-836b-4c552eda47ec","pe-section","file"
"6e6288bf-a0a7-49fa-98a8-005743d596f5",15833,"Payload delivery","md5","ab51cd88731eb5328808e4b8d5b1cbc3","",1,1576177015,"md5","","0e6b798c-dc98-4de6-836b-4c552eda47ec","pe-section","file"
"55b0ffa2-fde4-47bb-9a72-2824cea4cf76",15833,"Payload delivery","sha1","0b281b10e982237a20a4a90a9db565ca589d3b60","",1,1576177015,"sha1","","0e6b798c-dc98-4de6-836b-4c552eda47ec","pe-section","file"
"c3c5b838-d1ef-4f93-8551-9f9c1728912e",15833,"Payload delivery","sha256","ceaa752a0e916797ab74913b36c44b3ede0e4cab0d6891a0268347a1d4eb8ecd","",1,1576177015,"sha256","","0e6b798c-dc98-4de6-836b-4c552eda47ec","pe-section","file"
"5d5062aa-f34c-4fa8-8a2c-574853f69145",15833,"Other","size-in-bytes",512,"",0,1576177015,"size-in-bytes","","0e6b798c-dc98-4de6-836b-4c552eda47ec","pe-section","file"
"151a29f0-0558-4678-b293-8753f3548698",15833,"Other","float",0.0815394,"",0,1576177015,"entropy","","0e6b798c-dc98-4de6-836b-4c552eda47ec","pe-section","file"
