uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df2daa9-a4dc-4933-84c2-2f52c0a8018c",15842,"Payload delivery","filename","KKMHM.exe","",0,1576196777,"","","","",""
"5df2daa9-9940-4446-871a-2f52c0a8018c",15842,"Payload delivery","md5","2ce75fbc52fb5a70ff05f24419fb3b0c","",1,1576196777,"","","","",""
"5df2daa9-0dc8-4deb-a3af-2f52c0a8018c",15842,"Payload delivery","sha1","16a14a5129f08b74b76c8507ef88434e2f6bf12d","",1,1576196777,"","","","",""
"5df2daa9-e820-43c1-a57c-2f52c0a8018c",15842,"Payload delivery","sha256","a4cb89a042bc2ed903aa1d3471919063efc290c6bbaf68cb9da65dad6dea1bad","",1,1576196777,"","","","",""
"5df2daa9-58b0-4a50-b713-2f52c0a8018c",15842,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1576196777,"","","","",""
"5df2daa9-58a4-4719-b0c5-2f52c0a8018c",15842,"Payload delivery","imphash","55c078dd11906809a43204a60335a88d","",0,1576196777,"","","","",""
"5df2daa9-8f2c-4642-b2cc-2f52c0a8018c",15842,"Network activity","url","http://kakekommisjonen.com/download/KKMHM.exe","",1,1576196777,"","","","",""
"5df2daa9-622c-42fb-870c-2f52c0a8018c",15842,"Network activity","domain","kakekommisjonen.com","",1,1576196777,"","","","",""
"dc3d7458-5ff8-40b5-a1ad-df2673cc83d2",15842,"Other","text",".text","",0,1576196777,"name","","8a6ed14e-5946-437c-859c-a94096e91574","pe-section","file"
"63358bf6-a5a7-4ab5-b94c-d32cc334e40f",15842,"Payload delivery","md5","6bc6e9b9073df6efcf06f61ea9c82869","",1,1576196777,"md5","","8a6ed14e-5946-437c-859c-a94096e91574","pe-section","file"
"016d754e-a9af-44d5-b1ac-31c092eccc27",15842,"Payload delivery","sha1","10972ad37298747372dc5592c98d3b55f60940fd","",1,1576196777,"sha1","","8a6ed14e-5946-437c-859c-a94096e91574","pe-section","file"
"80fc348b-5f92-4aba-884a-98584a08ce60",15842,"Payload delivery","sha256","9ee3851223055865f8a7e4aba5c2785f458d876ef333d5d785b956c1c5f54380","",1,1576196777,"sha256","","8a6ed14e-5946-437c-859c-a94096e91574","pe-section","file"
"12e796ae-a60c-4510-8e0f-93bafcb84378",15842,"Other","size-in-bytes",204800,"",0,1576196777,"size-in-bytes","","8a6ed14e-5946-437c-859c-a94096e91574","pe-section","file"
"84d01021-4284-48bb-bd20-46b0d331074f",15842,"Other","float",6.58708,"",0,1576196777,"entropy","","8a6ed14e-5946-437c-859c-a94096e91574","pe-section","file"
"e013a154-e17e-4b5f-8606-8a11bc188017",15842,"Other","text",".rdata","",0,1576196777,"name","","d5b56fe5-4717-4046-86cf-b277da69adef","pe-section","file"
