uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df59f20-cbd4-4659-ac97-4c7dc0a8018c",16026,"Payload delivery","filename","fx19123k43.arm","",0,1576378144,"","","","",""
"5df59f20-d000-44c5-8d46-4c7dc0a8018c",16026,"Payload delivery","md5","5b15eb9837e084662154b1749136b596","",1,1576378144,"","","","",""
"5df59f20-5d88-4271-b31c-4c7dc0a8018c",16026,"Payload delivery","sha1","1a6badb3d903eb6b1ff5ff056aa07927ed7e09a4","",1,1576378144,"","","","",""
"5df59f20-2ac8-4774-971a-4c7dc0a8018c",16026,"Payload delivery","sha256","a4a318d5caba20fae6f8494b49ede5d5f4599f371dcc6b1ca305fd73d7297fbc","",1,1576378144,"","","","",""
"5df59f20-55e8-4752-9edc-4c7dc0a8018c",16026,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1576378144,"","","","",""
"5df59f20-d454-4109-bc2c-4c7dc0a8018c",16026,"Network activity","url","http://167.172.245.82/xdllservicesd320493/fx19123k43.arm","",1,1576378144,"","","","",""
"5df59f20-5208-4115-bdc7-4c7dc0a8018c",16026,"Network activity","ip-dst","167.172.245.82","",1,1576378144,"","","","",""
"71faddf3-26b2-46ae-9d0b-c18f0336da14",16026,"External analysis","link","https://www.virustotal.com/gui/file/a4a318d5caba20fae6f8494b49ede5d5f4599f371dcc6b1ca305fd73d7297fbc/detection","",0,1576378145,"permalink","","8bb719ea-b4b9-4506-aa6f-3991cb672b45","virustotal-report","misc"
"2ec69e9b-a92a-4c6d-bd70-d7e44c9b0066",16026,"Other","datetime","2019-12-15T02:24:26","",0,1576378145,"last-submission","","8bb719ea-b4b9-4506-aa6f-3991cb672b45","virustotal-report","misc"
"c31816ad-9423-4cfc-b8a6-960010bf8ebd",16026,"Other","text","11/59","",0,1576378145,"detection-ratio","","8bb719ea-b4b9-4506-aa6f-3991cb672b45","virustotal-report","misc"

