uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df76067-e900-41af-8ece-2f9ac0a8018c",16113,"Payload delivery","filename","mgbe.png","",0,1576493159,"","","","",""
"5df76067-4ccc-4553-b65e-2f9ac0a8018c",16113,"Payload delivery","md5","4f11d25cef7d2fc93ee1bce3fe583d94","",1,1576493159,"","","","",""
"5df76067-0d84-4f3e-ba80-2f9ac0a8018c",16113,"Payload delivery","sha1","c596251ce45afea15134fa420b221f1c8ee4ed1c","",1,1576493159,"","","","",""
"5df76067-3794-4964-a48f-2f9ac0a8018c",16113,"Payload delivery","sha256","d17426ec58456949e38c5a358be1c62f7d63f23958583b888f6df62437f6c8a5","",1,1576493159,"","","","",""
"5df76067-0080-4713-a603-2f9ac0a8018c",16113,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1576493159,"","","","",""
"5df76067-8484-4482-ac60-2f9ac0a8018c",16113,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1576493159,"","","","",""
"5df76068-cb28-4d55-83f8-2f9ac0a8018c",16113,"Network activity","url","http://multron.ir/templates/beez5/html/0/mgbe.png","",1,1576493160,"","","","",""
"5df76068-e2f8-4552-9164-2f9ac0a8018c",16113,"Network activity","domain","multron.ir","",1,1576493160,"","","","",""
"793b2cdd-b6d3-4684-864b-f4404fa6db13",16113,"Other","text",".text","",0,1576493160,"name","","f657c71e-dcfe-4617-b637-8e0fc7640e80","pe-section","file"
"282ba500-aedd-4dd3-8397-8301215a3208",16113,"Payload delivery","md5","cf461a663d23da6e9fcc2be6c37985b0","",1,1576493160,"md5","","f657c71e-dcfe-4617-b637-8e0fc7640e80","pe-section","file"
"281a9f5f-13f4-4fde-bb9f-62a5aa355e81",16113,"Payload delivery","sha1","cd0c5029e8de77dd5cbb4faf364979395c694325","",1,1576493160,"sha1","","f657c71e-dcfe-4617-b637-8e0fc7640e80","pe-section","file"
"68e88fd7-4b0d-4dbe-827f-31b8624ab28b",16113,"Payload delivery","sha256","b634befd711d35362bd387f9c375c3507bd53e2c815f457c9a5adfa92e520b14","",1,1576493160,"sha256","","f657c71e-dcfe-4617-b637-8e0fc7640e80","pe-section","file"
"176a2077-7630-4798-915d-2af66d2a0306",16113,"Other","size-in-bytes",443392,"",0,1576493160,"size-in-bytes","","f657c71e-dcfe-4617-b637-8e0fc7640e80","pe-section","file"
"14d306cb-15d7-44fe-92d3-92e2fa2b3721",16113,"Other","float",7.88995,"",0,1576493160,"entropy","","f657c71e-dcfe-4617-b637-8e0fc7640e80","pe-section","file"
"eaf8bfc5-f9a4-4667-997f-7d86dd352b35",16113,"Other","text",".rsrc","",0,1576493160,"name","","3322cef0-415f-45f1-98bf-fd9c394cf02e","pe-section","file"
"b5c79f21-a7af-4e38-bd3a-f6291bdec433",16113,"Payload delivery","md5","9dd3f89cfc1480046fe5b4f407bc9eca","",1,1576493160,"md5","","3322cef0-415f-45f1-98bf-fd9c394cf02e","pe-section","file"
"e1bb9111-f976-4563-8d47-1050356843f6",16113,"Payload delivery","sha1","774e4f8f0354f7af8ae8f19d8f9ec08ba7011152","",1,1576493161,"sha1","","3322cef0-415f-45f1-98bf-fd9c394cf02e","pe-section","file"
"ed9e319c-a555-49e7-856d-553f2626ff82",16113,"Payload delivery","sha256","e60a8461a49d15a5d63444e599a62e52565eeb52d3cc81b965e29a2c1ea5b7ff","",1,1576493161,"sha256","","3322cef0-415f-45f1-98bf-fd9c394cf02e","pe-section","file"
"ba1762bc-0f85-4982-8211-540581660660",16113,"Other","size-in-bytes",1536,"",0,1576493161,"size-in-bytes","","3322cef0-415f-45f1-98bf-fd9c394cf02e","pe-section","file"
"a378d0ae-d842-4c5d-8ccf-45018ad03b67",16113,"Other","float",4.20667,"",0,1576493161,"entropy","","3322cef0-415f-45f1-98bf-fd9c394cf02e","pe-section","file"
"41c76991-b089-404d-b5de-2c26044aaca5",16113,"Other","text",".reloc","",0,1576493161,"name","","a57cf4f4-939b-4118-83c8-e47090a482a1","pe-section","file"
"cbf52b94-a8c1-497e-9dbb-fa172551b769",16113,"Payload delivery","md5","668a45479565eff2d043fe8052736cfc","",1,1576493161,"md5","","a57cf4f4-939b-4118-83c8-e47090a482a1","pe-section","file"
"1ff508fb-3707-4463-982d-f2046223fd01",16113,"Payload delivery","sha1","294d46bb22efbc3a4f7a44c77fa3ee09d85375d8","",1,1576493161,"sha1","","a57cf4f4-939b-4118-83c8-e47090a482a1","pe-section","file"
"6781577b-0906-4699-a6d8-e69900e2ff98",16113,"Payload delivery","sha256","b37683620a9e1bed100864f6f41a8735d106b5dfc9b4ae0f2cf8ebc54af8edc8","",1,1576493161,"sha256","","a57cf4f4-939b-4118-83c8-e47090a482a1","pe-section","file"
"e3a68e1c-4c7b-4de0-bebf-ce6ef5fc7dfc",16113,"Other","size-in-bytes",512,"",0,1576493161,"size-in-bytes","","a57cf4f4-939b-4118-83c8-e47090a482a1","pe-section","file"
"b109dac3-a1aa-4447-bbbd-b32784f4d151",16113,"Other","float",0.0815394,"",0,1576493161,"entropy","","a57cf4f4-939b-4118-83c8-e47090a482a1","pe-section","file"
"b4082891-f339-4722-8cd8-4e26f666f626",16113,"External analysis","link","https://www.virustotal.com/gui/file/d17426ec58456949e38c5a358be1c62f7d63f23958583b888f6df62437f6c8a5/detection","",0,1576493161,"permalink","","478be43a-9b46-48c5-8998-f21feaed5ebe","virustotal-report","misc"
"de5284be-3486-4323-87c3-9f23d7847578",16113,"Other","datetime","2019-12-16T08:45:48","",0,1576493161,"last-submission","","478be43a-9b46-48c5-8998-f21feaed5ebe","virustotal-report","misc"
"f36fb17d-baa8-44ab-910d-d127f726a75b",16113,"Other","text","20/71","",0,1576493161,"detection-ratio","","478be43a-9b46-48c5-8998-f21feaed5ebe","virustotal-report","misc"

