uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df77c7d-67d0-4a54-b50a-2f9bc0a8018c",16126,"Payload delivery","filename","XmaxMon.exe","",0,1576500349,"","","","",""
"5df77c7d-a200-4e9e-b784-2f9bc0a8018c",16126,"Payload delivery","md5","3e32554b279f6bf4406937ca57aa3c53","",1,1576500349,"","","","",""
"5df77c7d-7760-4f47-9f23-2f9bc0a8018c",16126,"Payload delivery","sha1","6ec482d12218606a2294874adb425a541ce05273","",1,1576500349,"","","","",""
"5df77c7d-0d40-4ff0-8bd1-2f9bc0a8018c",16126,"Payload delivery","sha256","94866752deca8d905cd28d137e376b38ce4991bc7682926ee0969f799af64ce0","",1,1576500349,"","","","",""
"5df77c7d-cb4c-4c24-bc9d-2f9bc0a8018c",16126,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1576500349,"","","","",""
"5df77c7d-3184-439f-958f-2f9bc0a8018c",16126,"Payload delivery","imphash","dd094c29d5eda0f67de8c61308601c10","",0,1576500349,"","","","",""
"5df77c7d-c1bc-4d61-8bbd-2f9bc0a8018c",16126,"Network activity","url","http://cottonagro.uz/media/cms/XmaxMon.exe","",1,1576500349,"","","","",""
"5df77c7d-4e84-4f9e-9466-2f9bc0a8018c",16126,"Network activity","domain","cottonagro.uz","",1,1576500349,"","","","",""
"f3c09b81-cc7e-41f2-9891-b2be8079f5ec",16126,"Other","text","CODE","",0,1576500350,"name","","450b2e5c-03d8-4159-b428-fa478f6dc0f5","pe-section","file"
"652f1579-ec0e-44c9-8c50-04b47e03fc63",16126,"Payload delivery","md5","3e7709f0dd3ef32c14a4e89bf4a12d65","",1,1576500350,"md5","","450b2e5c-03d8-4159-b428-fa478f6dc0f5","pe-section","file"
"7d048b77-861a-48d9-9db0-dc06374531ed",16126,"Payload delivery","sha1","4470ad102f4ef97878acd5347bba0e4b2bec9ae2","",1,1576500350,"sha1","","450b2e5c-03d8-4159-b428-fa478f6dc0f5","pe-section","file"
"9ae5d902-e7b7-47e9-b941-eee702c702f6",16126,"Payload delivery","sha256","58fcfd03bc9a421ac6023f23ffff79e0de85a5fb23d6f46bca427c761ccec15e","",1,1576500350,"sha256","","450b2e5c-03d8-4159-b428-fa478f6dc0f5","pe-section","file"
"955ffda0-6300-4921-9fd8-4847cb73f2f9",16126,"Other","size-in-bytes",572928,"",0,1576500350,"size-in-bytes","","450b2e5c-03d8-4159-b428-fa478f6dc0f5","pe-section","file"
"7ddefdd9-9fc4-4528-a24b-af4dfaea844b",16126,"Other","float",6.58603,"",0,1576500350,"entropy","","450b2e5c-03d8-4159-b428-fa478f6dc0f5","pe-section","file"
"990fff87-fa28-4d6a-87f0-f62266a9fb99",16126,"Other","text","DATA","",0,1576500350,"name","","1232a4e7-555f-4cfd-8145-167638b0add8","pe-section","file"
"d8fb0e29-4903-4199-a75a-979355088805",16126,"Payload delivery","md5","13eb1b856d58e89ccd25b775514b7576","",1,1576500350,"md5","","1232a4e7-555f-4cfd-8145-167638b0add8","pe-section","file"
"3e8155ae-c078-4792-ab01-b223af7750d4",16126,"Payload delivery","sha1","2aeff7728792b6e607d48031c10c137936234496","",1,1576500350,"sha1","","1232a4e7-555f-4cfd-8145-167638b0add8","pe-section","file"
