uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5df8b3a3-b500-4083-9f88-6a97c0a8018c",16253,"Payload delivery","filename","emptyfilename.tmp","",0,1576580003,"","","","",""
"5df8b3a3-b980-4151-8911-6a97c0a8018c",16253,"Payload delivery","md5","1462c1c482a7410965aa988fd11a439c","",1,1576580003,"","","","",""
"5df8b3a3-7ee0-4e13-9ce0-6a97c0a8018c",16253,"Payload delivery","sha1","7c88af7460ef37583fddce10666412b6479e0f1b","",1,1576580003,"","","","",""
"5df8b3a3-b294-4a35-9cd6-6a97c0a8018c",16253,"Payload delivery","sha256","cb731653d23d21925af4f140c367c6ea103c6bfa13b36b62c67b2f98013722e7","",1,1576580003,"","","","",""
"5df8b3a3-3980-48d6-865c-6a97c0a8018c",16253,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1576580003,"","","","",""
"5df8b3a3-dfc4-4fd9-ac22-6a97c0a8018c",16253,"Payload delivery","imphash","2f2193d7669f8b564e1c8245ffef08f4","",0,1576580003,"","","","",""
"5df8b3a3-a768-4af6-8763-6a97c0a8018c",16253,"Network activity","url","http://iranoca.com/dup-installer/py18r0/","",1,1576580003,"","","","",""
"5df8b3a3-b924-404f-b9e9-6a97c0a8018c",16253,"Network activity","domain","iranoca.com","",1,1576580003,"","","","",""
"84f70fdb-4616-4f44-aa24-02bbdbf12124",16253,"Other","text",".text","",0,1576580003,"name","","11b51f05-4963-455d-9014-f4e8f934f2f5","pe-section","file"
"03c2becc-fb85-45ef-a811-e1a61535c56a",16253,"Payload delivery","md5","ccb72336a666ec897dd36273f3dd77ba","",1,1576580003,"md5","","11b51f05-4963-455d-9014-f4e8f934f2f5","pe-section","file"
"4a67eb27-6c60-4654-8a14-b71eb7e45b07",16253,"Payload delivery","sha1","a4c8686eea98abbbe1225bc410689fcb4733ec7c","",1,1576580003,"sha1","","11b51f05-4963-455d-9014-f4e8f934f2f5","pe-section","file"
"b6b7f3dc-4509-4453-b2b3-a60bea4c2049",16253,"Payload delivery","sha256","a902612c53110ca7b9f4fe7004c78d242f095a154656b3fd0745678f1deb9def","",1,1576580003,"sha256","","11b51f05-4963-455d-9014-f4e8f934f2f5","pe-section","file"
"04e6faba-4f2a-4abc-bec9-08deb897a031",16253,"Other","size-in-bytes",176128,"",0,1576580003,"size-in-bytes","","11b51f05-4963-455d-9014-f4e8f934f2f5","pe-section","file"
"1910646f-0557-472c-b3c3-d992994a7eef",16253,"Other","float",6.46636,"",0,1576580003,"entropy","","11b51f05-4963-455d-9014-f4e8f934f2f5","pe-section","file"
"6e07fe51-7cfb-4ffd-b805-0057788c07b8",16253,"Other","text",".rdata","",0,1576580003,"name","","709d6a0a-1a56-42df-8001-0a0a86e2888b","pe-section","file"
"ac1273ef-a25f-4c20-80b4-5fa89d370553",16253,"Payload delivery","md5","6840902223fcbe920158d23913b36659","",1,1576580003,"md5","","709d6a0a-1a56-42df-8001-0a0a86e2888b","pe-section","file"
"d42ef5a7-ff26-4627-80d3-5972a55c5a55",16253,"Payload delivery","sha1","10ac04051486557a44f2baf345df487e634d05df","",1,1576580003,"sha1","","709d6a0a-1a56-42df-8001-0a0a86e2888b","pe-section","file"
"31d1e7b7-ba10-4e1c-a3d8-b6a6ef14d6e9",16253,"Payload delivery","sha256","a7cf45dc1adfc5d7cc6456b261c7090f4d3630623843808fa33a5b1f9c5aa158","",1,1576580003,"sha256","","709d6a0a-1a56-42df-8001-0a0a86e2888b","pe-section","file"
"26942790-4b39-456f-8a29-8d3ec8b1b9ac",16253,"Other","size-in-bytes",45056,"",0,1576580003,"size-in-bytes","","709d6a0a-1a56-42df-8001-0a0a86e2888b","pe-section","file"
"526db90f-5d89-484a-9add-bfe7fd5466cd",16253,"Other","float",4.75321,"",0,1576580003,"entropy","","709d6a0a-1a56-42df-8001-0a0a86e2888b","pe-section","file"
"92f03297-b654-4f3a-b1d1-334746273d3b",16253,"Other","text",".data","",0,1576580004,"name","","765ada90-8cbc-4eaa-92a3-f6223a8167e2","pe-section","file"
"73c6af61-3174-40ee-89e9-1467ea75ae36",16253,"Payload delivery","md5","da4d115c5f320ece51c1aee53c5bcd85","",1,1576580004,"md5","","765ada90-8cbc-4eaa-92a3-f6223a8167e2","pe-section","file"
"626adb39-4204-481e-8077-fac63f4e7b90",16253,"Payload delivery","sha1","f2b4b092d5a7da35619687d85d8fddad6c502d57","",1,1576580004,"sha1","","765ada90-8cbc-4eaa-92a3-f6223a8167e2","pe-section","file"
"656f5d90-89db-493f-b914-8450775d30bc",16253,"Payload delivery","sha256","1c539e00016e0220e29c981033a3598edfaceee806d1c0c0ff9b500813803afb","",1,1576580004,"sha256","","765ada90-8cbc-4eaa-92a3-f6223a8167e2","pe-section","file"
"cb8978ee-54ee-47e3-a934-eb13e2b5a40c",16253,"Other","size-in-bytes",77824,"",0,1576580004,"size-in-bytes","","765ada90-8cbc-4eaa-92a3-f6223a8167e2","pe-section","file"
"5a9eb57e-db57-422a-ad55-a34ccd3b47a2",16253,"Other","float",7.72404,"",0,1576580004,"entropy","","765ada90-8cbc-4eaa-92a3-f6223a8167e2","pe-section","file"
"55f6c99a-7ec8-4d63-8dad-5c652fd57d6b",16253,"Other","text",".rsrc","",0,1576580004,"name","","367a8772-ab76-4f9f-961f-9d8df941fe14","pe-section","file"
"2579d5d7-9eb9-4e74-be44-fa9dd92ed4e5",16253,"Payload delivery","md5","be177955e027f25f351e062902c0421e","",1,1576580004,"md5","","367a8772-ab76-4f9f-961f-9d8df941fe14","pe-section","file"
"6002dc56-34f4-465b-ab2e-491142c6b05c",16253,"Payload delivery","sha1","d693c8cc9ae69d40fc10abb1a93e62844146b1c9","",1,1576580004,"sha1","","367a8772-ab76-4f9f-961f-9d8df941fe14","pe-section","file"
"d4eb9863-30d3-4493-be3e-8318ee95f231",16253,"Payload delivery","sha256","1ad5380b0b45341ba06774d38346848730074d31f13146fdb0b4a3a5b7a9f086","",1,1576580004,"sha256","","367a8772-ab76-4f9f-961f-9d8df941fe14","pe-section","file"
"d4590c24-8fcb-4191-944a-e39ad32a529a",16253,"Other","size-in-bytes",40960,"",0,1576580004,"size-in-bytes","","367a8772-ab76-4f9f-961f-9d8df941fe14","pe-section","file"
"23c0adc6-800e-4990-8437-0e32c9a2f87c",16253,"Other","float",4.4399,"",0,1576580004,"entropy","","367a8772-ab76-4f9f-961f-9d8df941fe14","pe-section","file"
"174ecc41-fb98-4afe-95ad-0855fa4be222",16253,"External analysis","link","https://www.virustotal.com/gui/file/cb731653d23d21925af4f140c367c6ea103c6bfa13b36b62c67b2f98013722e7/detection","",0,1576580004,"permalink","","6b386fde-f98b-4b3b-b447-57b6f945170c","virustotal-report","misc"
"47efe98f-df3b-4058-a27c-20b1d08f33e0",16253,"Other","datetime","2019-12-17T10:52:25","",0,1576580004,"last-submission","","6b386fde-f98b-4b3b-b447-57b6f945170c","virustotal-report","misc"
