uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dfbb1f4-294c-4060-9b61-1732c0a8018c",16516,"Payload delivery","filename","Windows-KB2670838.msu.exe","",0,1576776180,"","","","",""
"5dfbb1f4-7bec-48df-89ef-1732c0a8018c",16516,"Payload delivery","md5","6e49c75f701aa059fa6ed5859650b910","",1,1576776180,"","","","",""
"5dfbb1f4-51f0-48b9-9c40-1732c0a8018c",16516,"Payload delivery","sha1","ccb7898c509c3a1de96d2010d638f6a719f6f400","",1,1576776180,"","","","",""
"5dfbb1f4-55cc-4bf6-8228-1732c0a8018c",16516,"Payload delivery","sha256","f91f02fd27ada64f36f6df59a611fef106ff7734833dea825d0612e73bdfb621","",1,1576776180,"","","","",""
"5dfbb1f4-7f04-4b5f-a804-1732c0a8018c",16516,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1576776180,"","","","",""
"5dfbb1f5-83c8-4441-b908-1732c0a8018c",16516,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1576776181,"","","","",""
"5dfbb1f5-4cc8-4a00-9ec8-1732c0a8018c",16516,"Network activity","url","https://cdn.discordapp.com/attachments/471726420251377666/653024714939170826/Windows-KB2670838.msu.exe","",1,1576776181,"","","","",""
"5dfbb1f5-57fc-43b7-913f-1732c0a8018c",16516,"Network activity","domain","cdn.discordapp.com","",1,1576776181,"","","","",""
"0958838a-2bbe-4a2e-a048-495467d51884",16516,"Other","text",".text","",0,1576776181,"name","","a9401a7d-2f7e-47aa-920a-772de061b124","pe-section","file"
"1344336e-d8fa-4398-9fc5-7ec131f23b34",16516,"Payload delivery","md5","0827ae6742b626853b25b183a54a0c01","",1,1576776181,"md5","","a9401a7d-2f7e-47aa-920a-772de061b124","pe-section","file"
"204c9095-f9c3-4dc2-9170-973f14024c52",16516,"Payload delivery","sha1","49c7c1a0e1eddb4b90fcb483db418215dbe0b3d8","",1,1576776181,"sha1","","a9401a7d-2f7e-47aa-920a-772de061b124","pe-section","file"
"3cd5002d-94f0-4bc1-8701-83224ebc25b5",16516,"Payload delivery","sha256","5ae165ab43a0ed962d7c7eb1bd196926c1f05e31a1fb6e886bc369bf7f63efde","",1,1576776181,"sha256","","a9401a7d-2f7e-47aa-920a-772de061b124","pe-section","file"
"0056ad77-9d1d-4b3f-bca3-e241ff99fdf3",16516,"Other","size-in-bytes",529408,"",0,1576776181,"size-in-bytes","","a9401a7d-2f7e-47aa-920a-772de061b124","pe-section","file"
"158a0973-5473-4d23-9e8b-f9393757c8d3",16516,"Other","float",7.91158,"",0,1576776181,"entropy","","a9401a7d-2f7e-47aa-920a-772de061b124","pe-section","file"
"96be67c2-9121-4942-9a3f-1e4f098a4377",16516,"Other","text",".rsrc","",0,1576776181,"name","","f02387b4-b4c0-4e1b-bb69-d0aa40f3b623","pe-section","file"
"0976f9cc-b87f-4cb1-9329-41e0fd263afa",16516,"Payload delivery","md5","f08206278489cc0d51ff1df67845ceb5","",1,1576776181,"md5","","f02387b4-b4c0-4e1b-bb69-d0aa40f3b623","pe-section","file"
"27cae103-79e3-4eab-af7b-d87dad7a6a8b",16516,"Payload delivery","sha1","8c32fbfd31bcdfe9cee906252811b4adc9771770","",1,1576776181,"sha1","","f02387b4-b4c0-4e1b-bb69-d0aa40f3b623","pe-section","file"
"f84aec21-1546-48c5-9079-508dda171a69",16516,"Payload delivery","sha256","6d6d4306270912858e795f01f53fae82018dca202bfcd759be1a638e2c26be5c","",1,1576776181,"sha256","","f02387b4-b4c0-4e1b-bb69-d0aa40f3b623","pe-section","file"
"08aa12ca-94bb-4049-bc41-0e3ae86fcc54",16516,"Other","size-in-bytes",215040,"",0,1576776181,"size-in-bytes","","f02387b4-b4c0-4e1b-bb69-d0aa40f3b623","pe-section","file"
"789499f1-3561-4cb6-b85e-fcb695757d6a",16516,"Other","float",6.16445,"",0,1576776181,"entropy","","f02387b4-b4c0-4e1b-bb69-d0aa40f3b623","pe-section","file"
"fa83c0ab-a97e-4604-ae99-c58936ac0c40",16516,"Other","text",".reloc","",0,1576776181,"name","","f01b0e45-f29c-4911-a591-fad33e70e39a","pe-section","file"
"29c26673-fcd1-4c5d-a5b0-c7e98a657959",16516,"Payload delivery","md5","2da889479307692b59fbe3a926c0ff62","",1,1576776182,"md5","","f01b0e45-f29c-4911-a591-fad33e70e39a","pe-section","file"
"83eebd36-350b-47e4-a103-c22804c7c8ee",16516,"Payload delivery","sha1","3301a2551e2ae62f28fdbd64f17222c0d58148b6","",1,1576776182,"sha1","","f01b0e45-f29c-4911-a591-fad33e70e39a","pe-section","file"
"6493be1b-f30f-44f6-8078-6a2b15d35b60",16516,"Payload delivery","sha256","91e854594891408eca654fa87c1649295200ebd3bd85ae89edfd9b5f73f2f317","",1,1576776182,"sha256","","f01b0e45-f29c-4911-a591-fad33e70e39a","pe-section","file"
"1c041faf-d2a7-4106-8afc-842967fcfe1f",16516,"Other","size-in-bytes",512,"",0,1576776182,"size-in-bytes","","f01b0e45-f29c-4911-a591-fad33e70e39a","pe-section","file"
"2f8e5efb-53dc-4a4e-ad9d-e1e22db85dd8",16516,"Other","float",0.10191,"",0,1576776182,"entropy","","f01b0e45-f29c-4911-a591-fad33e70e39a","pe-section","file"
"5c318dac-cd92-41bb-9d23-14f6906b34f6",16516,"External analysis","link","https://www.virustotal.com/gui/file/f91f02fd27ada64f36f6df59a611fef106ff7734833dea825d0612e73bdfb621/detection","",0,1576776182,"permalink","","d7ec8578-93e6-4f7b-84e6-2f41746512dd","virustotal-report","misc"
"90505365-0158-434a-a76f-eb937de8b0cb",16516,"Other","datetime","2019-12-18T19:59:00","",0,1576776182,"last-submission","","d7ec8578-93e6-4f7b-84e6-2f41746512dd","virustotal-report","misc"
"60d89a72-a76c-4f79-a9ea-a5ae67980b68",16516,"Other","text","38/70","",0,1576776182,"detection-ratio","","d7ec8578-93e6-4f7b-84e6-2f41746512dd","virustotal-report","misc"

