uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5dff4c8d-24ac-44fe-b109-0804c0a8018c",16813,"Payload delivery","filename","1usigp2kjng3.jpg","",0,1577012365,"","","","",""
"5dff4c8d-dfac-4229-aa49-0804c0a8018c",16813,"Payload delivery","md5","f64c067b2be249281d9093d02ec6d13e","",1,1577012365,"","","","",""
"5dff4c8d-5c74-49aa-afde-0804c0a8018c",16813,"Payload delivery","sha1","0a0979fb8f41447501ca42b1cff30247f71fac25","",1,1577012365,"","","","",""
"5dff4c8d-ca24-4385-b35c-0804c0a8018c",16813,"Payload delivery","sha256","a7ee7a79dc55aca264fc2e7663a649e0c5280406a29ae01cad53ec3569176c65","",1,1577012365,"","","","",""
"5dff4c8d-cd9c-4e5b-a5ef-0804c0a8018c",16813,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1577012365,"","","","",""
"5dff4c8d-ba64-43fe-9809-0804c0a8018c",16813,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1577012365,"","","","",""
"5dff4c8d-1a84-45fb-9baa-0804c0a8018c",16813,"Network activity","url","http://gulfup.me/i/00655/1usigp2kjng3.jpg","",1,1577012365,"","","","",""
"5dff4c8d-b358-40c5-9fd7-0804c0a8018c",16813,"Network activity","domain","gulfup.me","",1,1577012365,"","","","",""
"d88bd3a9-0666-4e53-b4a9-363edcbd36ad",16813,"Other","text",".text","",0,1577012365,"name","","1c9a9fdc-5f79-42ab-9d03-2e4b8091a22b","pe-section","file"
"411595de-9606-421c-aa46-4d9a6a14745e",16813,"Payload delivery","md5","e02c8f1c241afc8b93ce561f35d049fe","",1,1577012365,"md5","","1c9a9fdc-5f79-42ab-9d03-2e4b8091a22b","pe-section","file"
"91420bb2-e244-483f-9bd5-bcbcb8f3f3af",16813,"Payload delivery","sha1","1ff0ae0ee9a4ae2b08a17e5ecc2b9dcf78ca449c","",1,1577012365,"sha1","","1c9a9fdc-5f79-42ab-9d03-2e4b8091a22b","pe-section","file"
"2d354c27-78c2-4679-8b43-ef304f930261",16813,"Payload delivery","sha256","3d5eed2fb0cc7f82015a65729179de9ba4bab6aed22bae46d7e7002943b1be41","",1,1577012365,"sha256","","1c9a9fdc-5f79-42ab-9d03-2e4b8091a22b","pe-section","file"
