uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e09b78b-89d4-4213-8327-1d7fc0a8018c",17118,"Payload delivery","filename","N.exe","",0,1577695115,"","","","",""
"5e09b78b-b160-4708-97f7-1d7fc0a8018c",17118,"Payload delivery","md5","0d6387b9c1a73846f340dc3bdaa75862","",1,1577695115,"","","","",""
"5e09b78b-fdc0-42ee-b6fa-1d7fc0a8018c",17118,"Payload delivery","sha1","564c7a19d5699d4e58654e5a8d69b4a4afb6514b","",1,1577695115,"","","","",""
"5e09b78b-03a8-44fe-8738-1d7fc0a8018c",17118,"Payload delivery","sha256","e682b9130a610a5b0168a854d749953ff022ff9c8dbbbbc98e98aeb0b7809d53","",1,1577695115,"","","","",""
"5e09b78b-5a5c-4851-8f47-1d7fc0a8018c",17118,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 (stripped to external PDB), for MS Windows","",0,1577695115,"","","","",""
"5e09b78b-3ac0-4350-8912-1d7fc0a8018c",17118,"Payload delivery","imphash","3552255b0308f758d071474baf31cb31","",0,1577695115,"","","","",""
"5e09b78b-69b8-4ffd-a537-1d7fc0a8018c",17118,"Network activity","url","http://imoustapha.me/N.exe","",1,1577695115,"","","","",""
"5e09b78b-1f90-492a-a6d8-1d7fc0a8018c",17118,"Network activity","domain","imoustapha.me","",1,1577695115,"","","","",""
"564eed63-d717-4ca9-a868-1a7ef00dedc4",17118,"Other","text",".text","",0,1577695115,"name","","9c81ff07-45c8-4f26-8cea-8743c5c7e12b","pe-section","file"
"a71a3a12-63de-4800-8fcf-3818e072a513",17118,"Payload delivery","md5","bc1074522da48338b7ddfc469329250c","",1,1577695115,"md5","","9c81ff07-45c8-4f26-8cea-8743c5c7e12b","pe-section","file"
"818ab596-406d-4a83-8540-8c8110b87542",17118,"Payload delivery","sha1","8a689e728f2cefc88caf79d09320a3dc9dcef848","",1,1577695116,"sha1","","9c81ff07-45c8-4f26-8cea-8743c5c7e12b","pe-section","file"
"b59a340e-5859-43da-a0d4-2d175f82348b",17118,"Payload delivery","sha256","620e33409dddf8d6904d3fea9e2c355602d1f64ab88693dd597ea6786a843934","",1,1577695116,"sha256","","9c81ff07-45c8-4f26-8cea-8743c5c7e12b","pe-section","file"
