uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e255e3f-6ea4-4b20-a598-13a3c0a8018c",18176,"Payload delivery","filename","loligang.arm6","",0,1579507263,"","","","",""
"5e255e3f-0e04-4e1a-b53c-13a3c0a8018c",18176,"Payload delivery","md5","34d4d830753116d7b1b6661b86597cd5","",1,1579507263,"","","","",""
"5e255e3f-c6a8-4873-93d5-13a3c0a8018c",18176,"Payload delivery","sha1","298afb428c657911f80917f33f13ca6eccd17c03","",1,1579507263,"","","","",""
"5e255e3f-1848-47db-83d9-13a3c0a8018c",18176,"Payload delivery","sha256","491bad45470dd9b1d95fb1654a7d8cbd0f7596f4f5bf8854fdd555af6b115647","",1,1579507263,"","","","",""
"5e255e3f-6768-415e-b475-13a3c0a8018c",18176,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, stripped","",0,1579507263,"","","","",""
"5e255e3f-7a2c-458e-8a84-13a3c0a8018c",18176,"Network activity","url","http://104.244.74.205/lmaoWTF/loligang.arm6","",1,1579507263,"","","","",""
"5e255e3f-564c-462b-80b9-13a3c0a8018c",18176,"Network activity","ip-dst","104.244.74.205","",1,1579507263,"","","","",""
"24e84411-c378-47f0-925d-6894254ad4f9",18176,"External analysis","link","https://www.virustotal.com/gui/file/491bad45470dd9b1d95fb1654a7d8cbd0f7596f4f5bf8854fdd555af6b115647/detection","",0,1579507263,"permalink","","aaf0289c-f28a-43db-8c3f-c084fa26ebf7","virustotal-report","misc"
"52e793c4-0086-40fb-9f62-8624b261a961",18176,"Other","datetime","2020-01-13T19:03:35","",0,1579507263,"last-submission","","aaf0289c-f28a-43db-8c3f-c084fa26ebf7","virustotal-report","misc"
"23f65449-9af3-48ec-b204-f725b3a1ebb6",18176,"Other","text","36/59","",0,1579507263,"detection-ratio","","aaf0289c-f28a-43db-8c3f-c084fa26ebf7","virustotal-report","misc"

