uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e28e45b-e38c-4411-892c-3fbdc0a8018c",18736,"Payload delivery","filename","emptyfilename.tmp","",0,1579738203,"","","","",""
"5e28e45b-cf94-4e18-aa54-3fbdc0a8018c",18736,"Payload delivery","md5","918ab9294c067bdcb38b7263a8f9f17b","",1,1579738203,"","","","",""
"5e28e45b-c900-4fd5-8744-3fbdc0a8018c",18736,"Payload delivery","sha1","00f5a08b3f4c33435f81c5bd62e5d9664aa5499b","",1,1579738203,"","","","",""
"5e28e45b-9d84-4eae-908f-3fbdc0a8018c",18736,"Payload delivery","sha256","1c244d818f2d1e8b44a21b46b36aa29b2a6de9b37ce8463210ced5c7219801fa","",1,1579738203,"","","","",""
"5e28e45b-40ec-4259-9606-3fbdc0a8018c",18736,"Payload delivery","mime-type","Microsoft Word 2007+","",0,1579738203,"","","","",""
"5e28e45b-8c6c-4acb-935c-3fbdc0a8018c",18736,"Network activity","url","http://gsdevelopment.org/ptjcdl/1jj-ymia-2348/","",1,1579738203,"","","","",""
"5e28e45b-2c1c-479a-b8db-3fbdc0a8018c",18736,"Network activity","domain","gsdevelopment.org","",1,1579738203,"","","","",""
"f8e47cd3-1954-4ae5-9f37-d5081d4330e7",18736,"External analysis","link","https://www.virustotal.com/gui/file/1c244d818f2d1e8b44a21b46b36aa29b2a6de9b37ce8463210ced5c7219801fa/detection","",0,1579738203,"permalink","","3479c30a-e05c-467c-9fdf-7f5bbf3efc0b","virustotal-report","misc"
"e25e21d0-c29a-4c23-8a61-77be9524f195",18736,"Other","datetime","2020-01-23T00:06:33","",0,1579738203,"last-submission","","3479c30a-e05c-467c-9fdf-7f5bbf3efc0b","virustotal-report","misc"
"8b90c5f9-49b9-4610-8a3d-5a86a503b442",18736,"Other","text","22/63","",0,1579738203,"detection-ratio","","3479c30a-e05c-467c-9fdf-7f5bbf3efc0b","virustotal-report","misc"

