uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e2c339f-f45c-4f8f-9671-7d9bc0a8018c",18966,"Payload delivery","filename","emptyfilename.tmp","",0,1579955103,"","","","",""
"5e2c339f-d460-49fd-be60-7d9bc0a8018c",18966,"Payload delivery","md5","efa07aaa36f75ccae4f9d132a2d669fd","",1,1579955103,"","","","",""
"5e2c339f-7c98-43f9-9f0c-7d9bc0a8018c",18966,"Payload delivery","sha1","33dc25380602173387463634eb507f87e147e720","",1,1579955103,"","","","",""
"5e2c339f-0cd4-4553-a99a-7d9bc0a8018c",18966,"Payload delivery","sha256","9f2daf6dbb112a7bef66be93bb472853e443dde67fac8db35780243c260a43e5","",1,1579955103,"","","","",""
"5e2c339f-6e28-4ca3-8489-7d9bc0a8018c",18966,"Payload delivery","mime-type","Microsoft Word 2007+","",0,1579955103,"","","","",""
"5e2c339f-f354-4928-a3db-7d9bc0a8018c",18966,"Network activity","url","https://www.clinicacrecer.com/home/multifunctional_section/ajBSYVc45_cSSXVIe4t_906436_c6FkwqpEwa9A8l/2944516_vTjxzWtUlt3UI9/","",1,1579955103,"","","","",""
"5e2c339f-51b8-4249-ae97-7d9bc0a8018c",18966,"Network activity","domain","www.clinicacrecer.com","",1,1579955103,"","","","",""
"ccbcfdf1-7cea-42f5-b3db-f30041ef9aa5",18966,"External analysis","link","https://www.virustotal.com/gui/file/9f2daf6dbb112a7bef66be93bb472853e443dde67fac8db35780243c260a43e5/detection","",0,1579955103,"permalink","","2e25092d-2b5c-4b30-b910-49cb2b4ca3b0","virustotal-report","misc"
"90bbd8be-ed7f-4613-a2b8-86f651a07d07",18966,"Other","datetime","2020-01-25T00:13:08","",0,1579955103,"last-submission","","2e25092d-2b5c-4b30-b910-49cb2b4ca3b0","virustotal-report","misc"
"0be1c5da-c8e6-44db-97c8-0c0234fa864b",18966,"Other","text","21/63","",0,1579955103,"detection-ratio","","2e25092d-2b5c-4b30-b910-49cb2b4ca3b0","virustotal-report","misc"

