uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e2cd9cd-5038-419f-be7e-03e5c0a8018c",19075,"Payload delivery","filename","bi.exe","",0,1579997645,"","","","",""
"5e2cd9cd-0850-4cc1-b519-03e5c0a8018c",19075,"Payload delivery","md5","5a00ab629d247d74928b643c0e2e23f9","",1,1579997645,"","","","",""
"5e2cd9cd-526c-428a-af9f-03e5c0a8018c",19075,"Payload delivery","sha1","6e63c563273a432d5c73d0c496e56cfe9834e4b6","",1,1579997645,"","","","",""
"5e2cd9cd-d1e8-42d4-b3b5-03e5c0a8018c",19075,"Payload delivery","sha256","b08bf5420ef295a74bb7a86e99f83f6db056eebcb9739a90784c0964c1e46447","",1,1579997645,"","","","",""
"5e2cd9cd-b798-4707-8879-03e5c0a8018c",19075,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1579997645,"","","","",""
"5e2cd9cd-3c58-4539-b473-03e5c0a8018c",19075,"Payload delivery","imphash","39f70c2bdac1dfd21c94382fd8546414","",0,1579997645,"","","","",""
"5e2cd9cd-632c-4064-a3bd-03e5c0a8018c",19075,"Network activity","url","http://s243313.smrtp.ru/i/bi.exe","",1,1579997645,"","","","",""
"5e2cd9cd-ed08-4b31-aff8-03e5c0a8018c",19075,"Network activity","domain","s243313.smrtp.ru","",1,1579997645,"","","","",""
"4d15595d-179b-4498-8f34-dab43efe89dc",19075,"Other","text","CODE","",0,1579997645,"name","","148d0b28-731e-4348-b2cc-71e7473ba816","pe-section","file"
"2c48251f-600d-4fa1-8c96-553acf45f6c4",19075,"Payload delivery","md5","815cb3e9d6fdf04d7b8393587fd59163","",1,1579997645,"md5","","148d0b28-731e-4348-b2cc-71e7473ba816","pe-section","file"
"7bd98e46-ff4d-46bf-b2d6-5f77d36f1dad",19075,"Payload delivery","sha1","7e6deec5c5b3af2f569a43607505dff83d018648","",1,1579997645,"sha1","","148d0b28-731e-4348-b2cc-71e7473ba816","pe-section","file"
"f45ae025-99ba-4f9c-979c-a72942cb207e",19075,"Payload delivery","sha256","6ec1f4095e89e10422cb916bf5c71a2a9b26331fea7358651a26b335f8eaf48a","",1,1579997646,"sha256","","148d0b28-731e-4348-b2cc-71e7473ba816","pe-section","file"
"d6b5797c-6f25-418d-96c0-f2c4fe108431",19075,"Other","size-in-bytes",420352,"",0,1579997646,"size-in-bytes","","148d0b28-731e-4348-b2cc-71e7473ba816","pe-section","file"
"e0aa0f5b-5779-4061-9691-dfdb69ced03b",19075,"Other","float",6.6395,"",0,1579997646,"entropy","","148d0b28-731e-4348-b2cc-71e7473ba816","pe-section","file"
"36419cf7-dbd3-473b-b9fd-84dda5da119c",19075,"Other","text","DATA","",0,1579997646,"name","","1569bd3d-678f-43a0-a6d8-ad77c2cf6264","pe-section","file"
"f4eb1347-6dd9-4f57-8071-5bbbcc16886d",19075,"Payload delivery","md5","89d41043164018057552c9ff91f7afb4","",1,1579997646,"md5","","1569bd3d-678f-43a0-a6d8-ad77c2cf6264","pe-section","file"
"f7770574-33d3-4d6a-9473-01f96e1c6781",19075,"Payload delivery","sha1","1cfd0ff2adaf6e56e6c4048dfc28f80506851dde","",1,1579997646,"sha1","","1569bd3d-678f-43a0-a6d8-ad77c2cf6264","pe-section","file"
"a47a6066-e80a-4dbd-a9f3-f6b35a4680fb",19075,"Payload delivery","sha256","f1bafb897e7cbb2b6ed0900d1e4deef6f0070d0fdda0ce42b41f312dc04a516c","",1,1579997646,"sha256","","1569bd3d-678f-43a0-a6d8-ad77c2cf6264","pe-section","file"
"5429d820-8d40-4b11-a8df-292894fba493",19075,"Other","size-in-bytes",5120,"",0,1579997646,"size-in-bytes","","1569bd3d-678f-43a0-a6d8-ad77c2cf6264","pe-section","file"
"1d5011ba-46b1-45d7-9bd9-19bfc6390092",19075,"Other","float",4.15646,"",0,1579997646,"entropy","","1569bd3d-678f-43a0-a6d8-ad77c2cf6264","pe-section","file"
"220df2e8-72e7-4f60-9d8b-73dd3ab549cc",19075,"Other","text","BSS","",0,1579997646,"name","","cbb68e65-680b-4d01-95ec-76fe112457ef","pe-section","file"
"4db9f2de-fdb7-40c1-8202-7b7b20c5e3e9",19075,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1579997646,"md5","","cbb68e65-680b-4d01-95ec-76fe112457ef","pe-section","file"
"899421c8-b4fb-49a3-8922-5f1814561809",19075,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1579997648,"sha1","","cbb68e65-680b-4d01-95ec-76fe112457ef","pe-section","file"
"0c29b7bd-0db8-46ee-9020-571bedbca3db",19075,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1579997649,"sha256","","cbb68e65-680b-4d01-95ec-76fe112457ef","pe-section","file"
"16066892-532a-48d1-84ee-2d2667f2098b",19075,"Other","size-in-bytes",0,"",0,1579997649,"size-in-bytes","","cbb68e65-680b-4d01-95ec-76fe112457ef","pe-section","file"
"6967c708-b7df-4359-a743-4b376762caf5",19075,"Other","float",0.0,"",0,1579997649,"entropy","","cbb68e65-680b-4d01-95ec-76fe112457ef","pe-section","file"
"254295d3-e71b-4e35-a313-bd6236591212",19075,"Other","text",".idata","",0,1579997649,"name","","4fbef288-a96b-4b64-a987-ad75d9d0f49f","pe-section","file"
"b3289d2c-728a-4ed9-9105-b3a291a24775",19075,"Payload delivery","md5","86e14e11894a166141cd2630ec8d1095","",1,1579997649,"md5","","4fbef288-a96b-4b64-a987-ad75d9d0f49f","pe-section","file"
