uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e395670-176c-4a6f-a486-5c4ec0a8018c",598,"Payload delivery","filename","emptyfilename.tmp","",0,1580815984,"","","","",""
"5e395670-926c-48d8-8676-5c4ec0a8018c",598,"Payload delivery","md5","24681903ca31d76d3808b765b58f3f29","",1,1580815984,"","","","",""
"5e395670-1018-4fdc-b0a7-5c4ec0a8018c",598,"Payload delivery","sha1","f66abc0fc8116079e8879c2aaa0cf97ba108042e","",1,1580815984,"","","","",""
"5e395670-1a04-443a-bc0e-5c4ec0a8018c",598,"Payload delivery","sha256","8deb5dbd5bfe9d223224ea31c3a36f880c08b837b707985a2414eaa7967225fc","",1,1580815984,"","","","",""
"5e395670-aa90-46b2-b58b-5c4ec0a8018c",598,"Payload delivery","mime-type","Microsoft Word 2007+","",0,1580815984,"","","","",""
"5e395670-8ef4-4405-91dd-5c4ec0a8018c",598,"Network activity","url","http://pi.p.sherpa53.com/onptlekdj24sf/mvpNoOb/","",1,1580815984,"","","","",""
"5e395670-9d08-43e2-9526-5c4ec0a8018c",598,"Network activity","domain","pi.p.sherpa53.com","",1,1580815984,"","","","",""
"cd6244db-68be-4259-9821-4d74a980e01a",598,"External analysis","link","https://www.virustotal.com/gui/file/8deb5dbd5bfe9d223224ea31c3a36f880c08b837b707985a2414eaa7967225fc/detection","",0,1580815984,"permalink","","20cc66ee-dd25-47ae-84e4-4fcc25795c53","virustotal-report","misc"
"57089869-7271-4ac7-aa56-feee760ddbfb",598,"Other","datetime","2020-02-04T11:27:41","",0,1580815984,"last-submission","","20cc66ee-dd25-47ae-84e4-4fcc25795c53","virustotal-report","misc"
"65f2c53f-e56e-471c-a4d6-dbdb1e2af6ca",598,"Other","text","22/63","",0,1580815984,"detection-ratio","","20cc66ee-dd25-47ae-84e4-4fcc25795c53","virustotal-report","misc"

