uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e43c5fe-997c-4520-93b0-024ac0a8018c",1539,"Payload delivery","filename","azo.exe","",0,1581499902,"","","","",""
"5e43c5ff-c2fc-41e2-b582-024ac0a8018c",1539,"Payload delivery","md5","b48d7a04374fcbd33ec8e12a467de319","",1,1581499903,"","","","",""
"5e43c5ff-90fc-4ff6-973c-024ac0a8018c",1539,"Payload delivery","sha1","71ebfbb59545416eebba8202bc4f169fa7f21d87","",1,1581499903,"","","","",""
"5e43c5ff-f17c-42c4-b7b4-024ac0a8018c",1539,"Payload delivery","sha256","81b451d412d4dd03ff50113008a0d4072ddb407993027a87610bb78c8c41850c","",1,1581499903,"","","","",""
"5e43c5ff-0a44-40ea-a8ff-024ac0a8018c",1539,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1581499903,"","","","",""
"5e43c5ff-f5ec-4634-9c84-024ac0a8018c",1539,"Payload delivery","imphash","afcdf79be1557326c854b6e20cb900a7","",0,1581499903,"","","","",""
"5e43c600-43ec-4e80-9d74-024ac0a8018c",1539,"Network activity","url","http://rollingmill.in/azo.exe","",1,1581499904,"","","","",""
"5e43c600-10d8-46fa-bc80-024ac0a8018c",1539,"Network activity","domain","rollingmill.in","",1,1581499904,"","","","",""
"60c1f80c-64e4-4e4d-874a-c010cc1103ee",1539,"Other","text",".text","",0,1581499907,"name","","88b22330-61c5-4bb6-bbac-7dc47f868858","pe-section","file"
"dc136cac-9b63-4088-b29c-1cea0f0c9501",1539,"Payload delivery","md5","310e36668512d53489c005622bb1b4a9","",1,1581499907,"md5","","88b22330-61c5-4bb6-bbac-7dc47f868858","pe-section","file"
"8c71953c-89f6-463c-8b0c-d9a83bec9922",1539,"Payload delivery","sha1","8fb8e840c9e17486aac8a936bb9f4b4e97968eba","",1,1581499907,"sha1","","88b22330-61c5-4bb6-bbac-7dc47f868858","pe-section","file"
"80c8e1e6-87c3-4e8a-be2b-6b7047494282",1539,"Payload delivery","sha256","3978cc62b69ced82d20d17cf1a21f3df483172b58e56d5fbd2bc9ea2a2d5d881","",1,1581499907,"sha256","","88b22330-61c5-4bb6-bbac-7dc47f868858","pe-section","file"
"c7805ac0-b24a-4bec-99af-b3e6a8f38d1a",1539,"Other","size-in-bytes",581632,"",0,1581499908,"size-in-bytes","","88b22330-61c5-4bb6-bbac-7dc47f868858","pe-section","file"
"b4c4f76e-676d-4fb5-a043-38315653d22f",1539,"Other","float",6.67525,"",0,1581499908,"entropy","","88b22330-61c5-4bb6-bbac-7dc47f868858","pe-section","file"
"65d3ef60-db7e-4795-a7af-5cc25bdee9c4",1539,"Other","text",".rdata","",0,1581499911,"name","","1a669e4b-5c1a-4f8b-a8ce-d6b9646ca552","pe-section","file"
"ccd96952-b85e-40c4-90b1-69e36b52c7f7",1539,"Payload delivery","md5","d1f0a73b5ad0220d1e898c0e65c52f39","",1,1581499911,"md5","","1a669e4b-5c1a-4f8b-a8ce-d6b9646ca552","pe-section","file"
"6c510b04-2b90-432b-92c3-dbaad95787b2",1539,"Payload delivery","sha1","114f601036d1e38d4faf19d3859aba73a08d4c5e","",1,1581499911,"sha1","","1a669e4b-5c1a-4f8b-a8ce-d6b9646ca552","pe-section","file"
"5dddbad3-8545-4089-b981-7183885dde2d",1539,"Payload delivery","sha256","1a1427bd0f3dedc0ea977c4b33eaffe0535acffa2f19f8a89b7c5a3dcf4948cb","",1,1581499912,"sha256","","1a669e4b-5c1a-4f8b-a8ce-d6b9646ca552","pe-section","file"
"61a8cebb-310e-4718-b105-982b0e42de41",1539,"Other","size-in-bytes",196096,"",0,1581499912,"size-in-bytes","","1a669e4b-5c1a-4f8b-a8ce-d6b9646ca552","pe-section","file"
"c1a13eff-f0f9-4c65-99e9-675c9741a643",1539,"Other","float",5.76322,"",0,1581499912,"entropy","","1a669e4b-5c1a-4f8b-a8ce-d6b9646ca552","pe-section","file"
"af9383c1-d8d6-4bc2-9204-29d6659d40c4",1539,"Other","text",".data","",0,1581499915,"name","","2e782b69-ea67-4fcd-bc57-58812bb78b6d","pe-section","file"
"3fccb523-3378-4f57-a574-16c67bc0d3f1",1539,"Payload delivery","md5","aae9601d920f07080bdfadf43dfeff12","",1,1581499915,"md5","","2e782b69-ea67-4fcd-bc57-58812bb78b6d","pe-section","file"
"de262c31-fea4-48b8-be5e-bc326efdfa25",1539,"Payload delivery","sha1","3f68d00ffdc01d075cc78b7b0456ef541378b876","",1,1581499915,"sha1","","2e782b69-ea67-4fcd-bc57-58812bb78b6d","pe-section","file"
"55ff2529-d854-4f9e-ac2e-322ef9589c05",1539,"Payload delivery","sha256","905f5100fff55d7bc415d0c25c20c531b9ac9ff81d42768131fa05bdc9c43d9b","",1,1581499916,"sha256","","2e782b69-ea67-4fcd-bc57-58812bb78b6d","pe-section","file"
"87189227-2822-47f1-be8c-68d20ae3ec4c",1539,"Other","size-in-bytes",20992,"",0,1581499916,"size-in-bytes","","2e782b69-ea67-4fcd-bc57-58812bb78b6d","pe-section","file"
"2660772e-c001-469d-a870-7dee1b1c6fe5",1539,"Other","float",1.19638,"",0,1581499916,"entropy","","2e782b69-ea67-4fcd-bc57-58812bb78b6d","pe-section","file"
"31d48b2c-eee6-4b47-a059-5037ef2997fd",1539,"Other","text",".rsrc","",0,1581499919,"name","","bd9e258e-3ae5-4872-8a7c-466808a74b24","pe-section","file"
"826e2bb1-2597-4e3f-b862-095cd74d90d4",1539,"Payload delivery","md5","c7fdf35b70259370fb9d5bf15ae6de02","",1,1581499919,"md5","","bd9e258e-3ae5-4872-8a7c-466808a74b24","pe-section","file"
"9ac3416a-5634-4b7c-93cb-81e679de687f",1539,"Payload delivery","sha1","cfacb7253a5158943b6d24f5ec8e0825a0bb726d","",1,1581499919,"sha1","","bd9e258e-3ae5-4872-8a7c-466808a74b24","pe-section","file"
