uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d0218558-04d0-4431-b04f-dda82497a0bb",11384,"Payload delivery","filename","0d42c76532e1f811ba1e34911976f04fa2616dbe9af1f6f9cdf75193ad9f482b.exe.exe","",0,1727560086,"","","","",""
"8ad39c4f-b400-4063-b1ca-dcb2000cf30c",11384,"Payload delivery","md5","52f3d33b2ce1ae6640a20e19506b7acb","",1,1727560086,"","","","",""
"c0a1406c-7ff9-4101-a472-c8cad869ea73",11384,"Payload delivery","sha1","09833b92ef643b687fc0e51c7bc6316011e30604","",1,1727560086,"","","","",""
"b13fb839-7b6f-4477-a4dd-098dc489ffeb",11384,"Payload delivery","sha256","0d42c76532e1f811ba1e34911976f04fa2616dbe9af1f6f9cdf75193ad9f482b","",1,1727560086,"","","","",""
"ff87234e-9c47-4d5f-85ae-f797cc6220c3",11384,"Payload delivery","mime-type","application/x-dosexec","",0,1727560086,"","","","",""
"c060fb38-d8ca-4b02-92cf-bc9c90a27472",11384,"Payload delivery","imphash","630e143197957138e0ff0c79adca7372","",0,1727560086,"","","","",""
"20295139-40af-4b73-919b-72296cd28231",11384,"Network activity","url","http://140.83.50.60:8001/cry/0d42c76532e1f811ba1e34911976f04fa2616dbe9af1f6f9cdf75193ad9f482b.exe.exe","",1,1727560086,"","","","",""
"9d1f2130-f7c1-47ca-b3c3-9c7edfd9b196",11384,"Network activity","ip-dst","140.83.50.60","",1,1727560086,"","","","",""
"5a86e013-d6b5-4254-91ce-51b91155ff33",11384,"Other","text",".text","",0,1727560087,"name","","1132134e-a318-4d88-b063-d04fb1c8a721","pe-section","file"
"4dc5f26d-05c1-4345-9bdf-edd47db28bd8",11384,"Payload delivery","md5","d67fca22046da497bc4b28da073a9d5d","",1,1727560087,"md5","","1132134e-a318-4d88-b063-d04fb1c8a721","pe-section","file"
"4df5ae32-84ab-4c1f-81ce-c7c52c52cb6c",11384,"Payload delivery","sha1","6163d5a4ccf0ae2f77a55351c4a9a46fb7eaa04d","",1,1727560087,"sha1","","1132134e-a318-4d88-b063-d04fb1c8a721","pe-section","file"
"1b493f77-f3fa-4e3b-b4dc-0c23e9bdde83",11384,"Payload delivery","sha256","7214fc21c140b9684ae5a69abdb82f9b458ec07318e026e5b31b2f6af4713375","",1,1727560087,"sha256","","1132134e-a318-4d88-b063-d04fb1c8a721","pe-section","file"
"92ffd984-d1fb-40cd-b559-e0d7d308ba4c",11384,"Other","size-in-bytes",253952,"",0,1727560087,"size-in-bytes","","1132134e-a318-4d88-b063-d04fb1c8a721","pe-section","file"
"f40c02dc-bf64-46cc-a706-1800a0afb0be",11384,"Other","float",6.65412,"",0,1727560087,"entropy","","1132134e-a318-4d88-b063-d04fb1c8a721","pe-section","file"
"d3001ff5-8ca9-4b3e-8ebf-e969984b00bc",11384,"Other","text",".rdata","",0,1727560087,"name","","85427146-dbfc-4b36-8c87-8d5dc2e35e9d","pe-section","file"
"bb3586db-71e7-4d0d-aa97-4c7f281887f9",11384,"Payload delivery","md5","c00f28a76406e71d7f9c92121b80ac66","",1,1727560087,"md5","","85427146-dbfc-4b36-8c87-8d5dc2e35e9d","pe-section","file"
"2f7eb610-c3c6-4e68-b1cb-a0e875bd1c43",11384,"Payload delivery","sha1","79e8f52d87d5ffd267f1b5e23b3adac6c23d245c","",1,1727560087,"sha1","","85427146-dbfc-4b36-8c87-8d5dc2e35e9d","pe-section","file"
"61db7c01-1f3d-4f90-864b-96bfdfeb082d",11384,"Payload delivery","sha256","18d19b9603a1ee26c3785dad52781ee211133344aeaaf77a2749503f6e8839e5","",1,1727560087,"sha256","","85427146-dbfc-4b36-8c87-8d5dc2e35e9d","pe-section","file"
"02f63071-5832-499e-a3d2-a19e027f1a14",11384,"Other","size-in-bytes",66048,"",0,1727560087,"size-in-bytes","","85427146-dbfc-4b36-8c87-8d5dc2e35e9d","pe-section","file"
