uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e62819b-cd9c-4d88-94c7-064ac0a8018c",2315,"Payload delivery","filename","arm","",0,1583514011,"","","","",""
"5e62819b-0e24-4b52-b6db-064ac0a8018c",2315,"Payload delivery","md5","73e7afcd5735dd670ddef1bf39ae99c6","",1,1583514011,"","","","",""
"5e62819b-8b44-4717-877f-064ac0a8018c",2315,"Payload delivery","sha1","37a95a473b97183b2c05b659cc894943937a6b6c","",1,1583514011,"","","","",""
"5e62819b-2144-44db-b035-064ac0a8018c",2315,"Payload delivery","sha256","48d7393c7058927b103a42d0cf0c78facee98194a685d28a6f390d54243d83ef","",1,1583514011,"","","","",""
"5e62819b-f9cc-40be-81e8-064ac0a8018c",2315,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1583514011,"","","","",""
"5e62819b-5a30-48f1-ad4a-064ac0a8018c",2315,"Network activity","url","http://45.84.196.135/JuviGang91/arm","",1,1583514011,"","","","",""
"5e62819b-5f40-43da-9695-064ac0a8018c",2315,"Network activity","ip-dst","45.84.196.135","",1,1583514011,"","","","",""
"23f65d70-44d9-48ce-8979-f08bd98b0c76",2315,"External analysis","link","https://www.virustotal.com/gui/file/48d7393c7058927b103a42d0cf0c78facee98194a685d28a6f390d54243d83ef/detection","",0,1583514011,"permalink","","4f76262a-0183-432b-a993-540106c39f50","virustotal-report","misc"
"a5911ba6-4dc6-4e96-a398-8a2ce8c5d8f3",2315,"Other","datetime","2020-03-06T15:46:01","",0,1583514011,"last-submission","","4f76262a-0183-432b-a993-540106c39f50","virustotal-report","misc"
"f39ff773-3dfa-41ba-949b-3f831729f749",2315,"Other","text","9/60","",0,1583514011,"detection-ratio","","4f76262a-0183-432b-a993-540106c39f50","virustotal-report","misc"

