uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e629037-fdac-4022-bba8-5752c0a8018c",2354,"Payload delivery","filename","PO-39398-EXEL-IMG-09.exe","",0,1583517751,"","","","",""
"5e629037-5400-4eff-b0ca-5752c0a8018c",2354,"Payload delivery","md5","8cc08e3d9102a6184f21a7f7078b229c","",1,1583517751,"","","","",""
"5e629037-d250-4369-956d-5752c0a8018c",2354,"Payload delivery","sha1","665ca689a26c1c35db3132da5a8aadb42d3ebb6a","",1,1583517751,"","","","",""
"5e629037-51ec-4bc8-b915-5752c0a8018c",2354,"Payload delivery","sha256","814db37ad78e54bd9a763fba956f07f12ec84beace97c6493ebd9e1b19b2d2cb","",1,1583517751,"","","","",""
"5e629037-6f9c-4562-a841-5752c0a8018c",2354,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1583517751,"","","","",""
"5e629037-486c-4187-9dea-5752c0a8018c",2354,"Payload delivery","imphash","00be6e6c4f9e287672c8301b72bdabf3","",0,1583517751,"","","","",""
"5e629037-5b28-4ebc-9818-5752c0a8018c",2354,"Network activity","url","https://chriscnew.com/wp-admin/PO-39398-EXEL-IMG-09.exe","",1,1583517751,"","","","",""
"5e629037-2204-4160-be65-5752c0a8018c",2354,"Network activity","domain","chriscnew.com","",1,1583517751,"","","","",""
"122069ad-2d64-4891-ab13-af97c37bd14c",2354,"Other","text",".text","",0,1583517751,"name","","69622f0c-d769-4624-a0db-5fbb59f2b935","pe-section","file"
"fbdc0a0d-88d3-45ef-89f7-a7f484af7b4e",2354,"Payload delivery","md5","ccad881ef663bb12d11d212ad8d163cf","",1,1583517751,"md5","","69622f0c-d769-4624-a0db-5fbb59f2b935","pe-section","file"
"9b5a4bac-da69-4e2e-9144-a6149b23614f",2354,"Payload delivery","sha1","eff6ef263a889378a149a665a5769daecd29d406","",1,1583517751,"sha1","","69622f0c-d769-4624-a0db-5fbb59f2b935","pe-section","file"
"20dee032-63b7-4598-83b8-dc37ad8bf7fb",2354,"Payload delivery","sha256","f84a22c2a9b97b2bf3c6f3177da7d452c4f1377acf8823fbabb6651c0dbf3094","",1,1583517751,"sha256","","69622f0c-d769-4624-a0db-5fbb59f2b935","pe-section","file"
"b23796fd-b090-4bd6-b71b-802f113ad8ef",2354,"Other","size-in-bytes",190976,"",0,1583517751,"size-in-bytes","","69622f0c-d769-4624-a0db-5fbb59f2b935","pe-section","file"
"ee0433d4-546c-4462-aa49-52d0772e09b2",2354,"Other","float",6.69231,"",0,1583517751,"entropy","","69622f0c-d769-4624-a0db-5fbb59f2b935","pe-section","file"
"c1a6f2ae-d0eb-4a1d-856a-9995bea44bee",2354,"Other","text",".rdata","",0,1583517751,"name","","5fa68456-5d74-42fb-bcbc-fa3c06981af3","pe-section","file"
"3bf6cb41-5bf4-4793-ac20-240bb1030f37",2354,"Payload delivery","md5","ebf57dd1488cef86d0b062881c11f0b5","",1,1583517751,"md5","","5fa68456-5d74-42fb-bcbc-fa3c06981af3","pe-section","file"
