uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e6a39e4-76b8-4ebc-819e-60aac0a8018c",2837,"Payload delivery","filename","rispek.mips","",0,1584019940,"","","","",""
"5e6a39e4-6250-46de-8bf3-60aac0a8018c",2837,"Payload delivery","md5","6578ed76ed01f5e91aeef6921bb0576e","",1,1584019940,"","","","",""
"5e6a39e4-8974-4358-849d-60aac0a8018c",2837,"Payload delivery","sha1","37219189564ef2636c97399b11158619b3f5deb5","",1,1584019940,"","","","",""
"5e6a39e5-14c4-4f0c-bc65-60aac0a8018c",2837,"Payload delivery","sha256","1234158b76dde8a4f7e438745ee2c6484a52d95fe5e6f376ec071f3e6ebe87ff","",1,1584019941,"","","","",""
"5e6a39e5-7b24-417a-a7a3-60aac0a8018c",2837,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, stripped","",0,1584019941,"","","","",""
"5e6a39e5-e6d0-4fe7-9bd3-60aac0a8018c",2837,"Network activity","url","http://194.180.224.249/rispek.mips","",1,1584019941,"","","","",""
"5e6a39e5-a0ac-40c2-9066-60aac0a8018c",2837,"Network activity","ip-dst","194.180.224.249","",1,1584019941,"","","","",""
"8a244a8e-b13c-4e8f-b862-ac5323c2f1a7",2837,"External analysis","link","https://www.virustotal.com/gui/file/1234158b76dde8a4f7e438745ee2c6484a52d95fe5e6f376ec071f3e6ebe87ff/detection","",0,1584019944,"permalink","","3498b689-1f22-4d08-8ce1-89a269107cda","virustotal-report","misc"
"59308715-65e8-4e46-8976-a5e64f3be43a",2837,"Other","datetime","2020-03-12T12:24:54","",0,1584019945,"last-submission","","3498b689-1f22-4d08-8ce1-89a269107cda","virustotal-report","misc"
"2e0d07af-df3e-40d1-bef4-d40720939d1e",2837,"Other","text","8/59","",0,1584019945,"detection-ratio","","3498b689-1f22-4d08-8ce1-89a269107cda","virustotal-report","misc"

