uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e7d27bc-69b8-4afa-b6f1-6eafc0a8018c",3897,"Payload delivery","filename","arm","",0,1585260476,"","","","",""
"5e7d27bc-3f50-4747-b83b-6eafc0a8018c",3897,"Payload delivery","md5","2c84fc80a22ee50911ff488661038372","",1,1585260476,"","","","",""
"5e7d27bc-38d4-4e9a-ba6c-6eafc0a8018c",3897,"Payload delivery","sha1","a89c42dd41b836984ebc3b97f35eeb238c78afb9","",1,1585260476,"","","","",""
"5e7d27bc-864c-44d9-b2e6-6eafc0a8018c",3897,"Payload delivery","sha256","cf243eb6de7ae828355cedeb8931a6170062d45140bf2bdc806a4581c781de63","",1,1585260476,"","","","",""
"5e7d27bc-af1c-4a63-8b03-6eafc0a8018c",3897,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1585260476,"","","","",""
"5e7d27bc-9e94-4211-a753-6eafc0a8018c",3897,"Network activity","url","http://209.97.152.90/bin/arm","",1,1585260476,"","","","",""
"5e7d27bc-18a8-4b2b-acd2-6eafc0a8018c",3897,"Network activity","ip-dst","209.97.152.90","",1,1585260476,"","","","",""
"9f830aac-92e3-442e-82b1-b74195be41ae",3897,"External analysis","link","https://www.virustotal.com/gui/file/cf243eb6de7ae828355cedeb8931a6170062d45140bf2bdc806a4581c781de63/detection","",0,1585260477,"permalink","","3bf802a8-bad4-4c6a-8341-4b7859fe60f6","virustotal-report","misc"
"5810c1da-78d3-49d5-953c-54310084ee2c",3897,"Other","datetime","2020-03-26T18:45:38.000000+0000","",0,1585260478,"last-submission","","3bf802a8-bad4-4c6a-8341-4b7859fe60f6","virustotal-report","misc"
"0405d773-ab7d-4591-9b97-b932a3ca77d2",3897,"Other","text","9/60","",0,1585260478,"detection-ratio","","3bf802a8-bad4-4c6a-8341-4b7859fe60f6","virustotal-report","misc"

