uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9806cb-ed04-4be3-bdc5-0302c0a8018c",5014,"Payload delivery","filename","BRNE.txt","",0,1587021515,"","","","",""
"5e9806cb-2824-4a83-8c2c-0302c0a8018c",5014,"Payload delivery","md5","e670ef01229ae359d350e04257bdcc03","",1,1587021515,"","","","",""
"5e9806cb-04fc-41ee-b33d-0302c0a8018c",5014,"Payload delivery","sha1","34c9884d594813530b45138ef8575ebda257d17e","",1,1587021515,"","","","",""
"5e9806cb-e9bc-4239-aef8-0302c0a8018c",5014,"Payload delivery","sha256","c3c28fcb780f2a05bd500a5972acb7e8e0ece91f1b6cf74b6a9b1db013c95d88","",1,1587021515,"","","","",""
"5e9806cb-b758-4431-a128-0302c0a8018c",5014,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587021515,"","","","",""
"5e9806cb-7ac8-4d89-a42f-0302c0a8018c",5014,"Payload delivery","imphash","0a11ac1b3b526cd8182f4b2f5cc954e4","",0,1587021515,"","","","",""
"5e9806cb-6ba8-462f-b863-0302c0a8018c",5014,"Network activity","url","http://emberdupe.co.za/BRNE.txt","",1,1587021515,"","","","",""
"5e9806cb-cc30-4c99-9479-0302c0a8018c",5014,"Network activity","domain","emberdupe.co.za","",1,1587021515,"","","","",""
"ff9ffb16-f5a0-4481-9c2c-0a5ca1f964b7",5014,"Other","text",".text","",0,1587021515,"name","","c556da1c-4092-42cc-8033-ded56907a1b4","pe-section","file"
"78eb3813-4d5e-4eae-8e9f-afc79a578c9b",5014,"Payload delivery","md5","a4069b4583a831fc46f903a41638f7b9","",1,1587021515,"md5","","c556da1c-4092-42cc-8033-ded56907a1b4","pe-section","file"
"59f3b16c-9e99-4a90-b074-d7c40a2b4f26",5014,"Payload delivery","sha1","84fb40d884411254670b466d1649e599be6dc68c","",1,1587021515,"sha1","","c556da1c-4092-42cc-8033-ded56907a1b4","pe-section","file"
"cbf42130-ced3-4500-862a-f393a5d087b1",5014,"Payload delivery","sha256","7740babdec2e42bba4e443bfd071f52e73984ae461015de01cc5c88dae02d58c","",1,1587021515,"sha256","","c556da1c-4092-42cc-8033-ded56907a1b4","pe-section","file"
"6d9f1e14-3161-4929-9abf-af7c08f1d54e",5014,"Other","size-in-bytes",110592,"",0,1587021515,"size-in-bytes","","c556da1c-4092-42cc-8033-ded56907a1b4","pe-section","file"
"b193c603-2589-4bea-b337-170cded3c965",5014,"Other","float",4.57149,"",0,1587021515,"entropy","","c556da1c-4092-42cc-8033-ded56907a1b4","pe-section","file"
"7364ecbd-79b6-467c-9986-efff76eac0a0",5014,"Other","text",".data","",0,1587021516,"name","","a7859e0e-e7c9-4559-9173-7be5c23d3660","pe-section","file"
"fcdf1d4f-24d0-4932-b1b8-6f87499738ea",5014,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1587021516,"md5","","a7859e0e-e7c9-4559-9173-7be5c23d3660","pe-section","file"
"35e4a031-3f02-4086-916b-7afedf6bda70",5014,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1587021516,"sha1","","a7859e0e-e7c9-4559-9173-7be5c23d3660","pe-section","file"
"1464c216-a66c-4d26-9653-603800c6ee8a",5014,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1587021516,"sha256","","a7859e0e-e7c9-4559-9173-7be5c23d3660","pe-section","file"
"5da2d246-e5a2-46e7-936e-211a76784365",5014,"Other","size-in-bytes",4096,"",0,1587021516,"size-in-bytes","","a7859e0e-e7c9-4559-9173-7be5c23d3660","pe-section","file"
"ed6e5edd-d0e0-48b0-b4fd-abf550093370",5014,"Other","float",0.0,"",0,1587021516,"entropy","","a7859e0e-e7c9-4559-9173-7be5c23d3660","pe-section","file"
"55e51f4f-6cf7-4ed4-b32e-fc7679d57bb3",5014,"Other","text",".rsrc","",0,1587021517,"name","","52e8d1d1-8ea8-47cf-a677-360f7342e133","pe-section","file"
"2a2d0581-af19-4865-9278-7c56bd3ef022",5014,"Payload delivery","md5","72a5dc866c62e4c714b5ed41b5c4a743","",1,1587021517,"md5","","52e8d1d1-8ea8-47cf-a677-360f7342e133","pe-section","file"
"afbea0d4-84f0-446d-b9d2-f4b57d850890",5014,"Payload delivery","sha1","dd196336843a676c0129187e664fb4eed6d9558e","",1,1587021517,"sha1","","52e8d1d1-8ea8-47cf-a677-360f7342e133","pe-section","file"
