uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e987ccb-90c0-4609-9dfb-0ed0c0a8018c",5179,"Payload delivery","filename","444444.png","",0,1587051723,"","","","",""
"5e987ccc-dd54-41e1-ab63-0ed0c0a8018c",5179,"Payload delivery","md5","af26dca90cdede643e82d36be8685bb4","",1,1587051724,"","","","",""
"5e987ccc-9f3c-432d-9b0d-0ed0c0a8018c",5179,"Payload delivery","sha1","8f9b7108c775337cc2a6a02dcc495bc126002aba","",1,1587051724,"","","","",""
"5e987ccc-97b0-4465-8d63-0ed0c0a8018c",5179,"Payload delivery","sha256","f8305e0040e1f1ce342272d00ec054e616daddd1b48679ba99e521f25f78f26c","",1,1587051724,"","","","",""
"5e987ccc-d600-4ca5-a8a4-0ed0c0a8018c",5179,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587051724,"","","","",""
"5e987ccc-d0e4-45b1-8550-0ed0c0a8018c",5179,"Payload delivery","imphash","5e839b3dda0d3e0674ebdf25ff000a31","",0,1587051724,"","","","",""
"5e987ccc-afe8-46ad-abd1-0ed0c0a8018c",5179,"Network activity","url","http://funpartyrent.com/string/444444.png","",1,1587051724,"","","","",""
"5e987ccc-fc5c-4c78-80e3-0ed0c0a8018c",5179,"Network activity","domain","funpartyrent.com","",1,1587051724,"","","","",""
"93bcb8ca-ff63-42f4-99e1-deaf7046e636",5179,"Other","text",".text","",0,1587051725,"name","","18ceb9ad-773f-4fd9-9d96-a1f3d992d07d","pe-section","file"
"ccedeeff-4c55-4652-a2d3-b1d72e2c3c16",5179,"Payload delivery","md5","f18de88bc89ac6ece098087d716775b3","",1,1587051726,"md5","","18ceb9ad-773f-4fd9-9d96-a1f3d992d07d","pe-section","file"
"03da6132-4abc-4ed1-a9ac-7b058f37b6fe",5179,"Payload delivery","sha1","b03e98bf8b1e4b17dbb729949563bf282c98031b","",1,1587051726,"sha1","","18ceb9ad-773f-4fd9-9d96-a1f3d992d07d","pe-section","file"
"46584594-2e8f-4518-9f55-029829da9551",5179,"Payload delivery","sha256","b6b1dcf25c87f614a6a4910f1c9a85d287ea73bfebf1efc9d36e672a17032438","",1,1587051726,"sha256","","18ceb9ad-773f-4fd9-9d96-a1f3d992d07d","pe-section","file"
"46e1a68a-581e-460a-9dc9-690df433f379",5179,"Other","size-in-bytes",2257408,"",0,1587051726,"size-in-bytes","","18ceb9ad-773f-4fd9-9d96-a1f3d992d07d","pe-section","file"
"d11f9e77-dee4-4afc-90c5-50ca37f0ba6a",5179,"Other","float",1.69379,"",0,1587051726,"entropy","","18ceb9ad-773f-4fd9-9d96-a1f3d992d07d","pe-section","file"
"458aee63-069b-4e30-8558-44f16754a063",5179,"Other","text",".rdata","",0,1587051728,"name","","47a1bfae-ece7-4a48-980c-f6194fff2755","pe-section","file"
"01abae4f-3b56-4552-ab98-4e92e38cc38b",5179,"Payload delivery","md5","b4e2db5015cfc6b12eca58561d93ea43","",1,1587051728,"md5","","47a1bfae-ece7-4a48-980c-f6194fff2755","pe-section","file"
"38d13469-b415-415d-a6bf-567d62288470",5179,"Payload delivery","sha1","f52162b78d38065cf9c1a32d9445a8362672a256","",1,1587051728,"sha1","","47a1bfae-ece7-4a48-980c-f6194fff2755","pe-section","file"
"5b7f669f-ee98-4f41-980e-bf5a5f0ff84a",5179,"Payload delivery","sha256","2e32af068b58b6dd14912f4fcb57f89aa12fb343d9858aa7db0f1d53c53b3629","",1,1587051728,"sha256","","47a1bfae-ece7-4a48-980c-f6194fff2755","pe-section","file"
"48e59850-7d02-4ff3-9d52-aa5a67039795",5179,"Other","size-in-bytes",20480,"",0,1587051728,"size-in-bytes","","47a1bfae-ece7-4a48-980c-f6194fff2755","pe-section","file"
"dc210b5f-3b9c-4dc4-93b1-2c0a409a1156",5179,"Other","float",0.0539236,"",0,1587051728,"entropy","","47a1bfae-ece7-4a48-980c-f6194fff2755","pe-section","file"
"cf23a4ee-2ff0-4494-8c5d-36d285299908",5179,"Other","text",".data","",0,1587051730,"name","","beb70307-ef86-4833-a295-3f8c4f40eff2","pe-section","file"
"1b119381-e653-416f-b573-50b6ef19afad",5179,"Payload delivery","md5","d719b3544f00fc71cb64da9eb0d221fc","",1,1587051730,"md5","","beb70307-ef86-4833-a295-3f8c4f40eff2","pe-section","file"
"9b76eaac-9cae-4d2a-8625-42e42de72f12",5179,"Payload delivery","sha1","d9c6e088cfc67c6ed5fd16c6fadd9b67132ac779","",1,1587051730,"sha1","","beb70307-ef86-4833-a295-3f8c4f40eff2","pe-section","file"
"68d1e137-cdbd-4755-961f-3195dbb6d5d9",5179,"Payload delivery","sha256","47d5af00e962cb0c9f77a9e93c81bccec3d5b96c0d0b6e83d0f02e319c298ee0","",1,1587051730,"sha256","","beb70307-ef86-4833-a295-3f8c4f40eff2","pe-section","file"
"4576d4ff-1777-492e-b12d-db1dd1088455",5179,"Other","size-in-bytes",16896,"",0,1587051730,"size-in-bytes","","beb70307-ef86-4833-a295-3f8c4f40eff2","pe-section","file"
"1aae24bd-355e-4537-b8b5-ff84712d9e17",5179,"Other","float",5.82,"",0,1587051730,"entropy","","beb70307-ef86-4833-a295-3f8c4f40eff2","pe-section","file"
"f551041a-28e4-4d2e-a219-319e8b7611e0",5179,"Other","text",".rsrc","",0,1587051731,"name","","4784b9fc-ff14-4cc2-ac05-357435a548c1","pe-section","file"
"82f76200-f184-4290-a436-8e7403e6de24",5179,"Payload delivery","md5","6bee3e6f738d27e0e9202b4463833261","",1,1587051732,"md5","","4784b9fc-ff14-4cc2-ac05-357435a548c1","pe-section","file"
"d3f95c88-3439-4699-95ae-1ec377f5d7fa",5179,"Payload delivery","sha1","c7fe9b6ae2e6c6e955d31acfed3a38e6aff1d3d3","",1,1587051732,"sha1","","4784b9fc-ff14-4cc2-ac05-357435a548c1","pe-section","file"
"1936e84e-bb9d-426d-b446-a593493a8322",5179,"Payload delivery","sha256","1971183cb0c5b4c5176634d6b097b40c452ac4ffe169e272e4d5844a7817f888","",1,1587051732,"sha256","","4784b9fc-ff14-4cc2-ac05-357435a548c1","pe-section","file"
"a0e7a0ff-d01c-4849-a081-e0a2dc8e5eb4",5179,"Other","size-in-bytes",89088,"",0,1587051732,"size-in-bytes","","4784b9fc-ff14-4cc2-ac05-357435a548c1","pe-section","file"
"c2ad0c08-4b8d-475f-8ce3-412cad37d9ca",5179,"Other","float",7.40301,"",0,1587051732,"entropy","","4784b9fc-ff14-4cc2-ac05-357435a548c1","pe-section","file"

