uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e98e3d7-c3a0-41cc-976d-6f11c0a8018c",5296,"Payload delivery","filename","arm7","",0,1587078103,"","","","",""
"5e98e3d7-7644-4634-884a-6f11c0a8018c",5296,"Payload delivery","md5","93202b0e5a6f8fae7931cabca7712d09","",1,1587078103,"","","","",""
"5e98e3d7-70f4-449e-a976-6f11c0a8018c",5296,"Payload delivery","sha1","05870f88e930107b069015ede632c3a0c4a70cdd","",1,1587078103,"","","","",""
"5e98e3d7-5988-4fa4-bf10-6f11c0a8018c",5296,"Payload delivery","sha256","c7427180673266932f3e6e44939ca4fb58bcc8ea75d2f7db23f9772634c9fd9f","",1,1587078103,"","","","",""
"5e98e3d7-32f4-4a95-818d-6f11c0a8018c",5296,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1587078103,"","","","",""
"5e98e3d7-dfbc-4c8a-a312-6f11c0a8018c",5296,"Network activity","url","http://163.172.88.136/bins/arm7","",1,1587078103,"","","","",""
"5e98e3d8-95fc-47a8-8375-6f11c0a8018c",5296,"Network activity","ip-dst","163.172.88.136","",1,1587078104,"","","","",""
"e9dc2ea2-2880-43ed-aa87-9bf70ca9833d",5296,"External analysis","link","https://www.virustotal.com/gui/file/c7427180673266932f3e6e44939ca4fb58bcc8ea75d2f7db23f9772634c9fd9f/detection","",0,1587078105,"permalink","","50f81e89-1d84-4670-823e-ce4a507bd997","virustotal-report","misc"
"e3a34046-f523-4263-8468-cc88dddab793",5296,"Other","datetime","2020-04-15T07:00:03.000000+0000","",0,1587078105,"last-submission","","50f81e89-1d84-4670-823e-ce4a507bd997","virustotal-report","misc"
"e44a0e62-7e35-4e62-8a64-c9ef06ad0e9c",5296,"Other","text","30/58","",0,1587078105,"detection-ratio","","50f81e89-1d84-4670-823e-ce4a507bd997","virustotal-report","misc"

