uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e98fa0c-d390-4d9e-b5bb-2f6ec0a8018c",5305,"Payload delivery","filename","powerpc","",0,1587083788,"","","","",""
"5e98fa0c-4fec-4fea-982a-2f6ec0a8018c",5305,"Payload delivery","md5","4a3bf4401ee35e638da0df150b211725","",1,1587083788,"","","","",""
"5e98fa0c-667c-47d4-a808-2f6ec0a8018c",5305,"Payload delivery","sha1","4f91dfa28e2325bb778c5f9630f130f4c2078cf0","",1,1587083788,"","","","",""
"5e98fa0c-6400-4df5-9528-2f6ec0a8018c",5305,"Payload delivery","sha256","ff00ed94ac4b1b6591777f94d8c9e27fe191e7a5118442abd4b3491e98028e8a","",1,1587083788,"","","","",""
"5e98fa0d-c488-4079-9df6-2f6ec0a8018c",5305,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, not stripped","",0,1587083789,"","","","",""
"5e98fa0d-0438-4fb2-bb55-2f6ec0a8018c",5305,"Network activity","url","http://134.209.39.160/powerpc","",1,1587083789,"","","","",""
"5e98fa0d-81a4-4f1f-863a-2f6ec0a8018c",5305,"Network activity","ip-dst","134.209.39.160","",1,1587083789,"","","","",""
"71999667-3bf8-42d9-9379-bc7e1c5f5833",5305,"External analysis","link","https://www.virustotal.com/gui/file/ff00ed94ac4b1b6591777f94d8c9e27fe191e7a5118442abd4b3491e98028e8a/detection","",0,1587083790,"permalink","","66846e8e-cf8d-4589-a437-ea80e46ac841","virustotal-report","misc"
"5c37151d-ed00-4636-9356-93879350f782",5305,"Other","datetime","2020-04-16T19:15:49.000000+0000","",0,1587083790,"last-submission","","66846e8e-cf8d-4589-a437-ea80e46ac841","virustotal-report","misc"
"5890f494-6023-44d0-8f24-f2a3123054ef",5305,"Other","text","35/58","",0,1587083790,"detection-ratio","","66846e8e-cf8d-4589-a437-ea80e46ac841","virustotal-report","misc"

