uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9980ea-41fc-4921-8949-06f9c0a8018c",5437,"Payload delivery","filename","4810fc8cbad496eidZRVbY9Bv.dll","",0,1587118314,"","","","",""
"5e9980eb-d674-4d3c-91cb-06f9c0a8018c",5437,"Payload delivery","md5","62a1a1c268a0cc99228eb21537e9e9a5","",1,1587118315,"","","","",""
"5e9980eb-0db0-445e-8a46-06f9c0a8018c",5437,"Payload delivery","sha1","3acd67b1e9b4b492ac0039723f0ae1a95c812406","",1,1587118315,"","","","",""
"5e9980eb-5e0c-4cf5-8bc6-06f9c0a8018c",5437,"Payload delivery","sha256","1d548c3158019bf9de332a8fa34dd6d3ae3e4151bb896918eb2fd137860f21da","",1,1587118315,"","","","",""
"5e9980eb-26cc-4842-83bf-06f9c0a8018c",5437,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1587118315,"","","","",""
"5e9980eb-acf0-4311-8ef7-06f9c0a8018c",5437,"Payload delivery","imphash","bfc4d31a22e3dfa1c6c0cee19851c2f7","",0,1587118315,"","","","",""
"5e9980eb-d848-43b1-b898-06f9c0a8018c",5437,"Network activity","url","http://classic.theinflammatorytruth.com/4810fc8cbad496eidZRVbY9Bv.dll","",1,1587118315,"","","","",""
"5e9980eb-70cc-426a-9684-06f9c0a8018c",5437,"Network activity","domain","classic.theinflammatorytruth.com","",1,1587118315,"","","","",""
"18200437-7b14-4601-ba30-e9a3bbe39253",5437,"Other","text",".text","",0,1587118318,"name","","260ccb2f-21d9-45b6-bb6e-d9c9fed25c54","pe-section","file"
"01dc3afa-a1e2-4d9a-a709-0a11482eeae1",5437,"Payload delivery","md5","620cc08a0caefd12ba9e5c53a31660cb","",1,1587118318,"md5","","260ccb2f-21d9-45b6-bb6e-d9c9fed25c54","pe-section","file"
"62acfcde-83bd-4371-90c2-7e00ea968b45",5437,"Payload delivery","sha1","f431690186a7abb23eefcf1c011cb4c3ad60dc61","",1,1587118319,"sha1","","260ccb2f-21d9-45b6-bb6e-d9c9fed25c54","pe-section","file"
