uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9b9cd3-06f0-4dba-8ae0-034ec0a8018c",5975,"Payload delivery","filename","30743fvasea.exe","",0,1587256531,"","","","",""
"5e9b9cd3-9f74-466b-8ebb-034ec0a8018c",5975,"Payload delivery","md5","b681f62ced87a549cbaaff2be27e7085","",1,1587256531,"","","","",""
"5e9b9cd3-21d4-43d0-a67f-034ec0a8018c",5975,"Payload delivery","sha1","dd0d5ad43817a80857638c14837b8444b374e17d","",1,1587256531,"","","","",""
"5e9b9cd3-a1f8-4c8e-8bd6-034ec0a8018c",5975,"Payload delivery","sha256","03e41b52646cc5920f04f170be314409a9da5982b24389443643d7143cfafa3e","",1,1587256531,"","","","",""
"5e9b9cd3-10ac-47a8-9481-034ec0a8018c",5975,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587256531,"","","","",""
"5e9b9cd3-df5c-44e8-a120-034ec0a8018c",5975,"Payload delivery","imphash","0885b2b2b5829577912d5197330fc416","",0,1587256531,"","","","",""
"5e9b9cd3-0c24-4500-97e2-034ec0a8018c",5975,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/30743fvasea.exe","",1,1587256531,"","","","",""
"5e9b9cd3-1388-4338-b3ef-034ec0a8018c",5975,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587256531,"","","","",""
"e92e2404-51ac-4209-888b-ef62c7a20235",5975,"Other","text",".text","",0,1587256533,"name","","dd5e3cea-5c1f-4c66-ab50-c22a48925f02","pe-section","file"
"1ac1b477-b1ac-4233-9c66-841207b6ac58",5975,"Payload delivery","md5","5046b4fc44da255eede051c605a5785d","",1,1587256533,"md5","","dd5e3cea-5c1f-4c66-ab50-c22a48925f02","pe-section","file"
"279ab97e-e8a3-4b98-af2f-c4bf7f49843e",5975,"Payload delivery","sha1","a458d010f4b470a21bdc683fadfc0e34f2270e44","",1,1587256533,"sha1","","dd5e3cea-5c1f-4c66-ab50-c22a48925f02","pe-section","file"
"ae2ad4ca-97b7-4461-9bf2-2a40ff4ac1af",5975,"Payload delivery","sha256","0713cf869d5e2befa33199482945754ab8d97c5da2c6342ec0aa1bb353707304","",1,1587256533,"sha256","","dd5e3cea-5c1f-4c66-ab50-c22a48925f02","pe-section","file"
"9cf7fa16-8b82-443d-8557-87564abf9715",5975,"Other","size-in-bytes",90112,"",0,1587256533,"size-in-bytes","","dd5e3cea-5c1f-4c66-ab50-c22a48925f02","pe-section","file"
"6160b084-b459-4adc-b13d-9312e4886a8f",5975,"Other","float",6.50364,"",0,1587256533,"entropy","","dd5e3cea-5c1f-4c66-ab50-c22a48925f02","pe-section","file"
"51e6d95b-dd9c-4ec5-a224-27993906b659",5975,"Other","text",".rdata","",0,1587256534,"name","","f7f5ee30-97d6-48f6-ab68-d4347511c25f","pe-section","file"
"5872cc0f-58ce-4203-896a-cdf2939632dc",5975,"Payload delivery","md5","3ae86c408650678f594f6b536b233135","",1,1587256534,"md5","","f7f5ee30-97d6-48f6-ab68-d4347511c25f","pe-section","file"
"34e7faa0-69b6-4e25-b6f4-ecdebc658cb3",5975,"Payload delivery","sha1","c752350a3691153c9d4444267ecbd9bd8dc8dff2","",1,1587256534,"sha1","","f7f5ee30-97d6-48f6-ab68-d4347511c25f","pe-section","file"
"52aa1a02-f4d5-4b38-9ef2-329c5c70e53d",5975,"Payload delivery","sha256","160a8a58164d17331bbe4eecfc9c8488fe166561acc41cbda6307a4ac6510aaf","",1,1587256534,"sha256","","f7f5ee30-97d6-48f6-ab68-d4347511c25f","pe-section","file"
"08d8cd72-401e-44c9-bbfe-01eae4de5094",5975,"Other","size-in-bytes",20480,"",0,1587256534,"size-in-bytes","","f7f5ee30-97d6-48f6-ab68-d4347511c25f","pe-section","file"
"adab36dd-ac3e-4439-ac53-d82f86747e95",5975,"Other","float",4.92143,"",0,1587256535,"entropy","","f7f5ee30-97d6-48f6-ab68-d4347511c25f","pe-section","file"
"0c26b369-bfbe-47fe-aa48-72ffa847ae76",5975,"Other","text",".data","",0,1587256535,"name","","0503c7de-a302-4f1c-b32e-e01403cdf178","pe-section","file"
"591d5655-d4e6-4cfc-a11e-5faf46cbfe99",5975,"Payload delivery","md5","14e045749b3eff639554e9ddec73f583","",1,1587256536,"md5","","0503c7de-a302-4f1c-b32e-e01403cdf178","pe-section","file"
"448c5551-2f3c-44d3-8198-20183b54e404",5975,"Payload delivery","sha1","528cf245f5f154f92efc74afb582a0bdfece8f1c","",1,1587256536,"sha1","","0503c7de-a302-4f1c-b32e-e01403cdf178","pe-section","file"
"67a69933-c3ed-4b59-9f62-88a79c6edefc",5975,"Payload delivery","sha256","fc4c4833b5903c62eeef16376c108e8dae6dd0be8607762e13bfada9d8e2fd6a","",1,1587256536,"sha256","","0503c7de-a302-4f1c-b32e-e01403cdf178","pe-section","file"
"f608e0fa-083a-46ac-9ee7-f764296b6f05",5975,"Other","size-in-bytes",8192,"",0,1587256536,"size-in-bytes","","0503c7de-a302-4f1c-b32e-e01403cdf178","pe-section","file"
"8367a279-2d40-4192-a091-846925530a5b",5975,"Other","float",2.39372,"",0,1587256536,"entropy","","0503c7de-a302-4f1c-b32e-e01403cdf178","pe-section","file"
"b294ac67-a227-4ba6-8118-990aa73fbef0",5975,"Other","text",".rsrc","",0,1587256537,"name","","24b1ed6c-70e3-4da6-95c1-ae0d8250bcf7","pe-section","file"
"afbd0ed1-0abb-4819-9d83-b3b407f0d6be",5975,"Payload delivery","md5","7c23369ec5e27d2f4f3b100bc9d6a9e0","",1,1587256537,"md5","","24b1ed6c-70e3-4da6-95c1-ae0d8250bcf7","pe-section","file"
"96fa0db3-d8cb-42b7-8912-7f64aad22cdc",5975,"Payload delivery","sha1","1dddcb5d97ff7392d0999683183ad1981fb8b049","",1,1587256537,"sha1","","24b1ed6c-70e3-4da6-95c1-ae0d8250bcf7","pe-section","file"
"7969f6df-fa19-4282-a9f7-cbbdcc2b6d1a",5975,"Payload delivery","sha256","7081646700e5b96aefc367d8e8d136301495eac678bb8a7ce02063f2b42e7a7c","",1,1587256537,"sha256","","24b1ed6c-70e3-4da6-95c1-ae0d8250bcf7","pe-section","file"
"598e0123-13fb-4703-bd2a-67cb5b75e177",5975,"Other","size-in-bytes",249856,"",0,1587256537,"size-in-bytes","","24b1ed6c-70e3-4da6-95c1-ae0d8250bcf7","pe-section","file"
"5c4e3e2a-9c42-4049-bdbe-472ca28a3e06",5975,"Other","float",7.374,"",0,1587256537,"entropy","","24b1ed6c-70e3-4da6-95c1-ae0d8250bcf7","pe-section","file"
"76713c1e-13c7-47d6-a5c3-1a1512e851d3",5975,"External analysis","link","https://www.virustotal.com/gui/file/03e41b52646cc5920f04f170be314409a9da5982b24389443643d7143cfafa3e/detection","",0,1587256538,"permalink","","10681d3d-2cad-498a-9c52-fe9336e4728f","virustotal-report","misc"
"7c6c3664-d3a9-4cfa-a076-fca0b910cf6a",5975,"Other","datetime","2020-04-18T20:27:45.000000+0000","",0,1587256539,"last-submission","","10681d3d-2cad-498a-9c52-fe9336e4728f","virustotal-report","misc"
"fb5a7d48-cfbc-4db7-87a0-cfc04077af2d",5975,"Other","text","28/70","",0,1587256539,"detection-ratio","","10681d3d-2cad-498a-9c52-fe9336e4728f","virustotal-report","misc"

