uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9bff61-08c0-4616-abe9-15d9c0a8018c",6318,"Payload delivery","filename","901ODNO38B.exe","",0,1587281761,"","","","",""
"5e9bff61-d8ac-4ae5-a850-15d9c0a8018c",6318,"Payload delivery","md5","e437f06a8661256b381a9b986e2ba88b","",1,1587281761,"","","","",""
"5e9bff61-3220-4226-93af-15d9c0a8018c",6318,"Payload delivery","sha1","54520a4b013308a1809272a29334009f6fc3a3fb","",1,1587281761,"","","","",""
"5e9bff61-6408-414b-8b46-15d9c0a8018c",6318,"Payload delivery","sha256","c6892dddd66e7f045ee18856b6727f83c961c0fa3bf07d46a57981b7fd589563","",1,1587281761,"","","","",""
"5e9bff61-858c-4956-859e-15d9c0a8018c",6318,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587281761,"","","","",""
"5e9bff61-2234-45bd-9c0f-15d9c0a8018c",6318,"Payload delivery","imphash","d2091b6df8b6ce72e745b9e2d419885d","",0,1587281761,"","","","",""
"5e9bff61-5388-425d-990c-15d9c0a8018c",6318,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/901ODNO38B.exe","",1,1587281761,"","","","",""
"5e9bff61-b954-4f14-8028-15d9c0a8018c",6318,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587281761,"","","","",""
"e4bad00f-32b4-4fa7-b10d-7887ef390023",6318,"Other","text",".text","",0,1587281762,"name","","c6dbb716-a69f-4706-aa77-a327fb4d308d","pe-section","file"
"c683d8c9-7dcd-4e4f-9b02-aacc66bd7947",6318,"Payload delivery","md5","4cfdc71a4e90e2bf7ecfdc8401e3bb91","",1,1587281762,"md5","","c6dbb716-a69f-4706-aa77-a327fb4d308d","pe-section","file"
"a6efab9c-2d1b-4f15-aa1c-c21bc6dbc027",6318,"Payload delivery","sha1","3f33099c00ce200d8013d3a8c6e499ccf51a962e","",1,1587281762,"sha1","","c6dbb716-a69f-4706-aa77-a327fb4d308d","pe-section","file"
