uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9c5643-4808-4089-8d85-0326c0a8018c",6579,"Payload delivery","filename","98413687ead846bae3d6dc2187ebf1d00be.exe","",0,1587304003,"","","","",""
"5e9c5643-26f0-48f8-9386-0326c0a8018c",6579,"Payload delivery","md5","b5d9571aac6d2e76e0e0ab7ceebd8800","",1,1587304003,"","","","",""
"5e9c5643-0be4-4108-a99c-0326c0a8018c",6579,"Payload delivery","sha1","726a22709d1c941ae17135e73a152cbd9f0b7866","",1,1587304003,"","","","",""
"5e9c5643-1424-4d20-8085-0326c0a8018c",6579,"Payload delivery","sha256","94d7ed5e967896a71b67067cda43fd196659c2e9c9039e0cb692c3e9c9793fb4","",1,1587304003,"","","","",""
"5e9c5643-3c48-4ead-b65d-0326c0a8018c",6579,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587304003,"","","","",""
"5e9c5643-7cc0-4691-bae8-0326c0a8018c",6579,"Payload delivery","imphash","d2091b6df8b6ce72e745b9e2d419885d","",0,1587304003,"","","","",""
"5e9c5643-1a28-4ebd-a615-0326c0a8018c",6579,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/96513687ead846bae3d6dc2187ebf1d00be.exe","",1,1587304003,"","","","",""
"5e9c5643-f0b8-4633-ba10-0326c0a8018c",6579,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587304003,"","","","",""
"c0089144-ebf6-4519-8f2b-b5e450ac675c",6579,"Other","text",".text","",0,1587304004,"name","","fb3b7e9e-e61c-4cff-a2ce-4e2e98fb82dc","pe-section","file"
"a92b7d0a-1237-4d63-a146-2d60317c69fe",6579,"Payload delivery","md5","4cfdc71a4e90e2bf7ecfdc8401e3bb91","",1,1587304004,"md5","","fb3b7e9e-e61c-4cff-a2ce-4e2e98fb82dc","pe-section","file"
"72a08249-272b-4c1f-8a80-7bb0fd6ff6bf",6579,"Payload delivery","sha1","3f33099c00ce200d8013d3a8c6e499ccf51a962e","",1,1587304005,"sha1","","fb3b7e9e-e61c-4cff-a2ce-4e2e98fb82dc","pe-section","file"
"81f72c07-dda1-4122-bfab-419c431d318a",6579,"Payload delivery","sha256","56b0272c1147677b4e0222174d70eec47ea3915dfa79dae8e125f58d169b9c88","",1,1587304005,"sha256","","fb3b7e9e-e61c-4cff-a2ce-4e2e98fb82dc","pe-section","file"
"e8b94fe1-d200-45ec-bb1b-b9df1995f4d2",6579,"Other","size-in-bytes",69632,"",0,1587304006,"size-in-bytes","","fb3b7e9e-e61c-4cff-a2ce-4e2e98fb82dc","pe-section","file"
"526698d6-77a2-4b16-9a8f-e6b36ba40f0c",6579,"Other","float",5.42301,"",0,1587304006,"entropy","","fb3b7e9e-e61c-4cff-a2ce-4e2e98fb82dc","pe-section","file"
"b5589597-f100-43a5-bedc-d71ea9beb8f2",6579,"Other","text",".rdata","",0,1587304007,"name","","d91ff9af-b648-40b7-a58b-abc8962e3794","pe-section","file"
"34fc41c5-3878-4dfc-bba5-4da48d0d741d",6579,"Payload delivery","md5","d26efd77f00c67d16659ab6f624f68c3","",1,1587304007,"md5","","d91ff9af-b648-40b7-a58b-abc8962e3794","pe-section","file"
"76e19308-e88a-44a1-9726-d4e99a0f462b",6579,"Payload delivery","sha1","927e5b626e62dbeaa66302b116599d7194b7035c","",1,1587304008,"sha1","","d91ff9af-b648-40b7-a58b-abc8962e3794","pe-section","file"
"831261a3-8878-4813-9a06-f2316c350418",6579,"Payload delivery","sha256","1b3a6b8226b36fa60fbdd9437e52bc374810c76c72d4791f9c465c1baeddf2b7","",1,1587304009,"sha256","","d91ff9af-b648-40b7-a58b-abc8962e3794","pe-section","file"
"f611e68e-5ba7-4e62-9f56-ccc3a6b6633b",6579,"Other","size-in-bytes",8192,"",0,1587304009,"size-in-bytes","","d91ff9af-b648-40b7-a58b-abc8962e3794","pe-section","file"
"35e45040-6ae6-44ff-81f8-480861fb8996",6579,"Other","float",2.94454,"",0,1587304009,"entropy","","d91ff9af-b648-40b7-a58b-abc8962e3794","pe-section","file"
"c60436a6-6afe-4e45-8ade-4971239494dd",6579,"Other","text",".data","",0,1587304009,"name","","f925ba83-7267-49af-adcb-77168e756469","pe-section","file"
"a87687c2-40cf-4f6f-b0f6-8d3ad711f40c",6579,"Payload delivery","md5","5b1d627f0025aaa132a5707b1786b795","",1,1587304009,"md5","","f925ba83-7267-49af-adcb-77168e756469","pe-section","file"
"92f034e5-a317-4f2a-ae9d-d551c0635d3b",6579,"Payload delivery","sha1","4fef7e1adbd4c3e7b73b5d6b6ad502fa98710f48","",1,1587304009,"sha1","","f925ba83-7267-49af-adcb-77168e756469","pe-section","file"
"edd1d660-a1e5-4e69-b830-e635a49d7cbf",6579,"Payload delivery","sha256","71364eb0a6228a0900222203a059812970907deca3b22502d216aa1fab4556ad","",1,1587304009,"sha256","","f925ba83-7267-49af-adcb-77168e756469","pe-section","file"
"2d94c6f0-a568-4afb-9137-27241a3fb07f",6579,"Other","size-in-bytes",12288,"",0,1587304010,"size-in-bytes","","f925ba83-7267-49af-adcb-77168e756469","pe-section","file"
"d9d8de11-ef7a-4f29-b163-db7a8332db17",6579,"Other","float",1.57366,"",0,1587304010,"entropy","","f925ba83-7267-49af-adcb-77168e756469","pe-section","file"
"0b35435d-79e3-4324-a419-f0237711f748",6579,"Other","text",".idata","",0,1587304010,"name","","a74e460f-e587-443e-b940-88034f529199","pe-section","file"
"1f75733c-e8d0-4cc2-854a-58a750ec318f",6579,"Payload delivery","md5","68151ba5f219c6caaae89e5da0d4202b","",1,1587304010,"md5","","a74e460f-e587-443e-b940-88034f529199","pe-section","file"
"0013f15d-ad5d-4830-b0c8-91a61bd85d73",6579,"Payload delivery","sha1","62112f9c7d2c1d7cca522315d5bfdca433a3b21b","",1,1587304010,"sha1","","a74e460f-e587-443e-b940-88034f529199","pe-section","file"
"bb915f93-7233-48d9-98c0-9966dd03ec0c",6579,"Payload delivery","sha256","e7015bec7f886c52ff2f555fb8f4e8f49b1f6780054dfaf8d256e4a1ae5b1fdf","",1,1587304010,"sha256","","a74e460f-e587-443e-b940-88034f529199","pe-section","file"
"e501739c-9dd9-4b8c-b0e3-8cc219bae74d",6579,"Other","size-in-bytes",4096,"",0,1587304010,"size-in-bytes","","a74e460f-e587-443e-b940-88034f529199","pe-section","file"
"c19a52da-c2c2-4814-a424-813566150a6a",6579,"Other","float",3.62805,"",0,1587304010,"entropy","","a74e460f-e587-443e-b940-88034f529199","pe-section","file"
"84abad5b-0720-4fc5-a7c1-33a14df65515",6579,"Other","text",".rsrc","",0,1587304010,"name","","7553765e-b6a0-4586-b244-b23302b9d9ba","pe-section","file"
"a8e8823d-b730-4874-8ca7-ee629bb1ae0f",6579,"Payload delivery","md5","b3fa7fa47b3584110f01fb39b55317a9","",1,1587304011,"md5","","7553765e-b6a0-4586-b244-b23302b9d9ba","pe-section","file"
