uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9cdb4e-cd1c-4fbb-ba7d-0303c0a8018c",6947,"Payload delivery","filename","71043fvasea.exe","",0,1587338062,"","","","",""
"5e9cdb4e-37e8-4d8b-9e6b-0303c0a8018c",6947,"Payload delivery","md5","f958fb565551b6ca8e01da0fa6fb5b93","",1,1587338062,"","","","",""
"5e9cdb4f-7340-4977-bcad-0303c0a8018c",6947,"Payload delivery","sha1","9b85ccd6fc0b69fb7914775402b6e80c8c393aaf","",1,1587338063,"","","","",""
"5e9cdb4f-78c4-434e-a5c8-0303c0a8018c",6947,"Payload delivery","sha256","484c33694b092ef470fcdbe9ce22d899abc7642e58b9dea29100536e5cb645db","",1,1587338063,"","","","",""
"5e9cdb4f-f8f8-4c3d-a378-0303c0a8018c",6947,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587338063,"","","","",""
"5e9cdb4f-2cd8-479f-87aa-0303c0a8018c",6947,"Payload delivery","imphash","0885b2b2b5829577912d5197330fc416","",0,1587338063,"","","","",""
"5e9cdb53-d6a4-4cdd-ad77-0303c0a8018c",6947,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/71043fvasea.exe","",1,1587338067,"","","","",""
"5e9cdb53-2bf4-4c64-9664-0303c0a8018c",6947,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587338067,"","","","",""
"9dce4a01-73c5-4106-afbc-51cd928d888e",6947,"Other","text",".text","",0,1587338074,"name","","449ef53d-7fcb-469f-9a2e-67fc193a6557","pe-section","file"
"50f9175f-7043-42c2-9e6f-c92beb2e1625",6947,"Payload delivery","md5","5046b4fc44da255eede051c605a5785d","",1,1587338074,"md5","","449ef53d-7fcb-469f-9a2e-67fc193a6557","pe-section","file"
"71b2b92a-c5a6-4a34-bded-aac436ae640d",6947,"Payload delivery","sha1","a458d010f4b470a21bdc683fadfc0e34f2270e44","",1,1587338075,"sha1","","449ef53d-7fcb-469f-9a2e-67fc193a6557","pe-section","file"
"019bd4fd-dc66-43c1-b432-c85d8d8eada6",6947,"Payload delivery","sha256","0713cf869d5e2befa33199482945754ab8d97c5da2c6342ec0aa1bb353707304","",1,1587338078,"sha256","","449ef53d-7fcb-469f-9a2e-67fc193a6557","pe-section","file"
"1f889c65-1dc8-42c3-b0a6-86f2ceaee6fd",6947,"Other","size-in-bytes",90112,"",0,1587338078,"size-in-bytes","","449ef53d-7fcb-469f-9a2e-67fc193a6557","pe-section","file"
"aea2edeb-5e7d-4481-83d7-a62343252a17",6947,"Other","float",6.50364,"",0,1587338078,"entropy","","449ef53d-7fcb-469f-9a2e-67fc193a6557","pe-section","file"
"43e9a492-eebd-4a9b-ae9e-355d730590e9",6947,"Other","text",".rdata","",0,1587338081,"name","","092b4437-1c1f-499c-bef5-d66f39cd0e4d","pe-section","file"
"8328b829-b8e0-49f5-ab60-c82d6a032493",6947,"Payload delivery","md5","3ae86c408650678f594f6b536b233135","",1,1587338081,"md5","","092b4437-1c1f-499c-bef5-d66f39cd0e4d","pe-section","file"
"3a753afc-af0f-47fa-9c46-9f3494401836",6947,"Payload delivery","sha1","c752350a3691153c9d4444267ecbd9bd8dc8dff2","",1,1587338082,"sha1","","092b4437-1c1f-499c-bef5-d66f39cd0e4d","pe-section","file"
"327dcf5a-99b9-4091-a8ba-108b11780e87",6947,"Payload delivery","sha256","160a8a58164d17331bbe4eecfc9c8488fe166561acc41cbda6307a4ac6510aaf","",1,1587338083,"sha256","","092b4437-1c1f-499c-bef5-d66f39cd0e4d","pe-section","file"
"2d45b380-8cb0-4c7c-a990-d92aa172a5d5",6947,"Other","size-in-bytes",20480,"",0,1587338085,"size-in-bytes","","092b4437-1c1f-499c-bef5-d66f39cd0e4d","pe-section","file"
"690ee666-260b-4e4c-8ecc-abea57e5592a",6947,"Other","float",4.92143,"",0,1587338085,"entropy","","092b4437-1c1f-499c-bef5-d66f39cd0e4d","pe-section","file"
"1d424f2e-78df-402b-97a1-01edbab0b12c",6947,"Other","text",".data","",0,1587338085,"name","","7579d8bd-54d7-4e4c-ba76-baa337379a5b","pe-section","file"
"ffc20778-6f9e-45d8-b8a9-2499d97e7477",6947,"Payload delivery","md5","14e045749b3eff639554e9ddec73f583","",1,1587338085,"md5","","7579d8bd-54d7-4e4c-ba76-baa337379a5b","pe-section","file"
"b4d28f06-4e27-4024-aa6a-ebae55aca8f2",6947,"Payload delivery","sha1","528cf245f5f154f92efc74afb582a0bdfece8f1c","",1,1587338086,"sha1","","7579d8bd-54d7-4e4c-ba76-baa337379a5b","pe-section","file"
"941034f1-96fa-4f45-aa58-2a01e755603c",6947,"Payload delivery","sha256","fc4c4833b5903c62eeef16376c108e8dae6dd0be8607762e13bfada9d8e2fd6a","",1,1587338086,"sha256","","7579d8bd-54d7-4e4c-ba76-baa337379a5b","pe-section","file"
"f5400086-c1bc-4864-89f6-c2f8dedd7c0a",6947,"Other","size-in-bytes",8192,"",0,1587338086,"size-in-bytes","","7579d8bd-54d7-4e4c-ba76-baa337379a5b","pe-section","file"
"7b5a0bc6-b86d-4cd3-97a0-9ca627976ac3",6947,"Other","float",2.39372,"",0,1587338086,"entropy","","7579d8bd-54d7-4e4c-ba76-baa337379a5b","pe-section","file"
"85b7c585-67e0-47a6-b7ad-357ad20bad15",6947,"Other","text",".rsrc","",0,1587338088,"name","","bcc89f68-2557-4906-b41c-82fee485a5c1","pe-section","file"
